datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ADANIENT,EQ,3103.5,3058.35,3066.1,3090.4,3091.0,3065.45,724174,2231295323.25,3743.9,2142,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ADANIENT,EQ,3137.75,3096.1,3110.0,3109.3,3106.5,3090.4,988357,3079603432.3,3743.9,2142,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ADANIENT,EQ,3111.0,3057.15,3106.0,3092.2,3090.0,3109.3,1021653,3150450900.4,3743.9,2142,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ADANIENT,EQ,3094.5,3000.0,3092.0,3005.7,3007.95,3092.2,1026941,3114956135.35,3743.9,2142,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ADANIENT,EQ,3026.9,2972.15,3005.7,3000.85,3000.0,3005.7,662085,1988013002.45,3743.9,2142,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ADANIENT,EQ,3038.0,2886.35,3020.0,2995.35,2999.4,3000.85,1443331,4315494351.3,3743.9,2142,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ADANIENT,EQ,3007.5,2959.3,2995.35,2970.7,2968.8,2995.35,693702,2067911056.3,3743.9,2142,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ADANIENT,EQ,3017.65,2945.1,2960.7,2973.5,2995.0,2970.7,1105721,3295071825.3,3743.9,2142,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ADANIENT,EQ,3109.0,2988.1,2995.0,3080.5,3072.25,2973.5,1942427,5956490441.7,3743.9,2142,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ADANIENT,EQ,3120.35,3074.0,3094.3,3089.35,3088.4,3080.5,1037474,3213935332.1,3743.9,2142,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,ADANIENT,EQ,3155.0,3066.65,3092.0,3128.75,3133.0,3089.35,1647048,5140261264.1,3743.9,2142,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,ADANIENT,EQ,3197.5,3135.0,3141.0,3169.4,3168.0,3128.75,2414005,7655420169.35,3743.9,2142,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,ADANIENT,EQ,3258.0,3151.7,3180.0,3217.25,3225.1,3169.4,6149883,19756222591.2,3743.9,2142,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,ADANIENT,EQ,3215.0,3111.0,3200.0,3160.9,3161.4,3217.25,3360209,10665513275.4,3743.9,2142,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,ADANIENT,EQ,3133.05,2996.3,3085.0,3038.2,3024.0,3160.9,2238921,6856587918.85,3743.9,2142,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,ADANIENT,EQ,3142.8,3057.25,3084.0,3072.7,3078.25,3038.2,2125201,6605115019.85,3743.9,2142,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,ADANIENT,EQ,3190.0,3112.0,3118.0,3185.95,3186.45,3072.7,1868169,5909030045.95,3743.9,2142,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,ADANIENT,EQ,3242.65,3156.55,3190.55,3167.55,3172.55,3185.95,2139376,6834751356.5,3743.9,2142,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,ADANIENT,EQ,3219.3,3171.05,3209.0,3187.55,3186.5,3167.55,760165,2427422875.5,3743.9,2142,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,ADANIENT,EQ,3169.85,3014.0,3100.0,3151.75,3140.9,3187.55,10307245,31964138144.9,3743.9,2142,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,ADANIENT,EQ,3178.1,3081.75,3170.05,3092.2,3085.7,3151.75,2192588,6842634919.75,3743.9,2142,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,ADANIENT,EQ,3085.7,3027.75,3085.7,3040.1,3036.25,3092.2,1232383,3760640089.45,3743.9,2142,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,ADANIENT,EQ,3121.6,3039.35,3070.0,3108.8,3109.0,3040.1,970067,2987171671.05,3743.9,2142,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,ADANIENT,EQ,3134.3,3092.95,3122.05,3102.55,3107.0,3108.8,557265,1735304543.2,3743.9,2142,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,ADANIENT,EQ,3126.0,3058.85,3118.95,3070.65,3071.0,3102.55,662263,2042856651.95,3743.9,2142,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,ADANIENT,EQ,3153.3,3068.4,3070.65,3115.7,3117.0,3070.65,1379240,4290166315.45,3743.9,2142,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,ADANIENT,EQ,3150.0,3091.0,3130.75,3099.05,3099.55,3115.7,1378912,4306061295.45,3743.9,2142,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,ADANIENT,EQ,3123.0,3067.6,3101.0,3076.35,3079.45,3099.05,1375224,4247469323.35,3743.9,2142,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,ADANIENT,EQ,3090.0,3055.0,3088.0,3069.0,3069.8,3076.35,1632446,5011431416.4,3743.9,2142,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,ADANIENT,EQ,3095.75,3064.0,3072.2,3067.1,3067.0,3069.0,1310440,4034310722.25,3743.9,2142,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,ADANIENT,EQ,3078.0,3022.1,3078.0,3028.0,3028.0,3067.1,1569652,4773806258.8,3743.9,2142,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,ADANIENT,EQ,3041.95,2981.3,3030.0,3020.15,3022.0,3028.0,1853966,5575488281.3,3743.9,2142,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,ADANIENT,EQ,3038.55,3003.3,3030.0,3019.35,3033.0,3020.15,3509174,10596622023.0,3743.9,2142,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,ADANIENT,EQ,3059.15,2997.6,3021.1,3042.15,3039.0,3019.35,1842658,5574522547.2,3743.9,2142,2024-09-01T18:30:00.000Z
