datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ADANIPOWER,EQ,714.95,705.5,710.0,708.55,709.0,709.95,2038025,1447361772.15,895.85,237.15,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ADANIPOWER,EQ,731.7,708.55,712.55,712.45,711.4,708.55,2705111,1938031131.35,895.85,237.15,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ADANIPOWER,EQ,712.45,696.4,712.45,699.5,701.1,712.45,3156405,2213799628.2,895.85,237.15,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ADANIPOWER,EQ,701.6,690.0,700.0,694.5,695.0,699.5,2427868,1685906942.55,895.85,237.15,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ADANIPOWER,EQ,709.95,682.25,693.0,696.15,699.0,694.5,2444034,1705722928.2,895.85,237.15,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ADANIPOWER,EQ,729.0,646.5,705.0,697.4,696.0,696.15,10069127,7129555530.9,895.85,237.15,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ADANIPOWER,EQ,709.7,692.55,697.7,694.7,696.0,697.4,2210803,1546634902.45,895.85,237.15,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ADANIPOWER,EQ,709.45,686.15,694.0,695.2,697.0,694.7,2769562,1928884534.15,895.85,237.15,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ADANIPOWER,EQ,727.8,698.6,700.0,712.65,713.6,695.2,5483714,3911886113.75,895.85,237.15,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ADANIPOWER,EQ,724.95,715.05,719.0,716.4,718.0,712.65,3013372,2168194815.6,895.85,259.5,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,ADANIPOWER,EQ,735.0,716.4,720.0,729.25,730.0,716.4,5283993,3851360629.65,895.85,259.5,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,ADANIPOWER,EQ,749.3,712.65,735.5,734.45,717.0,729.25,12076205,8902148604.25,895.85,259.5,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,ADANIPOWER,EQ,752.9,715.0,720.0,738.0,736.55,734.45,13649371,10030158919.55,895.85,259.5,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,ADANIPOWER,EQ,740.75,720.95,727.9,726.35,726.9,738.0,5669123,4139959614.7,895.85,259.5,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,ADANIPOWER,EQ,719.2,681.0,700.0,690.85,687.0,726.35,15329072,10741079985.85,895.85,264.75,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,ADANIPOWER,EQ,706.65,683.0,696.95,689.4,688.75,690.85,14694147,10237204759.05,895.85,264.75,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,ADANIPOWER,EQ,704.7,688.15,700.0,691.9,690.5,689.4,15171803,10545637295.3,895.85,264.75,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,ADANIPOWER,EQ,700.0,685.35,694.7,691.55,688.95,691.9,15691389,10908529438.25,895.85,264.75,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,ADANIPOWER,EQ,703.9,691.55,697.05,695.4,692.0,691.55,13922027,9686792637.7,895.85,264.75,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,ADANIPOWER,EQ,694.95,620.0,675.0,691.5,687.0,695.4,28039604,18921132160.6,895.85,274.4,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,ADANIPOWER,EQ,702.5,686.0,692.5,689.5,686.0,691.5,14772732,10247216144.8,895.85,274.4,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,ADANIPOWER,EQ,689.7,671.0,689.4,674.05,674.5,689.5,14521140,9868187747.45,895.85,274.4,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,ADANIPOWER,EQ,700.0,671.0,683.0,697.4,699.2,674.05,16281420,11033285815.5,895.85,274.4,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,ADANIPOWER,EQ,706.75,693.0,698.0,697.0,694.4,697.4,16369504,11429279604.4,895.85,289.35,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,ADANIPOWER,EQ,701.85,692.25,697.0,695.45,694.95,697.0,11990722,8350065291.65,895.85,289.35,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,ADANIPOWER,EQ,701.4,692.0,695.45,695.15,693.0,695.45,11486465,8004248493.35,895.85,289.35,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,ADANIPOWER,EQ,697.5,671.0,695.5,673.7,671.9,695.15,4186497,2858056878.9,895.85,289.35,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,ADANIPOWER,EQ,689.0,674.0,687.0,675.8,675.0,673.7,3498357,2379200126.45,895.85,289.35,2024-08-22T18:30:00.000Z
