datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,AMBUJACEM,EQ,690.45,681.5,686.55,684.2,683.15,676.5,2184021,1497599685.2,706.95,404.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,AMBUJACEM,EQ,692.0,683.25,689.45,685.35,685.4,684.2,2484802,1705245152.15,706.95,404.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,AMBUJACEM,EQ,692.45,679.0,685.35,690.25,690.05,685.35,3034365,2081865653.9,706.95,404.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,AMBUJACEM,EQ,692.45,670.4,691.05,677.9,677.85,690.25,2613915,1774561133.05,706.95,404.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,AMBUJACEM,EQ,688.6,673.75,677.85,687.1,685.0,677.9,3014997,2062141767.95,706.95,404.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,AMBUJACEM,EQ,695.0,662.6,688.0,691.35,690.3,687.1,4681258,3208136792.2,706.95,404.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,AMBUJACEM,EQ,693.0,680.1,691.35,682.4,684.75,691.35,1157565,792643354.95,706.95,404.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,AMBUJACEM,EQ,685.0,672.5,678.1,675.9,677.5,682.4,1226783,831080338.15,706.95,404.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,AMBUJACEM,EQ,691.45,676.05,676.05,686.4,685.55,675.9,1914855,1313357273.9,706.95,404.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,AMBUJACEM,EQ,693.5,671.0,692.0,679.85,680.0,686.4,3176753,2169931841.35,706.95,404.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,AMBUJACEM,EQ,681.05,671.2,679.85,674.45,675.0,679.85,1526425,1032290814.8,706.95,404.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,AMBUJACEM,EQ,686.65,672.35,677.75,679.95,681.25,674.45,5007055,3400900210.1,706.95,404.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,AMBUJACEM,EQ,681.0,655.0,680.0,664.0,665.0,679.95,7613696,5050400056.7,706.95,404.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,AMBUJACEM,EQ,662.3,648.6,661.0,652.8,654.5,664.0,3552731,2323609383.3,706.95,404.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,AMBUJACEM,EQ,650.55,633.75,647.0,636.15,635.4,652.8,3071394,1968562670.25,706.95,404.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,AMBUJACEM,EQ,649.0,622.95,638.1,625.55,627.5,636.15,2519055,1597897430.45,706.95,404.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,AMBUJACEM,EQ,648.0,633.55,634.0,643.3,645.0,625.55,2259244,1454208828.6,706.95,404.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,AMBUJACEM,EQ,645.25,637.1,644.95,638.5,637.3,643.3,1121594,718449328.6,706.95,404.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,AMBUJACEM,EQ,645.5,630.1,645.0,632.0,631.3,638.5,2605583,1652098416.55,706.95,404.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,AMBUJACEM,EQ,641.0,617.75,621.1,635.45,636.15,632.0,3209718,2024801836.7,706.95,404.05,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,AMBUJACEM,EQ,638.95,622.1,635.3,624.4,624.5,635.45,1379099,868850674.2,706.95,404.05,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,AMBUJACEM,EQ,628.9,617.5,626.5,623.2,621.5,624.4,930171,578188991.35,706.95,404.05,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,AMBUJACEM,EQ,641.95,623.45,625.0,640.5,639.0,623.2,958226,606774916.4,706.95,404.05,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,AMBUJACEM,EQ,643.65,632.2,643.0,633.7,633.55,640.5,938492,597170340.85,706.95,404.05,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,AMBUJACEM,EQ,639.45,624.65,636.0,626.45,624.8,633.7,1390850,875155329.75,706.95,404.05,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,AMBUJACEM,EQ,631.75,624.8,627.0,629.25,629.2,626.45,1038309,652595606.6,706.95,404.05,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,AMBUJACEM,EQ,639.5,622.45,629.45,631.8,639.5,629.25,5299763,3342954964.7,706.95,404.05,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,AMBUJACEM,EQ,660.0,631.6,656.0,633.6,635.0,631.8,14351644,9237406654.25,706.95,404.05,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,AMBUJACEM,EQ,639.9,625.4,638.95,627.65,629.5,633.6,3688932,2325609058.15,706.95,404.05,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,AMBUJACEM,EQ,629.85,622.05,628.8,624.45,624.1,627.65,2374774,1486459270.05,706.95,404.05,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,AMBUJACEM,EQ,627.25,615.1,626.05,616.4,617.0,624.45,2570418,1590303105.15,706.95,404.05,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,AMBUJACEM,EQ,619.0,600.7,617.7,612.5,611.2,616.4,6301579,3835419166.2,706.95,404.05,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,AMBUJACEM,EQ,621.65,609.4,612.65,617.05,618.0,612.5,3540177,2180682762.3,706.95,404.05,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,AMBUJACEM,EQ,624.2,616.3,620.0,620.4,619.1,617.05,2224671,1379247353.75,706.95,404.05,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,AMBUJACEM,EQ,622.5,614.15,622.25,617.8,620.0,620.4,2546441,1575151273.15,706.95,404.05,2024-09-02T18:30:00.000Z
