datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ASTRAL,EQ,2300.0,2242.5,2300.0,2262.6,2263.0,2302.35,526725,1191770215.95,2454,1740,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ASTRAL,EQ,2285.0,2249.05,2263.9,2266.85,2267.05,2262.6,210636,478033475.1,2454,1740,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ASTRAL,EQ,2276.95,2232.05,2276.95,2249.7,2244.05,2266.85,194539,437429134.2,2454,1740,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ASTRAL,EQ,2315.9,2219.5,2255.65,2272.1,2261.7,2249.7,821041,1852333449.8,2454,1740,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ASTRAL,EQ,2314.9,2226.55,2271.0,2260.2,2259.65,2272.1,875601,1988259558.95,2454,1740,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ASTRAL,EQ,2274.0,2178.05,2274.0,2236.55,2235.5,2260.2,413108,921891759.05,2454,1740,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ASTRAL,EQ,2236.0,2194.55,2236.0,2199.55,2208.7,2236.55,234746,518792247.4,2454,1740,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ASTRAL,EQ,2197.0,2164.0,2176.0,2174.25,2184.3,2199.55,281751,614035952.1,2454,1740,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ASTRAL,EQ,2237.55,2184.0,2184.0,2215.55,2226.5,2174.25,260079,575457913.0,2454,1740,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ASTRAL,EQ,2240.05,2188.0,2232.9,2202.75,2204.95,2215.55,534045,1180792065.4,2454,1740,2024-07-28T18:30:00.000Z
