datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,AUBANK,EQ,648.15,638.25,645.0,640.85,640.1,643.8,1861392,1194783421.0,813.4,553.7,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,AUBANK,EQ,645.7,633.2,644.0,634.45,636.35,640.85,2089842,1330848971.9,813.4,553.7,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,AUBANK,EQ,638.5,630.0,635.0,633.05,632.85,634.45,2224274,1410609001.1,813.4,553.7,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,AUBANK,EQ,635.35,625.15,630.5,633.65,632.1,633.05,1321440,834899089.6,813.4,553.7,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,AUBANK,EQ,660.4,625.0,628.0,655.4,656.5,633.65,6529913,4239322307.4,813.4,553.7,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,AUBANK,EQ,658.9,643.45,657.0,656.25,655.9,655.4,2321050,1515789082.0,813.4,553.7,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,AUBANK,EQ,663.3,647.25,656.25,659.55,660.7,656.25,5455706,3579644817.8,813.4,553.7,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,AUBANK,EQ,661.75,625.55,657.3,631.65,628.75,659.55,2401579,1538249599.5,813.4,553.7,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,AUBANK,EQ,652.35,620.55,621.0,650.4,650.9,631.65,4555752,2925092519.25,813.4,553.7,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,AUBANK,EQ,658.1,644.35,655.0,650.05,654.1,650.4,4793665,3123712210.45,813.4,553.7,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,AUBANK,EQ,661.5,649.15,652.0,651.45,652.0,650.05,2007413,1315660504.5,813.4,553.7,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,AUBANK,EQ,653.45,637.35,653.45,646.05,646.0,651.45,3723813,2396631760.3,813.4,553.7,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,AUBANK,EQ,659.85,641.95,646.75,644.75,644.05,646.05,1637829,1066165546.2,813.4,553.7,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,AUBANK,EQ,650.95,635.5,638.0,637.6,637.75,644.75,3036465,1951128584.9,813.4,553.7,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,AUBANK,EQ,637.9,622.3,629.9,632.0,630.1,637.6,2173993,1366653635.55,813.4,553.7,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,AUBANK,EQ,644.9,633.0,635.3,635.9,635.0,632.0,1635549,1045515409.0,813.4,553.7,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,AUBANK,EQ,643.9,626.3,640.5,630.85,633.75,635.9,2592406,1635490490.35,813.4,553.7,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,AUBANK,EQ,635.3,624.55,629.0,626.1,626.1,630.85,1374881,865624086.6,813.4,553.7,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,AUBANK,EQ,636.0,623.25,635.0,625.95,626.4,626.1,1145143,717314521.0,813.4,553.7,2024-08-08T18:30:00.000Z
