datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-09-15T18:30:00.000Z,BAJAJHFL,EQ,165.0,146.0,150.0,165.0,165.0,70.0,636727334,99832840785.87,165.0,146.0,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,BAJAJHFL,EQ,181.5,174.1,175.5,181.5,181.5,165.0,246750377,44181150330.22,181.5,146.0,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,BAJAJHFL,EQ,188.5,171.1,181.0,173.66,173.19,181.5,262499718,46851418619.08,188.5,146.0,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,BAJAJHFL,EQ,175.75,156.29,172.98,160.12,160.59,173.66,162885712,26474363383.09,188.5,146.0,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,BAJAJHFL,EQ,168.2,161.45,162.01,163.73,163.49,160.12,74914958,12332067151.2,188.5,146.0,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,BAJAJHFL,EQ,166.75,160.4,165.75,161.63,161.7,163.73,33914099,5515822414.9,188.5,146.0,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,BAJAJHFL,EQ,162.4,158.05,161.7,158.68,158.33,161.63,27382743,4363622101.27,188.5,146.0,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,BAJAJHFL,EQ,160.0,153.14,157.8,154.17,154.0,158.68,32117117,4979960828.0,188.5,146.0,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,BAJAJHFL,EQ,163.24,150.4,154.0,157.89,157.2,154.17,82292061,12995583483.73,188.5,146.0,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,BAJAJHFL,EQ,160.4,156.55,158.0,157.15,157.1,157.89,21754244,3438996475.11,188.5,146.0,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,BAJAJHFL,EQ,156.84,153.51,156.75,154.06,154.5,157.15,17314972,2675241705.0,188.5,146.0,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,BAJAJHFL,EQ,156.8,152.55,155.0,152.92,152.98,154.06,14893316,2297324063.39,188.5,146.0,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,BAJAJHFL,EQ,151.91,148.67,149.0,150.6,150.83,152.92,19278895,2905554840.39,188.5,146.0,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,BAJAJHFL,EQ,153.75,148.3,152.5,150.6,150.9,150.6,28716395,4346351698.11,188.5,146.0,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,BAJAJHFL,EQ,151.34,135.54,150.6,136.03,135.54,150.6,61077251,8560828289.84,188.5,135.54,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,BAJAJHFL,EQ,149.63,130.35,135.4,149.63,149.63,136.03,65871963,9462845443.41,188.5,130.35,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,BAJAJHFL,EQ,159.62,152.12,152.55,155.27,154.4,149.63,71834457,11225975031.69,188.5,130.35,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,BAJAJHFL,EQ,157.9,148.0,156.5,150.84,150.95,155.27,22236338,3391041980.82,188.5,130.35,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,BAJAJHFL,EQ,152.74,149.6,150.84,150.88,150.99,150.84,12286184,1856584680.74,188.5,130.35,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,BAJAJHFL,EQ,151.05,140.3,150.88,141.91,141.99,150.88,47858709,6857737436.9,188.5,130.35,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,BAJAJHFL,EQ,145.24,138.0,143.8,139.9,140.0,141.91,31179031,4379855007.11,188.5,130.35,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,BAJAJHFL,EQ,143.5,139.27,139.95,140.55,140.25,139.9,23483251,3315822360.8,188.5,130.35,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,BAJAJHFL,EQ,141.67,137.65,140.6,138.23,138.09,140.55,18515750,2566442191.9,188.5,130.35,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,BAJAJHFL,EQ,140.9,135.85,138.0,139.33,139.5,138.23,18526453,2571564025.71,188.5,130.35,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,BAJAJHFL,EQ,142.0,136.03,140.74,136.58,136.8,139.33,15522983,2143074285.5,188.5,130.35,2024-10-20T18:30:00.000Z
