datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,BALRAMCHIN,EQ,447.3,440.0,441.0,444.5,444.35,440.35,1362173,605162715.65,485.9,343.5,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,BALRAMCHIN,EQ,460.0,445.5,445.85,450.2,450.5,444.5,5234024,2373298132.85,485.9,343.5,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,BALRAMCHIN,EQ,453.95,446.8,449.5,449.7,448.5,450.2,1469762,661369328.85,485.9,343.5,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,BALRAMCHIN,EQ,451.35,438.0,450.4,441.55,442.15,449.7,1458707,645526115.95,485.9,343.5,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,BALRAMCHIN,EQ,449.25,434.4,437.0,444.5,447.0,441.55,1709359,758992467.15,485.9,343.5,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,BALRAMCHIN,EQ,449.3,426.1,446.65,444.0,446.0,444.5,1730145,765683205.75,485.9,343.5,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,BALRAMCHIN,EQ,456.95,441.95,442.0,452.55,450.8,444.0,1902600,859474105.8,485.9,343.5,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,BALRAMCHIN,EQ,461.35,444.75,447.0,447.3,449.1,452.55,2354865,1069130211.65,485.9,343.5,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,BALRAMCHIN,EQ,465.0,445.5,445.5,461.3,460.5,447.3,2054033,941192473.1,485.9,343.5,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,BALRAMCHIN,EQ,474.8,463.0,465.1,470.2,471.9,461.3,2880173,1355532224.65,485.9,343.5,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,BALRAMCHIN,EQ,485.95,468.2,470.0,480.4,481.0,470.2,2619945,1254172431.25,485.95,343.5,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,BALRAMCHIN,EQ,493.9,473.5,480.9,480.85,484.0,480.4,4076105,1980655302.2,493.9,343.5,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,BALRAMCHIN,EQ,489.85,474.3,484.0,484.35,484.25,480.85,2385649,1150364310.45,493.9,343.5,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,BALRAMCHIN,EQ,491.65,475.35,482.95,481.7,482.5,484.35,2985921,1446981611.35,493.9,343.5,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,BALRAMCHIN,EQ,481.05,468.05,478.0,473.7,474.0,481.7,2859168,1353823614.3,493.9,343.5,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,BALRAMCHIN,EQ,485.15,467.0,475.0,468.45,470.7,473.7,2988487,1427624563.2,493.9,343.5,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,BALRAMCHIN,EQ,493.8,471.9,474.9,492.15,492.6,468.45,2510690,1214521241.25,493.9,343.5,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,BALRAMCHIN,EQ,499.75,486.8,494.75,488.85,488.35,492.15,1713901,844894103.25,499.75,343.5,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,BALRAMCHIN,EQ,498.0,488.25,491.0,491.0,490.9,488.85,1085532,534174573.3,499.75,343.5,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,BALRAMCHIN,EQ,505.9,485.0,490.0,495.15,495.05,491.0,3884937,1933801600.95,505.9,343.5,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,BALRAMCHIN,EQ,523.0,495.5,505.0,511.4,513.15,495.15,9403901,4820503400.5,523.0,343.5,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,BALRAMCHIN,EQ,522.0,501.45,514.9,502.5,502.9,511.4,3023146,1550986475.55,523.0,343.5,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,BALRAMCHIN,EQ,525.9,502.1,511.0,522.55,524.6,502.5,3515856,1820783225.85,525.9,343.5,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,BALRAMCHIN,EQ,544.55,525.9,527.5,532.0,532.2,522.55,3876323,2078829982.15,544.55,343.5,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,BALRAMCHIN,EQ,578.2,535.0,535.0,570.85,571.15,532.0,8331451,4644079239.1,578.2,343.5,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,BALRAMCHIN,EQ,570.95,555.1,570.95,560.05,559.2,570.85,2837632,1589748297.7,578.2,343.5,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,BALRAMCHIN,EQ,585.4,557.0,563.0,579.15,585.0,560.05,3314048,1893528593.1,585.4,343.5,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,BALRAMCHIN,EQ,582.0,558.5,582.0,564.4,566.75,579.15,3003771,1700643256.65,585.4,343.5,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,BALRAMCHIN,EQ,577.0,559.5,564.4,564.1,561.35,564.4,1370915,776351950.0,585.4,343.5,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,BALRAMCHIN,EQ,574.5,555.15,561.0,569.55,568.9,564.1,2337943,1325794829.0,585.4,343.5,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,BALRAMCHIN,EQ,590.95,569.4,570.0,587.4,585.5,569.55,4874097,2831758747.7,590.95,343.5,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,BALRAMCHIN,EQ,588.65,566.45,582.2,578.8,577.85,587.4,3749834,2155704545.5,590.95,343.5,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,BALRAMCHIN,EQ,625.0,595.05,597.15,598.65,600.0,578.8,15537762,9469998109.15,625.0,343.5,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,BALRAMCHIN,EQ,600.0,587.3,598.0,591.85,591.5,598.65,1903408,1126856800.7,625.0,343.5,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,BALRAMCHIN,EQ,594.05,584.5,591.85,587.65,586.85,591.85,771606,454529023.85,625.0,343.5,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,BALRAMCHIN,EQ,605.35,579.25,583.3,587.1,587.5,587.65,2474848,1471452670.0,625.0,343.5,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,BALRAMCHIN,EQ,597.95,584.6,589.85,586.85,586.0,587.1,737719,435146992.0,625.0,343.5,2024-09-04T18:30:00.000Z
