datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,BANKINDIA,EQ,125.05,119.7,120.53,123.72,123.55,120.29,19866405,2440158701.76,157.95,77.65,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,BANKINDIA,EQ,124.45,121.81,123.99,123.03,123.5,123.72,7294961,897815434.51,157.95,77.65,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,BANKINDIA,EQ,125.09,121.5,123.02,123.64,123.33,123.03,16067348,1989482040.74,157.95,77.65,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,BANKINDIA,EQ,123.89,120.5,123.64,120.89,120.51,123.64,7642979,929444493.94,157.95,77.65,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,BANKINDIA,EQ,122.45,118.3,120.0,122.01,121.5,120.89,7851832,948872914.82,157.95,81.8,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,BANKINDIA,EQ,122.29,117.0,122.2,119.29,119.22,122.01,7691292,922324305.64,157.95,81.8,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,BANKINDIA,EQ,122.46,119.39,119.99,120.34,120.4,119.29,8868180,1070745444.65,157.95,81.8,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,BANKINDIA,EQ,120.59,118.5,119.81,118.78,119.05,120.34,5203991,621465141.42,157.95,81.8,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,BANKINDIA,EQ,120.39,118.21,118.85,119.37,119.2,118.78,7556629,901261205.46,157.95,81.8,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,BANKINDIA,EQ,126.16,120.4,120.85,125.14,125.14,119.37,24362585,3038637759.99,157.95,82.55,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,BANKINDIA,EQ,126.96,125.02,125.75,125.82,125.5,125.14,7669460,967193160.02,157.95,82.55,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,BANKINDIA,EQ,126.45,125.03,126.0,125.8,125.65,125.82,5064752,636252575.54,157.95,82.55,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,BANKINDIA,EQ,126.65,125.35,126.53,126.11,126.2,125.8,7225687,909379914.88,157.95,82.55,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,BANKINDIA,EQ,128.2,122.55,124.06,126.24,125.65,126.11,14492663,1821248353.39,157.95,82.55,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,BANKINDIA,EQ,124.5,119.5,123.6,122.35,121.75,126.24,20938121,2541982466.47,157.95,83.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,BANKINDIA,EQ,124.9,118.21,123.1,118.93,118.6,122.35,8017235,971195198.73,157.95,83.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,BANKINDIA,EQ,122.25,118.3,122.0,118.87,119.1,118.93,7853002,938841364.75,157.95,83.0,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,BANKINDIA,EQ,121.4,117.25,118.9,119.38,117.68,118.87,10734357,1286093849.49,157.95,83.0,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,BANKINDIA,EQ,121.15,117.95,119.64,118.95,118.8,119.38,8235427,982148779.63,157.95,83.0,2024-08-08T18:30:00.000Z
