datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,BLUEDART,EQ,8610.05,8300.0,8467.0,8525.05,8520.0,8469.1,9946,84162352.9,8659.7,5486.6,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,BLUEDART,EQ,8980.0,8495.05,8550.0,8935.2,8950.0,8525.05,76113,675923872.55,8980.0,5486.6,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,BLUEDART,EQ,8919.95,8334.0,8862.25,8436.55,8444.0,8935.2,32000,272750237.45,8980.0,5486.6,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,BLUEDART,EQ,8530.0,8009.0,8478.75,8207.75,8300.0,8436.55,54104,441204286.35,8980.0,5486.6,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,BLUEDART,EQ,8189.9,7757.05,8130.0,7830.85,7810.0,8207.75,52277,416825082.05,8980.0,5486.6,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,BLUEDART,EQ,7890.0,7537.05,7815.55,7845.85,7889.95,7830.85,28105,217867015.5,8980.0,5486.6,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,BLUEDART,EQ,8085.0,7855.15,7884.6,7903.95,7879.05,7845.85,14411,114620682.65,8980.0,5486.6,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,BLUEDART,EQ,7941.9,7750.0,7903.95,7768.65,7751.0,7903.95,177270,1392903328.55,8980.0,5486.6,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,BLUEDART,EQ,8059.45,7768.65,7768.65,7894.75,7884.0,7768.65,13012,102880565.8,8980.0,5486.6,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,BLUEDART,EQ,8000.0,7652.15,7933.8,7688.9,7725.0,7894.75,34960,274552513.7,8980.0,5486.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,BLUEDART,EQ,7878.0,7695.9,7727.3,7846.65,7842.0,7688.9,16027,125355775.1,8980.0,5486.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,BLUEDART,EQ,8290.0,7816.0,7914.0,8175.55,8171.0,7846.65,64985,530362455.2,8980.0,5486.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,BLUEDART,EQ,8296.15,8146.0,8190.0,8219.15,8208.25,8175.55,15119,124103026.3,8980.0,5486.6,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,BLUEDART,EQ,8187.1,8096.0,8110.0,8114.85,8110.0,8219.15,6365,51717556.0,8980.0,5486.6,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,BLUEDART,EQ,8078.7,7827.0,8041.25,7947.0,7945.5,8114.85,13330,106213629.75,8980.0,5486.6,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,BLUEDART,EQ,8249.0,7910.55,7950.0,8109.6,8100.0,7947.0,33420,272215823.9,8980.0,5486.6,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,BLUEDART,EQ,8246.0,8083.85,8118.0,8140.35,8135.0,8109.6,13097,106872574.15,8980.0,5486.6,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,BLUEDART,EQ,8215.0,7997.25,8145.8,8033.65,8029.0,8140.35,4090,33218671.1,8980.0,5486.6,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,BLUEDART,EQ,8157.75,7898.5,8073.85,7926.9,8020.0,8033.65,5084,40690369.05,8980.0,5486.6,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,BLUEDART,EQ,8210.0,7875.25,7926.9,8172.15,8200.0,7926.9,10534,85096565.75,8980.0,5486.6,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,BLUEDART,EQ,8200.0,7964.1,8172.15,7980.95,8017.05,8172.15,4255,34235637.1,8980.0,5486.6,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,BLUEDART,EQ,8091.95,7810.0,8030.0,7839.65,7830.1,7980.95,4791,37736968.95,8980.0,5486.6,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,BLUEDART,EQ,8149.95,7872.0,7939.0,8051.85,8065.0,7839.65,9391,75594707.75,8980.0,5486.6,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,BLUEDART,EQ,8094.9,7885.0,8032.05,7934.8,7940.0,8051.85,6604,52438801.05,8980.0,5486.6,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,BLUEDART,EQ,8024.0,7903.05,7934.8,7978.65,7990.0,7934.8,6981,55653668.65,8980.0,5486.6,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,BLUEDART,EQ,8050.0,7947.1,7978.65,8028.9,8050.0,7978.65,7236,57875067.5,8980.0,5486.6,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,BLUEDART,EQ,8224.7,8020.0,8028.9,8154.3,8175.0,8028.9,11702,95149479.25,8980.0,5486.6,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,BLUEDART,EQ,8195.05,8037.25,8195.05,8096.25,8105.0,8154.3,3576,28988731.1,8980.0,5486.6,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,BLUEDART,EQ,8195.0,8010.0,8136.75,8111.55,8081.0,8096.25,5354,43367878.8,8980.0,5486.6,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,BLUEDART,EQ,8389.0,8060.25,8130.0,8282.85,8270.0,8111.55,18399,151613937.9,8980.0,5486.6,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,BLUEDART,EQ,8350.0,8180.5,8271.0,8275.6,8290.0,8282.85,17806,147647934.6,8980.0,5486.6,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,BLUEDART,EQ,8316.95,8121.0,8299.95,8132.95,8125.0,8275.6,5154,42140835.35,8980.0,5486.6,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,BLUEDART,EQ,8199.95,7917.05,8145.0,8041.45,8040.0,8132.95,7653,61592457.1,8980.0,5486.6,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,BLUEDART,EQ,8294.0,7958.1,8041.45,8042.6,8055.0,8041.45,13330,108493454.85,8980.0,5486.6,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,BLUEDART,EQ,8355.0,8061.4,8100.0,8294.95,8352.0,8042.6,19248,159023035.0,8980.0,5486.6,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,BLUEDART,EQ,8442.0,8180.0,8289.0,8221.55,8250.0,8294.95,15671,131039623.95,8980.0,5486.6,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,BLUEDART,EQ,8320.0,8057.55,8320.0,8083.3,8085.0,8221.55,11365,92558696.9,8980.0,5486.6,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,BLUEDART,EQ,8235.0,8080.0,8164.15,8177.7,8160.0,8083.3,6231,50900320.95,8980.0,5486.6,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,BLUEDART,EQ,8218.55,8035.35,8218.55,8128.4,8160.0,8177.7,7087,57446526.25,8980.0,5486.6,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,BLUEDART,EQ,8218.55,8088.05,8218.55,8177.85,8131.4,8128.4,4404,35954191.95,8980.0,5486.6,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,BLUEDART,EQ,8235.95,8134.55,8177.85,8163.1,8160.0,8177.85,3977,32512172.85,8980.0,5486.6,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,BLUEDART,EQ,8345.0,8142.6,8187.55,8182.4,8181.35,8163.1,5722,47165802.0,8980.0,5486.6,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,BLUEDART,EQ,8243.8,8102.0,8182.4,8179.45,8200.0,8182.4,6279,51389148.25,8980.0,5486.6,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,BLUEDART,EQ,8250.0,8115.0,8150.1,8230.65,8243.0,8179.45,3960,32428012.25,8980.0,5486.6,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,BLUEDART,EQ,9488.7,8191.85,8206.35,9253.65,9042.35,8230.65,1356521,12498025504.5,9488.7,5486.6,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,BLUEDART,EQ,9110.0,8458.55,9000.15,8574.15,8490.1,9253.65,213920,1887438767.8,9488.7,5486.6,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,BLUEDART,EQ,8590.0,8175.05,8570.0,8249.35,8240.0,8574.15,101586,846086472.95,9488.7,5486.6,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,BLUEDART,EQ,8325.0,8127.3,8249.35,8257.15,8268.65,8249.35,68629,565227690.65,9488.7,5486.6,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,BLUEDART,EQ,8283.5,8170.0,8280.0,8235.35,8235.0,8257.15,19472,160255946.2,9488.7,5486.6,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,BLUEDART,EQ,8320.95,8158.5,8270.0,8196.6,8182.1,8235.35,15117,124757128.15,9488.7,5486.6,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,BLUEDART,EQ,8209.45,8055.5,8196.6,8092.45,8098.1,8196.6,14845,120492901.15,9488.7,5486.6,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,BLUEDART,EQ,8249.95,8057.45,8100.0,8200.9,8214.95,8092.45,27759,226391038.8,9488.7,5486.6,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,BLUEDART,EQ,8237.5,8081.0,8230.0,8100.1,8106.0,8200.9,12991,105901316.7,9488.7,5486.6,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,BLUEDART,EQ,8240.0,8085.0,8120.0,8204.7,8171.05,8100.1,13090,107160177.7,9488.7,5486.6,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,BLUEDART,EQ,8792.5,8267.2,8400.0,8640.9,8601.0,8204.7,427997,3696797265.8,9488.7,5486.6,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,BLUEDART,EQ,8760.45,8400.05,8530.0,8566.35,8556.0,8640.9,59234,508575638.25,9488.7,5486.6,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,BLUEDART,EQ,8799.0,8250.0,8600.0,8308.65,8334.85,8566.35,81450,701380469.2,9488.7,5486.6,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,BLUEDART,EQ,8740.0,8251.0,8355.0,8639.6,8602.0,8308.65,92065,784335771.15,9488.7,5486.6,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,BLUEDART,EQ,8749.0,8484.05,8550.0,8594.25,8554.5,8639.6,29242,252333401.35,9488.7,5486.6,2024-10-07T18:30:00.000Z
