datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,BSOFT,EQ,748.65,730.25,747.0,733.95,734.2,732.35,5221826,3867775431.8,861.85,375.1,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,BSOFT,EQ,739.7,725.55,737.0,727.05,728.05,733.95,2387542,1746605164.6,861.85,375.1,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,BSOFT,EQ,753.65,723.5,727.0,749.45,749.0,727.05,8205992,6092483223.9,861.85,375.1,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,BSOFT,EQ,760.45,720.4,759.0,723.9,724.0,749.45,4779608,3547008129.35,861.85,375.1,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,BSOFT,EQ,723.8,700.4,711.1,703.85,705.2,723.9,2895803,2057857006.0,861.85,375.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,BSOFT,EQ,729.0,681.5,709.45,723.65,722.65,703.85,3066461,2179834306.2,861.85,375.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,BSOFT,EQ,728.75,709.25,722.65,718.0,717.3,723.65,2251051,1618225070.8,861.85,375.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,BSOFT,EQ,718.95,704.05,710.0,706.45,706.1,718.0,1744820,1237664007.2,861.85,375.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,BSOFT,EQ,730.35,707.5,707.5,727.85,726.6,706.45,2876480,2080952747.95,861.85,375.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,BSOFT,EQ,733.75,715.0,733.75,719.2,720.0,727.85,1460903,1056156668.05,861.85,416.3,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,BSOFT,EQ,722.85,706.9,719.2,709.55,711.6,719.2,1466105,1045797232.3,861.85,416.3,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,BSOFT,EQ,715.55,673.75,709.6,675.65,675.8,709.55,8877305,6120031022.55,861.85,416.3,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,BSOFT,EQ,675.5,639.5,675.5,643.0,645.0,675.65,8274918,5417675292.6,861.85,416.3,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,BSOFT,EQ,637.35,600.9,630.4,605.35,604.0,643.0,8573646,5284803374.15,861.85,416.3,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,BSOFT,EQ,594.8,550.85,590.05,578.8,578.15,605.35,8738210,4998879919.25,861.85,437.1,2024-08-04T18:30:00.000Z
