datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,CANBK,EQ,117.55,112.4,113.25,117.25,117.3,112.72,49372062,5706032209.97,632.9,96.2,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,CANBK,EQ,118.11,115.6,117.6,116.04,116.09,117.25,34514206,4017716572.98,632.9,96.2,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,CANBK,EQ,117.59,114.73,116.04,115.77,115.67,116.04,24517941,2849613579.99,632.9,96.2,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,CANBK,EQ,116.8,112.33,115.8,112.89,112.5,115.77,33377806,3802189719.57,632.9,96.2,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,CANBK,EQ,115.49,111.03,112.8,114.76,114.63,112.89,21519135,2461534284.35,632.9,96.2,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,CANBK,EQ,115.4,109.0,115.4,112.86,112.9,114.76,26483458,2991522235.75,632.9,96.2,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,CANBK,EQ,113.9,111.54,112.99,112.46,112.74,112.86,24622269,2769255399.2,632.9,96.2,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,CANBK,EQ,113.85,109.25,111.8,111.89,112.0,112.46,76948576,8576569146.56,632.9,96.2,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,CANBK,EQ,114.4,111.0,112.49,113.86,113.84,111.89,54279930,6109846683.52,632.9,96.2,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,CANBK,EQ,117.82,115.01,115.2,115.91,115.98,113.86,51072326,5960278132.42,632.9,96.2,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,CANBK,EQ,116.45,115.12,115.91,115.77,115.7,115.91,17664352,2046253222.68,632.9,96.2,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,CANBK,EQ,116.19,114.26,116.0,114.71,114.63,115.77,16689282,1923232850.21,632.9,96.2,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,CANBK,EQ,115.6,112.05,115.5,112.69,112.7,114.71,25958910,2949069354.37,632.9,96.2,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,CANBK,EQ,112.0,110.05,112.0,110.49,110.48,112.69,27944377,3099027208.06,632.9,96.2,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,CANBK,EQ,108.44,104.04,108.44,105.26,104.9,110.49,57645213,6080984523.14,632.9,96.2,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,CANBK,EQ,108.18,104.8,106.75,105.03,105.08,105.26,18760783,2003362181.16,632.9,96.2,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,CANBK,EQ,108.56,105.45,106.6,108.22,108.35,105.03,24292529,2595057104.7,632.9,96.2,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,CANBK,EQ,108.56,106.5,108.0,107.15,107.1,108.22,17399682,1869175916.16,632.9,96.2,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,CANBK,EQ,112.54,107.65,108.0,110.65,110.8,107.15,29858732,3289697763.51,632.9,96.2,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,CANBK,EQ,110.76,108.4,109.9,109.55,109.59,110.65,22238178,2436726968.81,632.9,96.2,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,CANBK,EQ,110.14,106.25,109.0,106.69,106.51,109.55,19954825,2156739639.39,632.9,96.2,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,CANBK,EQ,107.06,105.5,106.75,105.65,105.74,106.69,13061546,1384962513.94,632.9,96.2,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,CANBK,EQ,108.41,106.52,108.0,107.62,107.65,105.65,30254042,3243855316.01,632.9,96.2,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,CANBK,EQ,111.25,108.08,108.3,109.9,109.85,107.62,27792179,3054486265.79,632.9,96.2,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,CANBK,EQ,111.96,109.6,110.3,111.36,111.36,109.9,24247603,2693703804.51,632.9,96.2,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,CANBK,EQ,111.9,110.67,111.36,111.63,111.75,111.36,15379494,1711441773.29,632.9,96.2,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,CANBK,EQ,112.66,111.81,112.0,112.33,112.32,111.63,13967447,1567729965.28,632.9,96.2,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,CANBK,EQ,112.99,111.81,112.6,112.1,112.0,112.33,13224117,1486388904.04,632.9,96.2,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,CANBK,EQ,113.19,111.17,113.16,111.41,111.45,112.1,15658016,1751579387.98,632.9,96.2,2024-08-25T18:30:00.000Z
