datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,CENTRALBK,EQ,66.66,63.26,63.74,65.57,65.65,63.32,32858029,2154202036.9,76.9,29.6,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,CENTRALBK,EQ,67.2,64.47,65.57,65.04,65.18,65.57,14478433,951875200.38,76.9,29.6,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,CENTRALBK,EQ,67.64,63.81,64.9,64.38,64.95,65.04,44730149,2942500614.91,76.9,29.6,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,CENTRALBK,EQ,66.22,62.3,64.7,62.57,62.65,64.38,20409750,1308722835.86,76.9,29.6,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,CENTRALBK,EQ,63.8,61.02,62.57,62.99,62.93,62.57,9140309,574829863.5,76.9,29.6,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,CENTRALBK,EQ,63.5,59.34,63.36,61.92,61.84,62.99,10720402,663788463.35,76.9,29.6,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,CENTRALBK,EQ,64.28,61.65,61.92,63.08,63.4,61.92,11075162,699191410.73,76.9,29.6,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,CENTRALBK,EQ,63.68,62.28,62.5,62.92,62.9,63.08,6728637,424545525.57,76.9,29.6,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,CENTRALBK,EQ,65.2,62.9,63.3,64.18,63.9,62.92,15238054,977440485.0,76.9,29.6,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,CENTRALBK,EQ,67.07,64.25,64.69,64.36,64.36,64.18,18448455,1208659287.12,76.9,29.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,CENTRALBK,EQ,64.72,63.78,64.36,64.2,64.21,64.36,5656630,364087063.39,76.9,29.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,CENTRALBK,EQ,64.5,63.5,64.5,63.57,63.69,64.2,5017781,320585773.48,76.9,29.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,CENTRALBK,EQ,64.38,62.86,63.9,63.15,63.16,63.57,6064294,385339989.66,76.9,29.6,2024-07-31T18:30:00.000Z
