datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,CHALET,EQ,832.8,783.0,824.25,792.05,789.9,822.2,291088,231572620.55,958,446.3,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,CHALET,EQ,803.8,772.0,795.9,780.65,788.95,792.05,285248,226104565.65,958,446.3,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,CHALET,EQ,784.4,760.25,784.4,770.35,765.6,780.65,314896,242547301.0,958,446.3,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,CHALET,EQ,777.4,754.05,765.05,765.45,763.7,770.35,98778,75561896.8,958,446.3,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,CHALET,EQ,826.0,753.65,765.0,811.8,820.5,765.45,687490,555538337.25,958,451.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,CHALET,EQ,824.0,784.75,824.0,805.55,806.95,811.8,104663,84076687.35,958,451.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,CHALET,EQ,865.35,798.25,815.0,857.6,858.0,805.55,301747,254202543.45,958,451.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,CHALET,EQ,845.15,824.05,843.55,828.1,825.0,857.6,92199,76590664.05,958,451.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,CHALET,EQ,840.35,811.05,825.0,835.15,835.5,828.1,147972,122713966.2,958,451.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,CHALET,EQ,856.0,823.15,840.5,826.3,830.0,835.15,99208,83171212.45,958,467.8,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,CHALET,EQ,869.4,831.0,831.0,852.25,854.65,826.3,471077,403542739.3,958,467.8,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,CHALET,EQ,861.45,840.1,852.0,843.55,844.0,852.25,42375,35956945.95,958,467.8,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,CHALET,EQ,849.35,829.15,843.05,833.05,836.0,843.55,41233,34530662.2,958,467.8,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,CHALET,EQ,838.8,815.4,829.95,822.7,822.0,833.05,46544,38496015.15,958,467.8,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,CHALET,EQ,819.5,791.55,801.0,802.4,802.8,822.7,96805,77622923.1,958,472.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,CHALET,EQ,817.0,775.1,795.0,778.05,776.0,802.4,83463,66045109.6,958,472.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,CHALET,EQ,809.4,779.95,788.75,801.75,802.5,778.05,49138,38981918.3,958,472.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,CHALET,EQ,806.7,783.5,800.0,789.3,790.0,801.75,37211,29545292.8,958,472.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,CHALET,EQ,815.15,782.1,794.15,786.0,784.0,789.3,25343,20038006.75,958,472.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,CHALET,EQ,798.85,775.0,787.1,789.05,794.0,786.0,39531,31146843.25,958,477.0,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,CHALET,EQ,797.45,770.0,790.55,772.35,781.3,789.05,64068,49941300.8,958,477.0,2024-08-12T18:30:00.000Z
