datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,CONCOR,EQ,1062.65,1043.3,1062.65,1056.35,1055.0,1057.45,3021990,3180085132.95,1180,645.9,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,CONCOR,EQ,1075.0,1045.25,1071.0,1047.85,1047.45,1056.35,5977405,6307868510.15,1180,645.9,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,CONCOR,EQ,1063.0,1030.0,1061.0,1039.7,1038.75,1047.85,5805768,6052767086.85,1180,645.9,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,CONCOR,EQ,1040.5,1007.2,1037.0,1010.95,1009.3,1039.7,1911619,1956097702.6,1180,645.9,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,CONCOR,EQ,1045.95,991.05,1004.0,1039.05,1038.0,1010.95,2528388,2600400148.5,1180,645.9,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,CONCOR,EQ,1055.0,988.7,1054.95,1030.25,1028.0,1039.05,3998368,4120824233.6,1180,645.9,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,CONCOR,EQ,1038.4,1020.0,1026.05,1024.3,1026.65,1030.25,1943815,1994776316.1,1180,645.9,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,CONCOR,EQ,1029.0,1008.35,1015.0,1014.9,1014.5,1024.3,2277785,2322183841.7,1180,645.9,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,CONCOR,EQ,1046.05,1016.0,1016.0,1039.95,1041.0,1014.9,2483148,2566827379.2,1180,645.9,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,CONCOR,EQ,1058.15,1037.1,1049.95,1039.95,1043.4,1039.95,2233424,2338374517.15,1180,645.9,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,CONCOR,EQ,1054.7,1038.05,1039.95,1048.65,1048.0,1039.95,1740727,1825826591.3,1180,645.9,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,CONCOR,EQ,1059.2,1038.0,1059.2,1040.45,1038.95,1048.65,1158486,1210491013.25,1180,645.9,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,CONCOR,EQ,1044.95,1029.85,1040.75,1038.05,1038.55,1040.45,1198855,1242787766.5,1180,645.9,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,CONCOR,EQ,1039.8,1020.55,1029.15,1030.1,1028.75,1038.05,1186188,1223268852.95,1180,645.9,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,CONCOR,EQ,1015.1,975.0,1010.15,978.25,975.6,1030.1,3400489,3359172455.25,1180,645.9,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,CONCOR,EQ,1010.05,978.4,994.0,982.5,986.0,978.25,1774810,1771485697.45,1180,645.9,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,CONCOR,EQ,1008.2,992.15,1000.95,1004.65,1007.0,982.5,1618060,1613908923.35,1180,645.9,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,CONCOR,EQ,1013.7,993.0,1009.0,997.85,1005.0,1004.65,1329610,1331993866.2,1180,645.9,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,CONCOR,EQ,1005.05,968.8,1001.0,980.8,980.3,997.85,3717978,3653101890.15,1180,645.9,2024-08-08T18:30:00.000Z
