datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,CUB,EQ,162.86,159.67,160.09,162.46,162.1,159.99,1440820,233054235.72,174.75,120.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,CUB,EQ,163.39,159.0,163.0,159.57,159.5,162.46,2425715,389295564.03,174.75,120.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,CUB,EQ,161.23,157.6,159.57,158.86,158.76,159.57,1963715,312818213.22,174.75,120.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,CUB,EQ,158.85,153.51,157.68,155.7,155.08,158.86,2601976,406299665.75,174.75,120.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,CUB,EQ,158.35,153.34,154.35,157.77,157.68,155.7,1361363,213379216.57,174.75,120.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,CUB,EQ,157.89,152.02,157.77,156.91,157.14,157.77,2288857,356443402.65,174.75,120.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,CUB,EQ,162.05,156.09,156.91,160.7,161.0,156.91,2306748,367545989.12,174.75,120.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,CUB,EQ,160.0,158.02,160.0,159.06,159.75,160.7,2556300,406186026.29,174.75,120.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,CUB,EQ,160.7,153.0,160.7,159.81,160.3,159.06,4928487,777624940.07,174.75,120.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,CUB,EQ,174.8,162.09,162.99,169.22,169.2,159.81,16592612,2832104730.88,174.8,120.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,CUB,EQ,174.55,168.23,169.04,172.88,172.98,169.22,10288453,1778367967.15,174.8,120.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,CUB,EQ,173.37,170.64,172.5,172.27,172.35,172.88,3613885,621947412.98,174.8,120.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,CUB,EQ,176.82,170.05,172.0,171.76,172.49,172.27,5071569,879371436.82,176.82,120.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,CUB,EQ,171.28,165.1,168.55,166.92,166.9,171.76,6569213,1109615029.03,176.82,120.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,CUB,EQ,165.21,157.25,160.26,162.51,162.98,166.92,5671194,917043954.9,176.82,120.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,CUB,EQ,166.82,162.0,163.54,162.33,162.88,162.51,2769591,453447143.44,176.82,120.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,CUB,EQ,166.0,162.0,165.35,163.84,164.0,162.33,1363814,222961373.89,176.82,120.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,CUB,EQ,166.74,162.65,163.83,164.12,163.8,163.84,2270065,374599055.75,176.82,120.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,CUB,EQ,168.38,162.67,164.0,163.28,163.9,164.12,2372223,390918034.73,176.82,120.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,CUB,EQ,165.89,161.53,162.0,164.83,164.74,163.28,1554055,254852627.82,176.82,120.05,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,CUB,EQ,165.32,161.06,164.74,161.78,161.7,164.83,1077205,175527487.49,176.82,120.05,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,CUB,EQ,162.73,159.62,161.78,160.88,161.0,161.78,1434336,230701035.9,176.82,120.05,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,CUB,EQ,164.96,162.0,162.0,164.56,164.15,160.88,1257008,205754388.15,176.82,120.05,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,CUB,EQ,167.5,163.81,163.81,165.99,166.49,164.56,1273107,211801230.0,176.82,120.05,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,CUB,EQ,170.77,165.52,167.0,170.07,170.18,165.99,2431284,410722181.33,176.82,120.05,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,CUB,EQ,171.48,167.7,170.0,169.83,170.04,170.07,2547134,431473672.35,176.82,120.05,2024-08-20T18:30:00.000Z
