datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,DCMSHRIRAM,EQ,1011.7,986.0,992.9,997.15,995.3,992.9,42389,42398139.3,1175.0,826.3,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,DCMSHRIRAM,EQ,1025.0,997.2,998.0,1007.35,1009.9,997.15,48371,48997995.95,1175.0,826.3,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,DCMSHRIRAM,EQ,1018.0,997.1,1007.35,1005.6,1003.05,1007.35,45196,45490922.2,1175.0,826.3,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,DCMSHRIRAM,EQ,1010.65,968.0,1005.6,975.3,972.0,1005.6,30042,29631366.45,1175.0,826.3,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,DCMSHRIRAM,EQ,1006.1,961.0,969.95,1001.15,998.0,975.3,45257,44990380.9,1175.0,826.3,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,DCMSHRIRAM,EQ,1027.6,979.4,991.2,1012.35,1013.0,1001.15,92282,92754109.5,1175.0,826.3,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,DCMSHRIRAM,EQ,1035.0,1008.0,1020.7,1026.75,1029.75,1012.35,127569,130416678.95,1175.0,826.3,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,DCMSHRIRAM,EQ,1043.1,1014.3,1025.0,1035.95,1039.9,1026.75,59583,61666849.65,1175.0,826.3,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,DCMSHRIRAM,EQ,1041.0,1026.7,1041.0,1032.75,1033.05,1035.95,39639,40995959.05,1175.0,826.3,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,DCMSHRIRAM,EQ,1063.0,1032.95,1037.0,1052.1,1050.0,1032.75,93834,98774282.1,1175.0,826.3,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,DCMSHRIRAM,EQ,1093.0,1035.05,1052.05,1062.1,1058.5,1052.1,107879,115426523.55,1175.0,826.3,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,DCMSHRIRAM,EQ,1078.0,1052.35,1065.0,1059.6,1055.55,1062.1,44061,46961782.2,1175.0,826.3,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,DCMSHRIRAM,EQ,1072.4,1051.9,1063.0,1062.05,1057.8,1059.6,42121,44677371.6,1175.0,826.3,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,DCMSHRIRAM,EQ,1074.95,1030.55,1055.1,1058.85,1064.0,1062.05,135342,143254152.8,1175.0,826.3,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,DCMSHRIRAM,EQ,1050.0,1006.15,1050.0,1048.15,1048.45,1058.85,125473,130718411.9,1175.0,832.4,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,DCMSHRIRAM,EQ,1142.65,1052.0,1055.8,1065.3,1069.4,1048.15,369743,407316107.25,1175.0,832.4,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,DCMSHRIRAM,EQ,1120.2,1060.0,1070.35,1091.25,1100.5,1065.3,365180,399892754.85,1175.0,832.4,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,DCMSHRIRAM,EQ,1188.0,1093.2,1100.5,1150.85,1152.4,1091.25,968417,1121563098.45,1188.0,832.4,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,DCMSHRIRAM,EQ,1174.4,1129.0,1153.95,1135.65,1149.95,1150.85,171469,197548032.3,1188.0,832.4,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,DCMSHRIRAM,EQ,1178.95,1127.4,1135.65,1135.05,1133.0,1135.65,118611,136432005.75,1188.0,832.4,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,DCMSHRIRAM,EQ,1138.25,1104.2,1134.0,1115.4,1120.0,1135.05,52520,58622556.95,1188.0,832.4,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,DCMSHRIRAM,EQ,1120.0,1080.0,1120.0,1086.1,1085.6,1115.4,149670,163979083.15,1188.0,832.4,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,DCMSHRIRAM,EQ,1101.95,1073.75,1093.95,1085.3,1084.0,1086.1,97251,105484717.05,1188.0,832.4,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,DCMSHRIRAM,EQ,1156.0,1085.3,1085.3,1142.45,1150.95,1085.3,117808,132990083.4,1188.0,832.4,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,DCMSHRIRAM,EQ,1184.0,1132.35,1154.85,1155.4,1151.0,1142.45,204722,237847184.15,1188.0,832.4,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,DCMSHRIRAM,EQ,1198.7,1133.0,1155.4,1149.8,1140.2,1155.4,183207,213848645.9,1198.7,832.4,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,DCMSHRIRAM,EQ,1188.0,1147.6,1149.0,1162.7,1159.0,1149.8,106022,123748288.95,1198.7,832.4,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,DCMSHRIRAM,EQ,1180.6,1145.15,1163.0,1177.0,1165.0,1162.7,91565,106582718.35,1198.7,832.4,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,DCMSHRIRAM,EQ,1185.0,1140.65,1185.0,1144.15,1147.95,1177.0,48160,55939694.6,1198.7,832.4,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,DCMSHRIRAM,EQ,1195.75,1144.0,1150.0,1148.9,1147.2,1144.15,146497,171007248.2,1198.7,832.4,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,DCMSHRIRAM,EQ,1167.95,1135.05,1152.0,1139.95,1140.0,1148.9,52461,60380287.25,1198.7,832.4,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,DCMSHRIRAM,EQ,1145.65,1111.75,1145.65,1120.35,1120.45,1139.95,327864,367519366.05,1198.7,832.4,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,DCMSHRIRAM,EQ,1187.05,1126.0,1130.0,1152.65,1149.0,1120.35,454400,521933715.3,1198.7,832.4,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,DCMSHRIRAM,EQ,1210.0,1143.0,1152.0,1148.2,1151.05,1152.65,330867,391314337.05,1210.0,832.4,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,DCMSHRIRAM,EQ,1159.3,1137.35,1148.2,1140.2,1140.0,1148.2,44437,50908554.0,1210.0,832.4,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,DCMSHRIRAM,EQ,1154.5,1121.05,1121.05,1134.45,1138.0,1140.2,56551,64530429.65,1210.0,832.4,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,DCMSHRIRAM,EQ,1159.35,1123.3,1137.0,1128.0,1130.95,1134.45,69002,78564808.55,1210.0,832.4,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,DCMSHRIRAM,EQ,1140.7,1116.05,1129.0,1123.05,1130.0,1128.0,45351,51002232.9,1210.0,832.4,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,DCMSHRIRAM,EQ,1137.25,1105.0,1128.7,1129.2,1122.0,1123.05,42999,48383891.4,1210.0,832.4,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,DCMSHRIRAM,EQ,1149.4,1122.0,1129.2,1132.75,1127.55,1129.2,92713,105088485.85,1210.0,832.4,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,DCMSHRIRAM,EQ,1138.45,1088.3,1133.0,1098.2,1103.0,1132.75,71329,79558436.9,1210.0,832.4,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,DCMSHRIRAM,EQ,1107.85,1091.0,1100.0,1099.3,1102.0,1098.2,39860,43860974.65,1210.0,832.4,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,DCMSHRIRAM,EQ,1110.0,1076.65,1100.0,1081.55,1084.0,1099.3,87036,95156298.15,1210.0,832.4,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,DCMSHRIRAM,EQ,1102.75,1079.2,1087.0,1082.3,1084.0,1081.55,44685,48569686.15,1210.0,832.4,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,DCMSHRIRAM,EQ,1094.8,1070.1,1089.65,1080.85,1086.0,1082.3,50565,54616651.1,1210.0,832.4,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,DCMSHRIRAM,EQ,1093.55,1078.75,1080.1,1089.85,1089.45,1080.85,45857,49797385.7,1210.0,832.4,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,DCMSHRIRAM,EQ,1098.95,1077.45,1090.05,1088.75,1085.4,1089.85,52411,56711684.3,1210.0,832.4,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,DCMSHRIRAM,EQ,1090.15,1072.4,1072.4,1080.05,1085.0,1088.75,97749,105634682.25,1210.0,832.4,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,DCMSHRIRAM,EQ,1124.85,1080.05,1080.05,1095.4,1091.1,1080.05,88344,97430958.2,1210.0,832.4,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,DCMSHRIRAM,EQ,1102.75,1068.0,1099.0,1072.35,1068.9,1095.4,51257,55281950.35,1210.0,832.4,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,DCMSHRIRAM,EQ,1089.9,1056.7,1080.2,1086.0,1086.2,1072.35,60240,65110957.05,1210.0,832.4,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,DCMSHRIRAM,EQ,1086.0,1050.05,1086.0,1054.3,1053.5,1086.0,28300,30063742.2,1210.0,832.4,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,DCMSHRIRAM,EQ,1080.8,1015.4,1050.5,1034.35,1039.85,1054.3,290716,303095930.45,1210.0,832.4,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,DCMSHRIRAM,EQ,1047.6,1028.45,1034.35,1035.35,1035.0,1034.35,36800,38113126.9,1210.0,832.4,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,DCMSHRIRAM,EQ,1066.95,1033.0,1036.0,1057.05,1055.0,1035.35,47188,49536655.95,1210.0,832.4,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,DCMSHRIRAM,EQ,1048.85,1024.95,1037.0,1032.0,1033.9,1057.05,65708,67769851.2,1210.0,832.4,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,DCMSHRIRAM,EQ,1048.2,1009.55,1027.4,1014.6,1016.8,1032.0,32741,33565049.35,1210.0,832.4,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,DCMSHRIRAM,EQ,1019.55,953.55,1000.1,978.8,978.9,1014.6,67197,65727550.35,1210.0,832.4,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,DCMSHRIRAM,EQ,998.5,970.7,983.0,992.0,995.0,978.8,28149,27823384.4,1210.0,832.4,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,DCMSHRIRAM,EQ,1016.0,992.35,992.9,1011.95,1015.2,992.0,30402,30654339.55,1210.0,832.4,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,DCMSHRIRAM,EQ,1028.1,1009.1,1017.05,1014.55,1011.9,1011.95,30516,31031419.55,1210.0,832.4,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,DCMSHRIRAM,EQ,1036.3,1003.85,1018.0,1018.25,1023.0,1014.55,42837,43775554.4,1210.0,832.4,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,DCMSHRIRAM,EQ,1035.3,1002.5,1015.0,1013.45,1011.3,1018.25,28423,28888799.95,1210.0,832.4,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,DCMSHRIRAM,EQ,1065.0,1009.5,1009.5,1058.45,1053.0,1013.45,73794,76802125.15,1210.0,832.4,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,DCMSHRIRAM,EQ,1153.3,1040.4,1057.0,1121.75,1114.55,1058.45,383595,430117459.3,1210.0,832.4,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,DCMSHRIRAM,EQ,1154.95,1111.0,1129.65,1120.9,1114.9,1121.75,124901,141399281.8,1210.0,832.4,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,DCMSHRIRAM,EQ,1116.3,1084.9,1099.0,1101.2,1100.0,1120.9,25678,28304833.1,1210.0,832.4,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,DCMSHRIRAM,EQ,1138.0,1083.1,1108.65,1097.25,1102.0,1101.2,67336,74570083.35,1210.0,832.4,2024-10-20T18:30:00.000Z
