datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,DEVYANI,EQ,172.0,162.21,163.95,170.07,170.72,163.03,7714646,1308254839.72,227.5,142.25,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,DEVYANI,EQ,175.36,170.0,170.98,174.37,175.09,170.07,3119633,540165454.12,227.5,142.25,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,DEVYANI,EQ,177.8,170.88,175.5,176.08,176.0,174.37,3208562,562245471.33,227.5,142.25,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,DEVYANI,EQ,176.08,171.25,176.08,175.22,175.0,176.08,2131785,370865343.63,227.5,142.25,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,DEVYANI,EQ,179.85,172.12,175.0,176.2,175.4,175.22,3414258,598108727.86,227.5,142.25,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,DEVYANI,EQ,177.0,168.2,173.0,175.59,175.03,176.2,2453241,425933640.66,227.5,142.25,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,DEVYANI,EQ,182.0,174.02,174.15,181.11,181.24,175.59,3213952,575595456.45,227.5,142.25,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,DEVYANI,EQ,181.99,176.5,179.05,179.34,178.43,181.11,2700020,485537159.62,227.5,142.25,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,DEVYANI,EQ,180.25,175.1,179.18,176.94,176.5,179.34,1493145,264467966.91,227.5,142.25,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,DEVYANI,EQ,180.3,175.32,178.0,179.98,180.0,176.94,3374662,604275149.71,227.5,142.25,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,DEVYANI,EQ,182.95,179.25,180.0,181.32,181.45,179.98,2396828,434120547.9,227.5,142.25,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,DEVYANI,EQ,182.25,178.37,181.32,179.34,179.45,181.32,1463827,263844034.13,227.5,142.25,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,DEVYANI,EQ,179.0,173.5,178.0,174.11,174.0,179.34,2952243,518648193.03,227.5,142.25,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,DEVYANI,EQ,179.0,170.1,170.11,177.85,178.0,174.11,2202970,386379171.14,227.5,142.25,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,DEVYANI,EQ,188.57,167.0,174.1,181.27,179.0,177.85,16601519,2980940752.49,227.5,142.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,DEVYANI,EQ,183.89,174.16,183.0,179.95,180.0,181.27,5615383,1002216492.12,227.5,142.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,DEVYANI,EQ,181.94,175.12,181.0,176.8,176.35,179.95,1991867,352190968.32,227.5,142.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,DEVYANI,EQ,177.15,173.4,176.85,175.0,175.04,176.8,1799742,314314338.0,227.5,142.25,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,DEVYANI,EQ,178.5,172.01,176.0,172.55,172.5,175.0,1086334,188821054.86,227.5,142.25,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,DEVYANI,EQ,172.9,167.92,172.5,171.46,172.0,172.55,4111802,699959760.57,227.5,142.25,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,DEVYANI,EQ,173.0,167.02,173.0,167.68,167.99,171.46,651473,110527880.17,227.5,142.25,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,DEVYANI,EQ,171.2,165.66,169.94,170.43,170.0,167.68,1894617,319975065.16,227.5,142.25,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,DEVYANI,EQ,173.45,167.37,170.6,170.31,170.35,170.43,4760837,811526079.33,227.5,142.25,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,DEVYANI,EQ,173.9,169.1,171.2,169.76,169.6,170.31,1289807,221101926.64,227.5,142.25,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,DEVYANI,EQ,171.62,169.21,170.8,169.82,170.75,169.76,2480219,421560843.24,227.5,142.25,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,DEVYANI,EQ,177.0,170.11,170.35,175.12,175.13,169.82,1667483,291473425.71,227.5,142.25,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,DEVYANI,EQ,182.95,176.5,176.5,181.39,181.1,175.12,5309649,962086864.31,227.5,142.25,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,DEVYANI,EQ,191.33,181.45,182.15,184.92,185.25,181.39,16373728,3049745663.83,227.5,142.25,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,DEVYANI,EQ,188.5,178.88,185.93,179.47,179.86,184.92,2986986,546897867.01,227.5,142.25,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,DEVYANI,EQ,183.6,177.2,180.0,177.52,177.5,179.47,2932597,525500975.8,227.5,142.25,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,DEVYANI,EQ,183.3,178.17,179.15,178.81,178.5,177.52,2968757,536533207.16,227.5,142.25,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,DEVYANI,EQ,181.9,175.65,179.3,175.97,176.0,178.81,1634434,290297717.62,227.5,142.25,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,DEVYANI,EQ,177.94,174.76,177.2,175.91,176.5,175.97,2122411,373333206.29,227.5,142.25,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,DEVYANI,EQ,177.67,174.96,177.39,175.89,176.29,175.91,601517,105884442.37,227.5,142.25,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,DEVYANI,EQ,179.8,175.9,175.9,179.06,179.05,175.89,1105575,197447889.93,227.5,142.25,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,DEVYANI,EQ,182.6,176.5,177.0,180.32,180.2,179.06,1712449,308534415.64,227.5,142.25,2024-09-03T18:30:00.000Z
