datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,EICHERMOT,EQ,4917.0,4825.6,4851.05,4881.35,4885.0,4860.7,223485,1090452525.2,4976.0,3274.9,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,EICHERMOT,EQ,4935.65,4861.0,4881.4,4916.1,4920.0,4881.35,664540,3266173774.55,4976.0,3274.9,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,EICHERMOT,EQ,4965.0,4784.95,4818.0,4941.1,4927.85,4916.1,773064,3774980887.35,4976.0,3274.9,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,EICHERMOT,EQ,4925.0,4820.2,4905.0,4850.7,4857.1,4941.1,662969,3216771308.25,4976.0,3274.9,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,EICHERMOT,EQ,4869.9,4759.6,4767.0,4857.35,4850.0,4850.7,377893,1824288379.65,4976.0,3274.9,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,EICHERMOT,EQ,4975.0,4785.95,4857.05,4919.55,4908.0,4857.35,1128441,5535584889.5,4976.0,3274.9,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,EICHERMOT,EQ,4942.3,4879.0,4918.0,4915.35,4922.0,4919.55,400075,1962311435.05,4976.0,3274.9,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,EICHERMOT,EQ,4923.45,4872.35,4900.0,4900.65,4895.1,4915.35,413861,2028785497.65,4976.0,3274.9,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,EICHERMOT,EQ,5058.9,4863.75,4896.8,5012.5,5013.0,4900.65,625674,3128617388.65,5058.9,3274.9,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,EICHERMOT,EQ,5047.95,4931.15,5034.0,4962.25,4968.0,5012.5,338482,1680546759.15,5058.9,3274.9,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,EICHERMOT,EQ,4978.65,4904.15,4950.05,4951.85,4950.0,4962.25,683440,3371765193.4,5058.9,3274.9,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,EICHERMOT,EQ,4992.8,4939.95,4951.85,4962.7,4980.0,4951.85,567283,2817238504.3,5058.9,3274.9,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,EICHERMOT,EQ,5023.0,4903.5,4970.5,4968.8,4963.65,4962.7,654655,3238672967.25,5058.9,3274.9,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,EICHERMOT,EQ,4884.0,4691.55,4884.0,4726.7,4713.0,4968.8,2120560,10106590776.55,5058.9,3274.9,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,EICHERMOT,EQ,4693.35,4555.0,4612.15,4675.75,4659.95,4726.7,946316,4376440806.85,5058.9,3274.9,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,EICHERMOT,EQ,4752.0,4638.05,4687.0,4653.9,4669.0,4675.75,594238,2779823747.7,5058.9,3274.9,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,EICHERMOT,EQ,4690.0,4579.4,4664.95,4597.15,4618.0,4653.9,1093582,5049290227.15,5058.9,3274.9,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,EICHERMOT,EQ,4641.95,4548.0,4624.0,4576.9,4578.0,4597.15,979435,4489830104.1,5058.9,3274.9,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,EICHERMOT,EQ,4853.0,4716.95,4805.65,4830.6,4837.0,4576.9,1697560,8147150240.0,5058.9,3274.9,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,EICHERMOT,EQ,4852.05,4793.35,4799.0,4808.8,4814.0,4830.6,738630,3562144973.6,5058.9,3274.9,2024-08-11T18:30:00.000Z
