datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ELECTCAST,EQ,204.0,195.0,197.98,202.48,202.6,194.4,7969485,1604716677.34,208.0,54.15,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ELECTCAST,EQ,205.0,192.1,203.84,194.06,194.5,202.48,4173915,834161499.26,208.0,54.15,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ELECTCAST,EQ,194.0,186.0,194.0,188.49,188.12,194.06,2746321,520858828.56,208.0,54.15,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ELECTCAST,EQ,203.0,181.42,188.24,200.82,201.0,188.49,6401025,1240074500.88,208.0,54.15,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ELECTCAST,EQ,204.9,193.7,201.99,194.29,194.85,200.82,3123260,623506445.89,208.0,54.65,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ELECTCAST,EQ,200.51,184.0,195.39,194.81,195.9,194.29,3905926,756369555.34,208.0,54.65,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ELECTCAST,EQ,212.8,196.0,197.8,209.76,212.8,194.81,11987162,2486176206.07,212.8,54.65,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ELECTCAST,EQ,217.8,206.01,209.0,211.03,211.5,209.76,6230338,1323799440.13,217.8,54.65,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ELECTCAST,EQ,217.0,210.0,212.7,210.55,210.92,211.03,2487849,530322023.14,217.8,54.65,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ELECTCAST,EQ,214.5,206.76,212.99,210.07,211.6,210.55,2466501,516587296.31,217.8,56.1,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,ELECTCAST,EQ,221.4,208.26,210.95,216.8,217.7,210.07,5942733,1294508907.01,221.4,56.1,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,ELECTCAST,EQ,224.4,212.86,217.9,216.51,215.9,216.8,6857489,1502168692.92,224.4,56.1,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,ELECTCAST,EQ,223.95,210.46,219.8,213.27,215.45,216.51,5099384,1112347659.02,224.4,56.1,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,ELECTCAST,EQ,221.2,203.01,208.0,215.03,216.05,213.27,3602682,768813802.7,224.4,56.1,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,ELECTCAST,EQ,208.99,193.66,208.99,197.54,196.5,215.03,5097472,1016725683.87,224.4,57.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,ELECTCAST,EQ,209.8,194.0,202.7,195.72,198.49,197.54,3369144,685483028.61,224.4,57.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,ELECTCAST,EQ,205.5,198.05,199.4,204.59,205.5,195.72,1752023,352792087.44,224.4,57.0,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,ELECTCAST,EQ,207.8,201.35,205.9,202.36,202.2,204.59,1542112,315162881.14,224.4,57.0,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,ELECTCAST,EQ,212.5,201.75,205.4,210.63,210.36,202.36,3009967,625720431.63,224.4,57.0,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,ELECTCAST,EQ,214.5,202.56,210.0,210.43,210.11,210.63,2586203,543448373.47,224.4,57.0,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,ELECTCAST,EQ,213.9,200.0,211.9,201.42,202.5,210.43,2200580,456522344.45,224.4,57.0,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,ELECTCAST,EQ,205.4,195.55,203.7,200.15,200.8,201.42,2086456,419059483.56,224.4,57.0,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,ELECTCAST,EQ,204.12,197.85,203.0,200.98,200.15,200.15,1066163,213906414.56,224.4,57.0,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,ELECTCAST,EQ,206.7,201.08,201.9,204.13,205.0,200.98,1498431,306164238.29,224.4,58.75,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,ELECTCAST,EQ,207.6,203.45,205.3,205.54,205.16,204.13,1104295,227423891.05,224.4,58.75,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,ELECTCAST,EQ,214.1,205.49,205.54,211.16,211.05,205.54,2801475,592242476.73,224.4,58.75,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,ELECTCAST,EQ,224.0,211.79,213.0,220.37,220.25,211.16,6150807,1344758196.34,224.4,58.75,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,ELECTCAST,EQ,222.45,215.01,221.9,217.92,218.3,220.37,2021556,442022289.39,224.4,58.75,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,ELECTCAST,EQ,222.6,214.65,218.75,217.31,217.2,217.92,2448967,534150014.02,224.4,60.1,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,ELECTCAST,EQ,226.22,219.0,219.0,223.63,223.5,217.31,3781336,845990999.65,226.22,60.1,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,ELECTCAST,EQ,226.8,216.0,225.5,216.96,217.34,223.63,1871065,414114684.49,226.8,60.1,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,ELECTCAST,EQ,218.83,210.1,216.96,211.84,211.9,216.96,2027340,432424374.52,226.8,60.1,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,ELECTCAST,EQ,215.9,210.01,212.9,214.2,214.0,211.84,1436426,305789058.63,226.8,60.1,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,ELECTCAST,EQ,217.0,207.5,214.0,215.1,216.0,214.2,1928643,408358283.86,226.8,60.1,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,ELECTCAST,EQ,223.0,212.8,215.7,221.01,221.99,215.1,2557136,559233264.55,226.8,60.1,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,ELECTCAST,EQ,224.85,214.5,219.32,215.39,215.69,221.01,2558017,561768612.09,226.8,60.1,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,ELECTCAST,EQ,222.5,214.0,217.5,217.72,217.99,215.39,1593982,348280561.98,226.8,60.1,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,ELECTCAST,EQ,219.63,207.1,218.0,209.87,210.6,217.72,1712957,363300179.63,226.8,60.1,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,ELECTCAST,EQ,223.33,207.11,210.09,221.56,221.8,209.87,17958672,3816153657.59,226.8,60.1,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,ELECTCAST,EQ,224.95,218.51,221.9,220.63,220.5,221.56,2873481,637127464.02,226.8,60.1,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,ELECTCAST,EQ,224.5,212.74,221.3,213.88,214.5,220.63,1876516,409876369.94,226.8,60.1,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,ELECTCAST,EQ,233.48,214.95,214.95,230.55,230.65,213.88,8946516,2028458982.69,233.48,60.1,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,ELECTCAST,EQ,236.6,228.41,231.6,230.91,230.61,230.55,4669461,1085575672.79,236.6,60.1,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,ELECTCAST,EQ,232.1,222.0,232.0,225.14,225.0,230.91,2116880,476625837.43,236.6,61.75,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,ELECTCAST,EQ,225.0,210.3,225.0,215.91,216.2,225.14,3860721,834144049.85,236.6,61.75,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,ELECTCAST,EQ,221.5,214.26,216.15,218.65,217.4,215.91,2240296,488982018.91,236.6,61.75,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,ELECTCAST,EQ,220.66,210.1,219.35,212.06,213.0,218.65,2122609,455094038.21,236.6,61.75,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,ELECTCAST,EQ,221.2,212.66,215.0,220.1,219.88,212.06,1861804,404838967.36,236.6,61.75,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,ELECTCAST,EQ,221.75,215.1,220.8,217.76,218.15,220.1,1036837,225540545.94,236.6,61.75,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,ELECTCAST,EQ,220.5,214.02,218.0,216.1,217.0,217.76,1306300,282922551.71,236.6,61.75,2024-09-23T18:30:00.000Z
