datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-08-12T18:30:00.000Z,FIRSTCRY,EQ,707.7,640.0,651.0,679.1,673.5,465.0,61142512,41170825034.75,707.7,640.0,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,FIRSTCRY,EQ,677.7,633.3,669.9,641.95,643.1,679.1,6852935,4466404551.05,707.7,633.3,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,FIRSTCRY,EQ,688.0,636.1,640.0,669.9,669.0,641.95,8853277,5932548102.05,707.7,633.3,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,FIRSTCRY,EQ,704.0,658.65,674.0,671.65,669.05,669.9,3466502,2353654810.75,707.7,633.3,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,FIRSTCRY,EQ,684.95,628.3,675.95,632.1,637.0,671.65,3365425,2174275372.5,707.7,628.3,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,FIRSTCRY,EQ,644.65,621.9,633.15,627.3,625.55,632.1,1507649,952040471.65,707.7,621.9,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,FIRSTCRY,EQ,662.4,628.95,629.45,642.0,645.55,627.3,1875742,1210406648.8,707.7,621.9,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,FIRSTCRY,EQ,657.0,635.0,645.0,638.65,640.0,642.0,1199216,773805453.45,707.7,621.9,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,FIRSTCRY,EQ,643.6,621.0,639.95,625.95,626.5,638.65,831690,523900362.05,707.7,621.0,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,FIRSTCRY,EQ,641.0,622.8,626.5,628.35,630.0,625.95,1029636,647098072.5,707.7,621.0,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,FIRSTCRY,EQ,640.95,621.45,631.95,623.4,623.35,628.35,954516,597902124.45,707.7,621.0,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,FIRSTCRY,EQ,636.0,623.05,625.0,628.3,627.5,623.4,1268583,796807730.7,707.7,621.0,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,FIRSTCRY,EQ,650.5,627.3,632.45,640.55,640.0,628.3,1613201,1033454723.15,707.7,621.0,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,FIRSTCRY,EQ,650.0,624.1,639.05,632.2,632.0,640.55,1355319,855896466.3,707.7,621.0,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,FIRSTCRY,EQ,637.2,621.6,635.0,625.15,625.0,632.2,894678,559167004.55,707.7,621.0,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,FIRSTCRY,EQ,626.75,605.0,621.0,612.85,612.75,625.15,637472,390168865.85,707.7,605.0,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,FIRSTCRY,EQ,619.55,610.0,615.0,614.05,611.4,612.85,382162,234535809.95,707.7,605.0,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,FIRSTCRY,EQ,635.0,611.0,616.4,622.8,623.5,614.05,891796,556587485.5,707.7,605.0,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,FIRSTCRY,EQ,625.0,587.6,623.0,601.7,604.5,622.8,1780571,1070603564.0,707.7,587.6,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,FIRSTCRY,EQ,617.35,599.0,604.25,606.85,604.0,601.7,694207,421355877.35,707.7,587.6,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,FIRSTCRY,EQ,644.9,604.05,606.5,639.35,640.0,606.85,1418481,899590156.35,707.7,587.6,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,FIRSTCRY,EQ,657.9,633.25,640.1,652.35,650.0,639.35,1328028,859377077.8,707.7,587.6,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,FIRSTCRY,EQ,663.3,646.05,649.35,655.75,655.0,652.35,571772,374915580.25,707.7,587.6,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,FIRSTCRY,EQ,661.45,638.0,660.0,641.1,642.0,655.75,557166,358873267.05,707.7,587.6,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,FIRSTCRY,EQ,645.0,635.0,640.05,639.75,642.0,641.1,307613,196578516.55,707.7,587.6,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,FIRSTCRY,EQ,645.55,635.85,641.0,641.35,640.0,639.75,591487,379553419.95,707.7,587.6,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,FIRSTCRY,EQ,688.45,632.75,676.95,645.75,649.95,641.35,2634494,1737335331.95,707.7,587.6,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,FIRSTCRY,EQ,673.65,644.45,653.9,652.45,650.0,645.75,1091515,710201969.55,707.7,587.6,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,FIRSTCRY,EQ,658.2,641.2,656.05,653.05,651.0,652.45,687652,447924269.5,707.7,587.6,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,FIRSTCRY,EQ,672.95,641.5,649.9,665.5,665.0,653.05,647755,427017321.1,707.7,587.6,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,FIRSTCRY,EQ,664.9,652.0,664.9,657.9,661.0,665.5,391143,256940592.3,707.7,587.6,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,FIRSTCRY,EQ,662.65,648.7,658.1,657.95,656.0,657.9,502127,329940832.6,707.7,587.6,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,FIRSTCRY,EQ,656.95,621.1,651.25,625.75,631.0,657.95,288771,183614256.05,707.7,587.6,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,FIRSTCRY,EQ,648.0,611.4,625.75,644.0,642.0,625.75,644641,407565929.25,707.7,587.6,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,FIRSTCRY,EQ,662.0,634.0,635.0,646.2,646.0,644.0,1462403,948624106.4,707.7,587.6,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,FIRSTCRY,EQ,668.0,626.6,639.15,654.9,652.0,646.2,630223,412447653.85,707.7,587.6,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,FIRSTCRY,EQ,661.45,646.4,647.3,653.0,649.0,654.9,633310,413571642.4,707.7,587.6,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,FIRSTCRY,EQ,659.65,622.75,645.1,625.5,626.95,653.0,718955,455547069.5,707.7,587.6,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,FIRSTCRY,EQ,653.45,617.8,621.0,642.65,641.1,625.5,564362,362262261.5,707.7,587.6,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,FIRSTCRY,EQ,654.5,633.05,643.9,641.35,647.6,642.65,347463,222255720.35,707.7,587.6,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,FIRSTCRY,EQ,684.0,646.05,649.05,672.25,673.0,641.35,1072093,717630772.95,707.7,587.6,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,FIRSTCRY,EQ,697.5,669.0,678.95,682.4,680.7,672.25,904147,621546698.7,707.7,587.6,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,FIRSTCRY,EQ,724.0,673.0,682.4,718.25,714.0,682.4,1355436,955427243.55,724.0,587.6,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,FIRSTCRY,EQ,734.0,707.25,726.0,722.8,720.15,718.25,1011167,730215517.9,734.0,587.6,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,FIRSTCRY,EQ,720.15,690.5,720.0,697.35,695.8,722.8,561781,394054085.95,734.0,587.6,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,FIRSTCRY,EQ,706.9,678.25,695.65,692.9,690.0,697.35,516351,355350071.8,734.0,587.6,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,FIRSTCRY,EQ,714.8,675.35,687.95,682.4,682.6,692.9,450511,313945134.5,734.0,587.6,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,FIRSTCRY,EQ,697.7,659.05,688.95,664.0,664.9,682.4,304865,206193828.1,734.0,587.6,2024-10-20T18:30:00.000Z
