datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,FIVESTAR,EQ,823.0,787.35,795.0,805.55,804.25,796.15,564909,454496580.65,876.55,600.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,FIVESTAR,EQ,807.1,774.0,805.55,780.65,781.8,805.55,678274,530257546.35,876.55,600.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,FIVESTAR,EQ,787.15,760.1,786.85,766.1,770.0,780.65,742057,570598731.45,876.55,600.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,FIVESTAR,EQ,774.25,745.45,767.65,767.65,771.1,766.1,411936,313531327.9,876.55,600.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,FIVESTAR,EQ,769.6,753.0,767.65,758.55,764.35,767.65,161691,123002273.4,876.55,600.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,FIVESTAR,EQ,763.0,740.1,758.55,759.6,763.0,758.55,259319,196096574.05,876.55,600.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,FIVESTAR,EQ,760.0,740.9,760.0,744.2,742.8,759.6,274257,205878958.55,876.55,600.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,FIVESTAR,EQ,742.0,716.0,722.0,723.9,729.8,744.2,382135,277993240.15,876.55,600.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,FIVESTAR,EQ,764.85,728.75,733.35,757.85,759.5,723.9,496063,373270420.85,876.55,600.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,FIVESTAR,EQ,782.0,759.5,768.95,770.0,766.0,757.85,280219,215824046.05,876.55,600.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,FIVESTAR,EQ,775.05,751.0,775.05,754.25,756.0,770.0,270618,205910767.0,876.55,600.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,FIVESTAR,EQ,769.25,737.5,759.0,757.05,756.8,754.25,976184,735671644.85,876.55,600.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,FIVESTAR,EQ,781.8,757.0,764.6,764.4,765.5,757.05,547989,420579280.2,876.55,600.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,FIVESTAR,EQ,785.0,748.6,758.85,777.55,778.0,764.4,420918,325855945.95,876.55,600.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,FIVESTAR,EQ,767.8,723.8,767.8,727.2,725.0,777.55,568839,420013138.65,876.55,600.05,2024-08-04T18:30:00.000Z
