datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,FSL,EQ,255.0,242.76,250.81,252.98,253.0,249.43,2601155,649126809.01,258.95,134.3,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,FSL,EQ,256.5,247.0,252.8,254.01,254.0,252.98,3210967,812496512.02,258.95,134.3,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,FSL,EQ,258.0,244.0,250.0,245.16,245.6,254.01,3355053,835602075.45,258.95,134.3,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,FSL,EQ,258.59,241.6,248.0,244.69,243.49,245.16,8460052,2123911879.81,258.95,134.3,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,FSL,EQ,249.39,240.81,244.5,244.57,244.8,244.69,2066923,507369380.56,258.95,136.5,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,FSL,EQ,247.02,226.62,247.02,240.4,241.35,244.57,2472109,591126177.53,258.95,136.5,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,FSL,EQ,249.5,239.35,239.9,247.96,247.82,240.4,2225829,550830239.36,258.95,136.5,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,FSL,EQ,248.47,243.02,245.0,247.38,247.0,247.96,915438,225818861.01,258.95,136.5,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,FSL,EQ,262.8,246.05,249.35,256.27,255.9,247.38,7083391,1828677796.32,262.8,136.5,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,FSL,EQ,269.25,257.2,258.6,267.19,267.14,256.27,5842301,1546855948.43,269.25,140.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,FSL,EQ,278.94,264.61,267.6,271.28,271.9,267.19,10929219,2978869354.42,278.94,140.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,FSL,EQ,275.75,269.35,275.0,273.44,272.9,271.28,3279980,892970013.32,278.94,140.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,FSL,EQ,309.3,273.4,275.0,301.0,300.4,273.44,60241210,18076608469.65,309.3,140.6,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,FSL,EQ,300.6,291.1,296.0,297.35,297.6,301.0,7585463,2252366646.8,309.3,140.6,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,FSL,EQ,290.9,272.25,283.0,275.55,275.65,297.35,6922982,1936031773.25,309.3,144.7,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,FSL,EQ,317.9,281.0,281.0,290.1,290.9,275.55,49846364,15084866435.1,317.9,144.7,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,FSL,EQ,302.8,284.35,296.0,288.75,290.35,290.1,9989363,2905653396.65,317.9,144.7,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,FSL,EQ,295.55,282.2,288.8,283.3,283.5,288.75,4674985,1354130882.9,317.9,144.7,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,FSL,EQ,289.65,282.4,285.8,284.35,283.3,283.3,2748009,786075527.75,317.9,144.7,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,FSL,EQ,287.4,280.05,282.85,285.7,284.5,284.35,2586221,734681365.35,317.9,145.15,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,FSL,EQ,292.95,275.1,284.1,277.0,278.5,285.7,3511245,1001043128.95,317.9,145.15,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,FSL,EQ,293.0,276.0,276.65,290.4,290.8,277.0,7122393,2035377031.7,317.9,145.15,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,FSL,EQ,325.0,296.25,298.0,307.7,307.75,290.4,38575796,12065580453.95,325.0,145.15,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,FSL,EQ,343.9,305.55,310.5,337.35,338.75,307.7,36747256,12047080834.5,343.9,148.3,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,FSL,EQ,343.7,319.1,340.0,321.1,323.5,337.35,14747418,4872672288.1,343.9,148.3,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,FSL,EQ,329.7,317.15,322.15,327.15,327.4,321.1,7259868,2348920527.95,343.9,148.3,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,FSL,EQ,329.9,315.3,328.95,317.95,316.05,327.15,4263591,1370223756.55,343.9,148.3,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,FSL,EQ,331.0,308.1,317.95,323.35,322.3,317.95,11079086,3545998869.3,343.9,148.3,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,FSL,EQ,324.65,313.35,324.4,315.3,314.9,323.35,4686613,1489921122.35,343.9,148.3,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,FSL,EQ,318.25,307.25,315.85,308.6,307.5,315.3,4889548,1520583989.95,343.9,148.3,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,FSL,EQ,313.7,305.0,310.0,305.95,307.25,308.6,4657442,1439257740.0,343.9,148.3,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,FSL,EQ,319.9,306.1,307.05,308.85,309.0,305.95,7855487,2465504779.05,343.9,148.3,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,FSL,EQ,316.5,301.1,311.75,303.25,302.25,308.85,5133515,1581208195.05,343.9,148.3,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,FSL,EQ,322.75,300.6,304.65,315.05,316.0,303.25,20133902,6361308176.8,343.9,148.3,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,FSL,EQ,320.9,310.05,316.3,312.15,313.4,315.05,4950500,1561281118.5,343.9,148.3,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,FSL,EQ,321.0,305.8,308.0,313.05,314.6,312.15,4675386,1472836939.85,343.9,148.3,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,FSL,EQ,325.5,313.95,313.95,319.65,320.0,313.05,7401803,2373001137.25,343.9,148.3,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,FSL,EQ,324.0,313.15,320.0,315.5,315.55,319.65,3855504,1224618389.25,343.9,148.3,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,FSL,EQ,318.7,307.85,315.65,310.8,313.0,315.5,3177576,987233588.2,343.9,148.3,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,FSL,EQ,330.95,312.45,312.45,328.75,327.0,310.8,9365308,3030550204.2,343.9,148.3,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,FSL,EQ,333.1,317.0,328.0,319.35,318.1,328.75,4497233,1464400081.1,343.9,148.3,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,FSL,EQ,332.7,312.65,322.9,318.45,318.95,319.35,4911267,1570218192.55,343.9,148.3,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,FSL,EQ,320.35,308.15,320.3,311.05,310.4,318.45,2880956,903373313.45,343.9,148.3,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,FSL,EQ,312.9,302.4,312.0,307.7,306.45,311.05,3050107,932953593.55,343.9,148.3,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,FSL,EQ,318.5,307.7,318.0,309.4,308.65,307.7,5859139,1832325257.2,343.9,148.3,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,FSL,EQ,310.5,294.5,308.8,301.95,305.25,309.4,3555057,1075174612.1,343.9,148.3,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,FSL,EQ,315.0,303.0,306.0,308.45,309.95,301.95,10896103,3366359433.4,343.9,148.3,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,FSL,EQ,318.9,307.25,310.5,311.3,312.0,308.45,6255046,1955721327.95,343.9,148.3,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,FSL,EQ,316.4,310.0,312.75,314.65,315.4,311.3,2187606,684792765.6,343.9,148.3,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,FSL,EQ,339.0,318.35,322.0,333.5,334.0,314.65,31733865,10544726168.0,343.9,148.3,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,FSL,EQ,345.0,330.75,335.35,342.45,339.5,333.5,11074909,3749251112.75,345.0,148.3,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,FSL,EQ,343.5,327.0,343.45,329.45,328.4,342.45,5359842,1781078281.55,345.0,148.3,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,FSL,EQ,336.55,316.1,331.75,319.3,319.2,329.45,5090032,1664081495.1,345.0,148.3,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,FSL,EQ,319.05,308.95,319.0,311.15,311.5,319.3,3810638,1187768659.25,345.0,148.3,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,FSL,EQ,316.3,310.25,312.45,312.3,312.8,311.15,1892861,592564594.65,345.0,148.3,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,FSL,EQ,312.85,302.3,306.1,307.35,308.0,312.3,2564525,790870450.6,345.0,148.3,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,FSL,EQ,311.6,302.35,308.25,303.95,305.0,307.35,3512359,1077849177.1,345.0,148.3,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,FSL,EQ,312.3,295.05,305.65,299.3,298.4,303.95,5976238,1815235517.2,345.0,148.3,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,FSL,EQ,319.6,298.85,299.3,316.45,317.0,299.3,3492386,1082297521.75,345.0,148.3,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,FSL,EQ,322.4,312.65,318.95,313.6,313.15,316.45,2390274,757361625.1,345.0,148.3,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,FSL,EQ,317.75,308.0,314.95,310.2,310.05,313.6,1423594,444691350.75,345.0,148.3,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,FSL,EQ,319.8,307.95,308.5,316.0,316.55,310.2,2541521,803143251.2,345.0,148.3,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,FSL,EQ,321.5,313.2,316.6,318.0,317.8,316.0,1227465,388991732.0,345.0,148.3,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,FSL,EQ,339.5,318.4,320.05,336.5,336.0,318.0,8044516,2667073608.35,345.0,148.3,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,FSL,EQ,339.9,328.35,335.0,337.45,338.0,336.5,2732851,910621118.2,345.0,148.3,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,FSL,EQ,346.6,328.6,337.45,338.2,333.0,337.45,5416577,1832885184.3,346.6,148.3,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,FSL,EQ,336.35,325.0,331.0,331.9,331.0,338.2,2823953,935826645.75,346.6,148.3,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,FSL,EQ,339.2,325.05,331.9,327.65,325.3,331.9,2458773,818147362.45,346.6,148.3,2024-10-20T18:30:00.000Z
