datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,GLAXO,EQ,2588.0,2541.7,2580.0,2552.55,2554.8,2570.7,39918,102131163.2,2760.0,1377.25,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,GLAXO,EQ,2690.0,2543.0,2543.0,2619.75,2611.0,2552.55,177738,466660426.6,2760.0,1377.25,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,GLAXO,EQ,2650.95,2525.0,2620.95,2563.65,2571.9,2619.75,128328,329016530.25,2760.0,1377.25,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,GLAXO,EQ,2587.0,2541.0,2553.1,2573.15,2574.0,2563.65,79070,202174797.15,2760.0,1377.25,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,GLAXO,EQ,2655.0,2551.0,2551.0,2621.1,2622.0,2573.15,192853,503997218.25,2760.0,1380.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,GLAXO,EQ,2825.0,2610.1,2621.1,2689.65,2696.0,2621.1,1257778,3454123494.1,2825.0,1380.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,GLAXO,EQ,2755.0,2684.05,2716.0,2695.05,2700.0,2689.65,123725,336078930.3,2825.0,1380.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,GLAXO,EQ,2747.8,2660.05,2717.8,2677.85,2685.85,2695.05,114251,309634665.7,2825.0,1380.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,GLAXO,EQ,2740.0,2692.0,2705.0,2707.3,2698.0,2677.85,76491,207866717.15,2825.0,1380.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,GLAXO,EQ,2796.75,2712.0,2734.9,2738.1,2744.8,2707.3,121426,333382352.0,2825.0,1385.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,GLAXO,EQ,2773.6,2688.0,2744.95,2695.8,2695.0,2738.1,90451,247511629.15,2825.0,1385.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,GLAXO,EQ,2787.0,2697.05,2710.5,2730.6,2736.5,2695.8,122541,337759920.1,2825.0,1385.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,GLAXO,EQ,2765.0,2702.1,2740.0,2758.25,2759.0,2730.6,138659,380043557.2,2825.0,1385.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,GLAXO,EQ,2860.0,2720.1,2739.95,2820.25,2846.6,2758.25,255497,718861843.4,2860.0,1385.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,GLAXO,EQ,2836.4,2728.0,2760.0,2763.95,2767.0,2820.25,176964,491981824.55,2860.0,1385.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,GLAXO,EQ,2879.9,2769.75,2769.75,2789.65,2780.0,2763.95,176490,499673207.55,2879.9,1385.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,GLAXO,EQ,2895.0,2808.8,2811.3,2820.4,2828.0,2789.65,156591,445921486.25,2895.0,1385.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,GLAXO,EQ,2940.0,2834.65,2834.65,2873.65,2878.0,2820.4,178410,517027877.9,2940.0,1385.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,GLAXO,EQ,2929.0,2867.75,2886.45,2875.05,2884.0,2873.65,73464,212774609.8,2940.0,1385.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,GLAXO,EQ,2944.9,2875.05,2889.0,2890.25,2889.8,2875.05,105340,306632901.6,2944.9,1385.05,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,GLAXO,EQ,2932.5,2816.15,2900.0,2826.05,2850.0,2890.25,90516,258500276.3,2944.9,1385.05,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,GLAXO,EQ,2869.4,2812.95,2848.0,2821.95,2822.0,2826.05,129718,366565224.2,2944.9,1385.05,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,GLAXO,EQ,2966.95,2829.05,2830.0,2905.85,2895.0,2821.95,139605,407960870.9,2966.95,1385.05,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,GLAXO,EQ,2969.95,2906.0,2969.95,2931.35,2937.75,2905.85,79417,233126967.1,2969.95,1385.05,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,GLAXO,EQ,2937.7,2857.8,2934.0,2892.25,2900.0,2931.35,173393,500603174.85,2969.95,1385.05,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,GLAXO,EQ,3088.0,2888.95,2899.25,3061.45,3073.0,2892.25,376793,1142321370.65,3088.0,1385.05,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,GLAXO,EQ,3069.45,2910.45,3048.4,2914.85,2911.5,3061.45,221114,652589674.05,3088.0,1385.05,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,GLAXO,EQ,2959.0,2896.0,2918.0,2944.0,2950.0,2914.85,144154,422712884.05,3088.0,1385.05,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,GLAXO,EQ,3028.9,2897.05,2959.0,2907.05,2911.0,2944.0,128448,380329766.2,3088.0,1385.05,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,GLAXO,EQ,2926.15,2868.0,2922.85,2874.05,2868.35,2907.05,95840,277002325.8,3088.0,1385.05,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,GLAXO,EQ,2895.05,2790.0,2893.7,2805.5,2815.0,2874.05,131329,371525546.6,3088.0,1385.05,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,GLAXO,EQ,2825.0,2759.0,2815.0,2766.7,2765.0,2805.5,98803,275553796.3,3088.0,1385.05,2024-08-28T18:30:00.000Z
