datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,GODREJIND,EQ,908.65,898.45,905.0,901.75,902.6,903.55,143555,129733728.1,990.0,468.5,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,GODREJIND,EQ,913.4,900.0,906.0,901.0,900.0,901.75,332497,300120928.3,990.0,468.5,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,GODREJIND,EQ,902.4,880.8,895.0,885.45,886.45,901.0,344093,306876227.35,990.0,468.5,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,GODREJIND,EQ,890.0,874.0,886.95,880.7,874.1,885.45,239311,210841467.8,990.0,468.5,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,GODREJIND,EQ,893.95,856.4,862.05,891.3,890.75,880.7,127091,112247262.95,990.0,468.5,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,GODREJIND,EQ,906.4,875.0,891.0,892.9,890.0,891.3,282947,252864223.0,990.0,468.5,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,GODREJIND,EQ,892.6,874.0,883.95,889.35,890.0,892.9,143696,127166029.25,990.0,468.5,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,GODREJIND,EQ,898.1,879.0,885.0,887.95,885.8,889.35,162177,143871754.65,990.0,468.5,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,GODREJIND,EQ,903.95,887.4,889.0,894.95,897.0,887.95,194222,173430758.7,990.0,468.5,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,GODREJIND,EQ,918.45,893.0,893.0,903.9,901.0,894.95,297818,270529821.95,990.0,468.5,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,GODREJIND,EQ,919.0,897.35,904.0,908.65,908.0,903.9,199306,180760110.7,990.0,468.5,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,GODREJIND,EQ,920.0,899.0,910.6,906.75,908.0,908.65,209596,190011629.65,990.0,468.5,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,GODREJIND,EQ,966.75,908.8,909.25,951.05,954.5,906.75,1131291,1070195963.1,990.0,468.5,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,GODREJIND,EQ,959.7,915.85,959.7,925.8,927.0,951.05,348147,326215380.45,990.0,468.5,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,GODREJIND,EQ,910.0,865.1,910.0,875.95,875.9,925.8,200314,176596792.1,990.0,468.5,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,GODREJIND,EQ,894.4,865.1,876.0,870.35,870.0,875.95,102399,90642079.2,990.0,468.5,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,GODREJIND,EQ,892.2,869.35,892.2,874.65,871.0,870.35,75978,66682343.6,990.0,468.5,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,GODREJIND,EQ,882.0,862.05,877.3,870.2,875.95,874.65,63067,55025020.75,990.0,468.5,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,GODREJIND,EQ,889.3,872.8,875.3,882.15,882.0,870.2,51503,45282931.8,990.0,468.5,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,GODREJIND,EQ,909.0,864.8,886.95,899.0,909.0,882.15,105921,94469059.25,990.0,483.7,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,GODREJIND,EQ,939.8,882.0,908.0,888.65,888.95,899.0,1438927,1308827176.35,990.0,483.7,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,GODREJIND,EQ,900.65,870.95,895.0,890.05,890.0,888.65,131258,116338315.75,990.0,483.7,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,GODREJIND,EQ,918.0,891.05,897.65,905.65,904.55,890.05,144855,131308363.95,990.0,483.7,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,GODREJIND,EQ,919.75,898.6,912.0,915.95,915.05,905.65,77355,70533852.15,990.0,488.9,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,GODREJIND,EQ,955.0,910.15,917.95,932.15,927.0,915.95,284506,265460463.45,990.0,488.9,2024-08-19T18:30:00.000Z
