datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,GRASIM,EQ,2852.95,2786.0,2850.0,2803.75,2805.95,2843.75,1333353,3750095514.0,2852.95,1748.6,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,GRASIM,EQ,2844.75,2810.3,2818.0,2827.35,2821.0,2803.75,756629,2142123759.45,2852.95,1748.6,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,GRASIM,EQ,2845.8,2777.0,2810.0,2791.8,2791.9,2827.35,1181529,3307842697.45,2852.95,1748.6,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,GRASIM,EQ,2789.95,2734.5,2786.0,2743.0,2750.65,2791.8,424329,1168957960.95,2852.95,1748.6,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,GRASIM,EQ,2822.0,2702.0,2702.0,2811.55,2813.9,2743.0,1248824,3493606311.7,2852.95,1758.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,GRASIM,EQ,2850.95,2774.05,2811.0,2823.05,2824.0,2811.55,1046046,2958741626.85,2852.95,1758.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,GRASIM,EQ,2830.0,2775.0,2830.0,2806.9,2821.0,2823.05,2880833,8055340404.55,2852.95,1758.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,GRASIM,EQ,2825.0,2771.55,2805.0,2797.55,2801.0,2806.9,550900,1541648200.65,2852.95,1758.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,GRASIM,EQ,2877.75,2808.5,2824.95,2843.3,2844.75,2797.55,701236,1997517322.8,2877.75,1758.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,GRASIM,EQ,2865.0,2820.0,2859.9,2828.2,2838.0,2843.3,501949,1421764233.5,2877.75,1758.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,GRASIM,EQ,2830.0,2782.85,2828.2,2790.9,2783.75,2828.2,721728,2023732201.0,2877.75,1758.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,GRASIM,EQ,2798.75,2761.55,2790.9,2776.75,2777.0,2790.9,662086,1840195907.4,2877.75,1758.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,GRASIM,EQ,2788.65,2753.6,2781.95,2767.0,2760.0,2776.75,383675,1062287186.35,2877.75,1758.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,GRASIM,EQ,2757.1,2701.0,2749.5,2706.8,2703.4,2767.0,401105,1094007371.1,2877.75,1758.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,GRASIM,EQ,2678.95,2587.75,2655.15,2612.25,2615.0,2706.8,1049292,2748585114.35,2877.75,1758.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,GRASIM,EQ,2679.4,2610.0,2627.0,2620.5,2632.0,2612.25,813893,2152853790.75,2877.75,1758.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,GRASIM,EQ,2659.4,2632.25,2650.0,2637.05,2644.9,2620.5,551368,1457621606.1,2877.75,1758.05,2024-08-06T18:30:00.000Z
