datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,HDFCLIFE,EQ,648.0,630.5,635.55,638.05,637.75,635.55,6951688,4452748400.8,710.6,511.4,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,HDFCLIFE,EQ,655.0,633.35,642.0,646.75,645.7,638.05,9167071,5913759478.1,710.6,511.4,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,HDFCLIFE,EQ,651.4,641.1,646.75,648.9,647.75,646.75,3975243,2571462189.2,710.6,511.4,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,HDFCLIFE,EQ,646.0,634.15,644.65,635.9,635.05,648.9,2496778,1594795135.9,710.6,511.4,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,HDFCLIFE,EQ,641.0,628.95,631.9,637.4,639.0,635.9,3854108,2456171413.45,710.6,511.4,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,HDFCLIFE,EQ,649.7,623.25,642.0,643.95,643.0,637.4,9082995,5804717749.55,710.6,511.4,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,HDFCLIFE,EQ,675.0,639.3,639.6,672.8,672.0,643.95,12377638,8234147875.85,710.6,511.4,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,HDFCLIFE,EQ,685.6,665.55,666.0,683.15,682.0,672.8,9386864,6370340299.9,710.6,511.4,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,HDFCLIFE,EQ,709.8,682.05,683.15,703.35,703.25,683.15,8933046,6259915750.75,710.6,511.4,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,HDFCLIFE,EQ,710.0,693.75,703.55,696.85,698.0,703.35,4676765,3269552902.1,710.6,511.4,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,HDFCLIFE,EQ,708.35,683.9,696.1,697.2,696.0,696.85,6134510,4285165600.4,710.6,511.4,2024-07-29T18:30:00.000Z
