datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,HINDCOPPER,EQ,336.45,327.65,331.0,331.6,332.45,330.25,3941525,1312195127.75,415.8,117.85,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,HINDCOPPER,EQ,335.0,328.1,331.65,329.05,329.3,331.6,2662224,881623198.2,415.8,117.85,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,HINDCOPPER,EQ,328.4,317.95,328.4,320.2,318.5,329.05,3983681,1283507331.45,415.8,117.85,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,HINDCOPPER,EQ,317.9,306.7,317.9,307.8,309.7,320.2,5548551,1724885415.55,415.8,117.85,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,HINDCOPPER,EQ,324.7,301.6,304.8,322.35,322.4,307.8,9508278,3028719776.1,415.8,117.95,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,HINDCOPPER,EQ,323.35,302.65,321.9,312.75,312.05,322.35,11044851,3447780757.85,415.8,117.95,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,HINDCOPPER,EQ,316.0,308.65,310.2,310.85,311.2,312.75,3699538,1153951312.2,415.8,117.95,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,HINDCOPPER,EQ,310.35,305.65,306.0,308.9,310.1,310.85,3728928,1148087582.25,415.8,117.95,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,HINDCOPPER,EQ,317.9,309.95,310.0,315.4,315.0,308.9,3964899,1250605768.4,415.8,117.95,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,HINDCOPPER,EQ,321.0,314.75,318.3,315.8,316.2,315.4,3145736,1000788031.75,415.8,130.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,HINDCOPPER,EQ,321.45,313.7,315.8,318.3,318.95,315.8,3831964,1218403210.0,415.8,130.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,HINDCOPPER,EQ,325.4,319.15,319.15,321.6,322.5,318.3,3814938,1227903426.35,415.8,130.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,HINDCOPPER,EQ,329.7,317.25,326.0,319.5,319.5,321.6,6419350,2082934038.45,415.8,130.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,HINDCOPPER,EQ,315.55,308.2,312.35,310.15,310.15,319.5,5220719,1624994755.7,415.8,130.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,HINDCOPPER,EQ,303.95,287.1,300.0,289.35,288.0,310.15,9200604,2708095650.7,415.8,135.1,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,HINDCOPPER,EQ,297.0,282.1,295.0,283.65,283.9,289.35,5590600,1622747158.15,415.8,135.1,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,HINDCOPPER,EQ,297.5,285.6,289.4,296.2,297.0,283.65,3860469,1125057358.85,415.8,135.1,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,HINDCOPPER,EQ,302.65,291.5,296.0,295.45,294.9,296.2,3603263,1069062327.85,415.8,135.1,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,HINDCOPPER,EQ,306.5,299.55,300.0,303.15,302.5,295.45,4487901,1361594561.1,415.8,135.1,2024-08-08T18:30:00.000Z
