datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,HINDZINC,EQ,669.9,653.0,668.0,659.7,661.0,664.65,398746,263962831.35,807.7,284.6,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,HINDZINC,EQ,663.45,655.0,660.5,662.1,663.05,659.7,396045,261270302.2,807.7,284.6,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,HINDZINC,EQ,669.5,646.0,667.0,647.9,647.0,662.1,597374,390566428.25,807.7,284.6,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,HINDZINC,EQ,654.55,635.0,647.95,641.75,639.7,647.9,488014,314558237.15,807.7,284.6,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,HINDZINC,EQ,638.85,624.0,632.0,632.0,634.0,641.75,481431,304299825.95,807.7,284.6,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,HINDZINC,EQ,635.9,604.95,632.0,622.45,622.7,632.0,470578,293018560.75,807.7,284.6,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,HINDZINC,EQ,645.95,624.0,624.1,634.35,636.0,622.45,336587,214273079.75,807.7,284.6,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,HINDZINC,EQ,629.05,608.25,627.05,611.45,608.25,634.35,783701,483403119.05,807.7,284.6,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,HINDZINC,EQ,624.0,599.0,610.05,603.5,606.0,611.45,915304,557968095.65,807.7,284.6,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,HINDZINC,EQ,642.0,608.2,611.0,633.7,640.0,603.5,759838,473459611.2,807.7,284.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,HINDZINC,EQ,647.7,635.2,640.0,641.5,640.5,633.7,526190,337069668.5,807.7,284.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,HINDZINC,EQ,654.5,633.05,637.0,646.85,647.35,641.5,422937,271210786.9,807.7,284.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,HINDZINC,EQ,655.7,639.2,654.0,647.6,643.45,646.85,540659,349947204.35,807.7,284.6,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,HINDZINC,EQ,663.15,632.55,640.0,651.8,651.4,647.6,1155061,751644632.5,807.7,284.6,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,HINDZINC,EQ,636.0,609.1,626.05,617.15,617.0,651.8,812500,503507221.7,807.7,284.6,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,HINDZINC,EQ,629.95,605.0,615.0,608.7,606.0,617.15,490504,301687319.35,807.7,284.6,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,HINDZINC,EQ,632.0,591.4,615.0,595.35,596.7,608.7,1411776,854841586.7,807.7,284.6,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,HINDZINC,EQ,604.4,588.0,598.5,599.95,600.0,595.35,752219,447649937.0,807.7,284.6,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,HINDZINC,EQ,610.4,592.0,610.4,594.0,594.3,599.95,455571,272860408.8,807.7,284.6,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,HINDZINC,EQ,627.9,599.0,599.95,614.2,612.8,594.0,930564,571934660.7,807.7,284.6,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,HINDZINC,EQ,618.0,576.25,618.0,580.0,586.0,614.2,1345889,797601489.35,807.7,284.6,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,HINDZINC,EQ,618.0,544.05,562.0,571.75,576.0,580.0,3055207,1754087578.95,807.7,284.6,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,HINDZINC,EQ,544.0,516.05,530.0,519.9,518.0,571.75,11319240,5974631025.65,807.7,284.6,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,HINDZINC,EQ,498.55,488.05,490.0,495.7,495.0,519.9,26422597,13056781884.05,807.7,284.6,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,HINDZINC,EQ,514.2,496.3,496.3,512.6,514.2,495.7,21919526,11086890027.6,807.7,284.6,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,HINDZINC,EQ,516.9,508.75,515.95,510.85,510.8,512.6,7475230,3829079965.55,807.7,284.6,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,HINDZINC,EQ,519.85,512.15,512.9,518.65,518.9,510.85,7868421,4067634053.3,807.7,284.6,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,HINDZINC,EQ,519.65,512.55,517.0,513.8,514.0,518.65,4980038,2561960796.75,807.7,284.6,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,HINDZINC,EQ,528.95,517.1,518.0,528.1,528.0,513.8,8083106,4238977619.5,807.7,284.6,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,HINDZINC,EQ,537.6,530.0,531.0,532.35,532.45,528.1,5904226,3148254393.75,807.7,284.6,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,HINDZINC,EQ,514.9,509.45,514.9,511.25,511.4,532.35,3918470,2006898382.75,807.7,284.6,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,HINDZINC,EQ,508.6,492.4,507.95,496.5,497.65,511.25,5148826,2560998331.6,807.7,284.6,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,HINDZINC,EQ,502.0,495.0,499.0,500.75,501.5,496.5,2166880,1081120431.6,807.7,284.6,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,HINDZINC,EQ,502.45,492.0,502.0,493.85,493.7,500.75,2338864,1158065399.05,807.7,284.6,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,HINDZINC,EQ,496.9,490.25,493.05,492.55,492.9,493.85,1772852,874230441.5,807.7,284.6,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,HINDZINC,EQ,489.0,481.05,489.0,485.9,487.25,492.55,2637897,1278804345.85,807.7,284.6,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,HINDZINC,EQ,496.7,488.0,489.0,495.7,495.75,485.9,1948919,962630689.45,807.7,284.6,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,HINDZINC,EQ,497.4,485.55,496.6,486.85,486.75,495.7,1938403,949061670.15,807.7,284.6,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,HINDZINC,EQ,486.0,477.0,484.75,480.1,481.1,486.85,1742601,836591063.95,807.7,284.6,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,HINDZINC,EQ,491.0,479.0,483.6,486.9,486.0,480.1,1518727,737769822.25,807.7,284.6,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,HINDZINC,EQ,488.0,475.4,488.0,476.55,477.35,486.9,1444929,691504298.55,807.7,284.6,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,HINDZINC,EQ,491.0,479.4,480.0,489.8,490.0,476.55,1743746,847445633.25,807.7,284.6,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,HINDZINC,EQ,504.0,493.4,494.7,496.6,498.0,489.8,2483381,1238729035.1,807.7,284.6,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,HINDZINC,EQ,508.4,494.05,501.0,496.45,495.9,496.6,2072142,1035893826.8,807.7,284.6,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,HINDZINC,EQ,498.95,489.5,498.0,490.9,490.75,496.45,1008673,496954917.45,807.7,284.6,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,HINDZINC,EQ,496.0,483.6,495.0,485.0,486.2,490.9,1280911,624871054.4,807.7,284.6,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,HINDZINC,EQ,496.0,478.55,492.0,489.45,490.8,485.0,1815671,886919495.6,807.7,284.6,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,HINDZINC,EQ,504.15,492.3,494.7,500.7,499.5,489.45,2846982,1419994272.5,807.7,284.6,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,HINDZINC,EQ,508.05,498.25,501.0,503.9,505.0,500.7,2163517,1088426728.15,807.7,284.6,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,HINDZINC,EQ,514.0,504.1,505.0,507.6,506.6,503.9,3461449,1761169577.8,807.7,284.6,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,HINDZINC,EQ,514.95,506.4,514.0,511.2,512.0,507.6,3997321,2046617167.5,807.7,284.6,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,HINDZINC,EQ,520.95,504.05,511.15,517.0,517.0,511.2,3887216,2005538800.65,807.7,284.6,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,HINDZINC,EQ,525.4,516.55,525.0,523.05,521.0,517.0,3789679,1980423871.1,807.7,284.6,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,HINDZINC,EQ,531.25,516.85,525.0,522.5,522.5,523.05,3995531,2100086397.05,807.7,284.6,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,HINDZINC,EQ,524.0,511.85,522.9,519.9,520.0,522.5,1884521,977093767.7,807.7,284.6,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,HINDZINC,EQ,533.55,512.55,517.0,522.9,522.0,519.9,5498929,2895556802.0,807.7,284.6,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,HINDZINC,EQ,526.65,509.85,523.15,517.25,518.1,522.9,1877538,974031386.35,807.7,284.6,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,HINDZINC,EQ,524.0,490.5,524.0,495.4,495.0,517.25,1936964,974641335.8,807.7,284.6,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,HINDZINC,EQ,513.6,492.65,495.4,510.8,510.65,495.4,1747070,882491245.8,807.7,284.6,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,HINDZINC,EQ,514.95,503.85,509.1,505.45,504.3,510.8,910097,462357558.65,807.7,284.6,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,HINDZINC,EQ,513.0,506.0,506.0,508.8,508.5,505.45,677683,345433105.3,807.7,284.6,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,HINDZINC,EQ,512.0,502.0,508.8,504.15,503.0,508.8,511306,259229453.75,807.7,284.6,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,HINDZINC,EQ,522.8,506.6,506.7,520.2,518.6,504.15,1883076,968263445.0,807.7,284.6,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,HINDZINC,EQ,523.55,511.3,520.3,514.4,514.3,520.2,1233163,636173658.3,807.7,284.6,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,HINDZINC,EQ,519.95,508.65,514.4,510.4,510.5,514.4,972108,499232555.3,807.7,284.6,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,HINDZINC,EQ,516.95,502.1,511.2,508.2,506.0,510.4,886030,450840662.55,807.7,284.6,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,HINDZINC,EQ,520.0,494.0,505.95,506.5,499.7,508.2,3491646,1781428987.25,807.7,284.6,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,HINDZINC,EQ,521.8,500.0,519.35,501.75,501.7,506.5,2266446,1154108692.4,807.7,284.6,2024-10-20T18:30:00.000Z
