datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ICICIPRULI,EQ,661.6,650.25,652.5,654.25,653.9,651.15,690148,452281934.15,673.7,463.45,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ICICIPRULI,EQ,662.75,639.55,654.35,654.35,653.05,654.25,2086000,1356706104.15,673.7,463.45,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ICICIPRULI,EQ,657.0,640.15,648.5,654.8,653.9,654.35,1388472,899772095.5,673.7,463.45,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ICICIPRULI,EQ,652.95,637.5,651.0,643.4,641.9,654.8,1283956,826810537.6,673.7,463.45,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ICICIPRULI,EQ,644.5,631.0,640.05,633.8,631.5,643.4,1385767,883668299.85,673.7,463.45,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ICICIPRULI,EQ,642.75,611.25,636.95,638.4,637.5,633.8,2765631,1741922842.55,673.7,463.45,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ICICIPRULI,EQ,697.5,634.95,635.0,694.25,695.0,638.4,9280093,6339462976.25,697.5,463.45,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ICICIPRULI,EQ,703.85,685.05,690.0,701.7,703.0,694.25,2873383,1992265170.95,703.85,463.45,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ICICIPRULI,EQ,731.45,701.6,702.8,724.9,724.1,701.7,3800832,2745342661.9,731.45,463.45,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ICICIPRULI,EQ,729.15,716.0,724.9,719.05,720.45,724.9,898295,647124539.95,731.45,463.45,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,ICICIPRULI,EQ,733.35,698.05,722.8,723.85,721.85,719.05,2695889,1946794888.95,733.35,463.45,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,ICICIPRULI,EQ,739.6,719.55,723.85,735.95,739.6,723.85,971621,712516584.5,739.6,463.45,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,ICICIPRULI,EQ,742.2,730.55,735.7,734.7,733.15,735.95,1988202,1461949544.5,742.2,463.45,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,ICICIPRULI,EQ,739.0,725.0,731.8,728.6,729.0,734.7,1512837,1107281230.35,742.2,463.45,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,ICICIPRULI,EQ,725.85,705.0,705.0,714.2,715.4,728.6,2269484,1624752834.55,742.2,463.45,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,ICICIPRULI,EQ,726.9,697.35,718.0,700.05,703.1,714.2,1350870,958863386.1,742.2,463.45,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,ICICIPRULI,EQ,728.5,705.0,708.25,726.05,722.65,700.05,1472564,1055813669.4,742.2,463.45,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,ICICIPRULI,EQ,744.0,717.05,722.55,738.65,738.95,726.05,1931611,1415083655.7,744.0,463.45,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,ICICIPRULI,EQ,746.65,735.75,741.1,739.25,738.65,738.65,1246603,924291364.45,746.65,463.45,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,ICICIPRULI,EQ,741.0,726.2,731.1,728.75,729.5,739.25,1376694,1009526840.0,746.65,463.45,2024-08-11T18:30:00.000Z
