datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,IDBI,EQ,92.33,86.44,87.51,91.48,91.77,86.01,47861711,4321303268.22,98.7,56.55,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,IDBI,EQ,91.49,87.5,91.48,87.88,87.9,91.48,14168674,1260724464.73,98.7,56.55,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,IDBI,EQ,94.0,88.1,88.1,92.2,91.9,87.88,73877939,6829475966.95,98.7,56.55,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,IDBI,EQ,94.9,88.51,92.65,88.86,88.98,92.2,34354226,3144278379.96,98.7,56.55,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,IDBI,EQ,93.15,88.03,88.98,89.59,89.6,88.86,31978015,2896226015.28,98.7,56.55,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,IDBI,EQ,90.37,83.46,90.0,86.42,86.3,89.59,19169115,1670883775.78,98.7,56.55,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,IDBI,EQ,98.6,85.72,86.0,97.5,97.87,86.42,128991082,12278287199.83,98.7,56.55,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,IDBI,EQ,104.25,94.9,95.04,101.46,101.59,97.5,157383670,15876900055.6,104.25,56.55,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,IDBI,EQ,106.6,98.46,101.15,104.22,104.3,101.46,87254681,8950806449.81,106.6,56.55,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,IDBI,EQ,107.9,103.4,105.0,104.07,104.11,104.22,53710826,5673878290.02,107.9,57.75,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,IDBI,EQ,105.94,102.56,103.79,104.17,104.43,104.07,28244218,2942718416.28,107.9,57.75,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,IDBI,EQ,105.7,101.57,104.41,103.68,103.01,104.17,31291407,3245390901.53,107.9,57.75,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,IDBI,EQ,104.29,99.55,104.0,100.01,100.08,103.68,27404776,2783703166.13,107.9,57.75,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,IDBI,EQ,102.7,97.47,98.9,100.75,100.6,100.01,30175986,3044131254.74,107.9,57.75,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,IDBI,EQ,98.89,94.05,98.0,94.49,94.2,100.75,26231911,2517858830.94,107.9,59.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,IDBI,EQ,97.5,91.1,96.37,91.77,91.9,94.49,21199574,1998834333.01,107.9,59.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,IDBI,EQ,95.95,92.42,93.7,95.54,95.25,91.77,15776012,1485084655.43,107.9,59.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,IDBI,EQ,97.05,93.97,95.55,94.29,94.0,95.54,17581854,1676720178.07,107.9,59.25,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,IDBI,EQ,98.8,94.2,95.89,98.17,97.82,94.29,29627449,2883033717.3,107.9,59.25,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,IDBI,EQ,98.98,95.37,97.75,95.79,96.11,98.17,14830008,1443367788.29,107.9,59.25,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,IDBI,EQ,96.9,93.1,96.7,93.54,93.45,95.79,9102713,864900797.22,107.9,59.25,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,IDBI,EQ,94.5,92.15,94.05,92.89,92.95,93.54,7641613,711432913.82,107.9,59.25,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,IDBI,EQ,94.65,93.37,93.94,94.3,94.25,92.89,6740534,633913947.79,107.9,59.25,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,IDBI,EQ,98.4,94.8,94.9,96.87,96.8,94.3,16844959,1635993161.18,107.9,59.25,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,IDBI,EQ,97.55,96.05,97.1,96.77,96.72,96.87,7490457,725648746.27,107.9,59.25,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,IDBI,EQ,98.04,96.44,96.95,96.79,96.75,96.77,7905614,767348568.2,107.9,59.25,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,IDBI,EQ,101.75,97.0,97.12,99.75,99.6,96.79,30262606,3027241132.54,107.9,59.25,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,IDBI,EQ,100.6,98.15,99.75,98.62,98.44,99.75,8524179,847405000.96,107.9,59.25,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,IDBI,EQ,99.2,96.24,99.1,96.7,96.7,98.62,6367373,620772431.77,107.9,59.25,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,IDBI,EQ,97.19,95.21,96.68,95.67,95.7,96.7,6563148,630872293.42,107.9,59.25,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,IDBI,EQ,97.63,95.6,95.8,95.93,95.83,95.67,6731938,650329916.96,107.9,59.25,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,IDBI,EQ,96.72,94.15,95.93,94.66,94.69,95.93,6117589,582534455.86,107.9,59.25,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,IDBI,EQ,95.6,94.42,95.0,94.75,94.8,94.66,4514909,428911273.94,107.9,59.25,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,IDBI,EQ,95.55,93.93,95.0,94.78,94.65,94.75,5036793,477158584.32,107.9,59.5,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,IDBI,EQ,95.62,93.51,94.8,93.73,93.76,94.78,5145159,485012441.43,107.9,59.5,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,IDBI,EQ,93.45,92.18,92.91,92.86,92.9,93.73,3803566,353553620.77,107.9,59.5,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,IDBI,EQ,93.82,92.4,93.5,92.5,92.61,92.86,4130859,384007494.85,107.9,59.5,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,IDBI,EQ,92.84,87.36,92.5,88.33,88.38,92.5,14820965,1324252682.41,107.9,59.5,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,IDBI,EQ,88.69,85.86,88.4,87.5,87.54,88.33,7255634,632368551.87,107.9,59.5,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,IDBI,EQ,89.3,87.89,88.1,88.58,88.57,87.5,4780971,422984063.41,107.9,59.5,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,IDBI,EQ,89.48,86.55,89.0,86.85,87.0,88.58,5060656,444398453.95,107.9,59.5,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,IDBI,EQ,88.48,86.44,87.01,87.97,87.92,86.85,6550438,573666184.34,107.9,59.5,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,IDBI,EQ,95.99,89.25,89.25,94.92,94.7,87.97,77526475,7275500648.06,107.9,59.5,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,IDBI,EQ,95.0,92.4,94.92,93.61,94.1,94.92,13399708,1251325162.63,107.9,59.5,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,IDBI,EQ,93.61,90.85,93.5,91.38,91.15,93.61,9179057,843524070.87,107.9,59.5,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,IDBI,EQ,91.89,89.48,91.38,89.77,89.7,91.38,7289240,660534323.0,107.9,59.5,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,IDBI,EQ,90.92,86.8,90.31,88.26,88.74,89.77,9548781,844633762.6,107.9,59.5,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,IDBI,EQ,89.95,88.34,88.89,89.15,89.47,88.26,5759040,512989341.61,107.9,59.5,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,IDBI,EQ,92.59,89.5,90.3,91.64,91.7,89.15,9896555,903131319.69,107.9,59.5,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,IDBI,EQ,91.85,89.75,91.73,90.04,90.05,91.64,4259548,385920840.52,107.9,59.5,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,IDBI,EQ,90.48,88.75,90.45,89.05,89.05,90.04,4212822,376092752.13,107.9,59.5,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,IDBI,EQ,89.59,87.31,89.33,88.28,88.34,89.05,6508705,575211085.63,107.9,59.5,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,IDBI,EQ,89.89,88.15,88.53,88.64,88.4,88.28,4187165,372149030.72,107.9,59.5,2024-09-26T18:30:00.000Z
