datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,IDEA,EQ,16.73,15.78,16.1,16.68,16.69,16.09,544664305,8899888128.19,19.18,7.35,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,IDEA,EQ,17.67,16.67,17.54,16.8,16.7,16.68,964458628,16468382202.8,19.18,7.35,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,IDEA,EQ,16.69,15.91,16.69,16.27,16.32,16.8,679246298,11035194221.67,19.18,7.35,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,IDEA,EQ,16.43,15.82,16.37,15.87,15.87,16.27,368882386,5921856969.99,19.18,7.35,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,IDEA,EQ,16.05,15.65,15.77,15.89,15.92,15.87,529018766,8422002922.49,19.18,7.5,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,IDEA,EQ,15.91,14.57,15.9,15.28,15.34,15.89,1127413061,17178570529.49,19.18,7.5,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,IDEA,EQ,15.66,15.21,15.3,15.58,15.63,15.28,453449137,7027545581.9,19.18,7.5,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,IDEA,EQ,15.42,15.03,15.3,15.18,15.27,15.58,702308285,10662866544.0,19.18,7.5,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,IDEA,EQ,16.14,15.4,15.42,15.98,15.98,15.18,746610397,11844986926.43,19.18,7.5,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,IDEA,EQ,16.42,15.93,16.0,16.05,16.04,15.98,505926060,8163532946.66,19.18,7.5,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,IDEA,EQ,16.28,15.99,16.03,16.21,16.28,16.05,242396205,3921037005.89,19.18,7.5,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,IDEA,EQ,16.52,16.22,16.31,16.27,16.27,16.21,346265142,5668785118.14,19.18,7.5,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,IDEA,EQ,16.37,15.87,16.36,15.99,15.97,16.27,362395270,5812121876.71,19.18,7.5,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,IDEA,EQ,16.42,15.75,15.8,16.12,16.08,15.99,475279605,7686983447.92,19.18,7.5,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,IDEA,EQ,15.81,15.05,15.61,15.36,15.33,16.12,608655754,9364412396.08,19.18,7.5,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,IDEA,EQ,15.83,15.11,15.7,15.17,15.21,15.36,327583325,5085800921.23,19.18,7.5,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,IDEA,EQ,15.78,15.37,15.6,15.72,15.74,15.17,271137134,4235485532.91,19.18,7.5,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,IDEA,EQ,16.25,15.57,15.75,15.86,15.91,15.72,346746624,5542988225.55,19.18,7.5,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,IDEA,EQ,16.35,16.01,16.3,16.1,16.12,15.86,276415001,4468367799.98,19.18,7.5,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,IDEA,EQ,16.22,15.82,16.12,16.01,16.02,16.1,290810714,4669191676.65,19.18,7.5,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,IDEA,EQ,16.19,15.42,16.19,15.47,15.47,16.01,538387007,8437376305.18,19.18,7.5,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,IDEA,EQ,16.02,15.48,15.63,15.79,15.83,15.47,392047253,6190698643.1,19.18,7.5,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,IDEA,EQ,16.0,15.67,15.96,15.88,15.88,15.79,291922661,4628382738.97,19.18,7.5,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,IDEA,EQ,16.04,15.72,15.87,15.95,16.03,15.88,265264602,4204923402.13,19.18,7.5,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,IDEA,EQ,16.29,15.91,16.06,15.94,15.94,15.95,309490369,4981085978.78,19.18,7.5,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,IDEA,EQ,16.1,15.86,15.99,15.94,15.9,15.94,242515086,3872878702.07,19.18,7.5,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,IDEA,EQ,16.29,15.91,15.95,16.2,16.27,15.94,278652089,4489729196.27,19.18,7.5,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,IDEA,EQ,16.34,15.74,16.28,15.82,15.86,16.2,369537715,5926451722.58,19.18,7.5,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,IDEA,EQ,15.98,15.62,15.96,15.79,15.76,15.82,243427186,3850594997.55,19.18,8.5,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,IDEA,EQ,16.18,15.65,15.75,16.04,16.09,15.79,415465213,6589311465.19,19.18,8.5,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,IDEA,EQ,16.17,15.82,16.05,15.97,16.02,16.04,401712642,6422338171.33,19.18,8.5,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,IDEA,EQ,16.55,15.97,16.4,16.3,16.37,15.97,827342035,13462537128.94,19.18,8.5,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,IDEA,EQ,16.44,15.39,16.44,15.64,15.47,16.3,4213707883,66410212827.15,19.18,8.5,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,IDEA,EQ,15.58,14.81,15.58,15.05,15.07,15.64,685959065,10350639827.7,19.18,9.55,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,IDEA,EQ,15.26,15.0,15.1,15.11,15.11,15.05,272427038,4124486858.54,19.18,9.55,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,IDEA,EQ,15.1,14.77,15.08,14.83,14.88,15.11,281283093,4199856277.81,19.18,9.55,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,IDEA,EQ,15.22,14.8,14.9,15.09,15.06,14.83,286740484,4296540398.55,19.18,9.55,2024-09-04T18:30:00.000Z
