datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,IEX,EQ,179.15,174.16,178.25,178.22,179.0,177.13,7613554,1345667529.01,191.2,119.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,IEX,EQ,182.37,177.0,178.95,177.34,177.15,178.22,11969269,2155094766.24,191.2,119.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,IEX,EQ,177.09,172.5,177.01,173.56,173.4,177.34,7781301,1353838145.59,191.2,119.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,IEX,EQ,173.39,168.5,172.95,169.07,169.06,173.56,10733712,1833927325.29,191.2,119.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,IEX,EQ,172.86,166.4,168.0,171.54,172.0,169.07,10982909,1871934732.09,191.2,119.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,IEX,EQ,172.35,159.35,172.0,168.24,168.45,171.54,13090043,2192052190.63,191.2,119.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,IEX,EQ,175.14,168.21,169.1,174.43,174.7,168.24,11178623,1934247180.12,191.2,119.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,IEX,EQ,178.64,171.77,174.5,176.1,176.21,174.43,14791706,2600878288.31,191.2,119.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,IEX,EQ,177.95,175.61,177.8,176.66,176.6,176.1,4893874,864849161.2,191.2,119.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,IEX,EQ,190.39,178.05,178.5,187.04,187.37,176.66,40759273,7602543379.59,191.2,121.35,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,IEX,EQ,192.15,187.05,187.95,188.86,188.8,187.04,17126857,3250411953.6,192.15,121.35,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,IEX,EQ,194.3,188.91,188.91,192.11,191.95,188.86,16154061,3105733911.1,194.3,121.35,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,IEX,EQ,193.5,187.55,192.9,190.43,190.5,192.11,13153852,2503604789.07,194.3,121.35,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,IEX,EQ,197.8,184.3,186.0,195.32,195.1,190.43,33779275,6588863167.23,197.8,121.35,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,IEX,EQ,197.29,185.32,192.89,188.31,188.0,195.32,33410920,6391482065.06,197.8,121.35,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,IEX,EQ,196.64,189.27,190.1,189.91,190.6,188.31,18912678,3648783205.9,197.8,121.35,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,IEX,EQ,199.75,191.05,193.51,197.87,199.4,189.91,16334341,3192281998.48,199.75,121.35,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,IEX,EQ,200.9,193.08,200.25,193.62,193.8,197.87,16338322,3220814655.63,200.9,121.35,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,IEX,EQ,197.7,192.39,196.25,192.67,192.98,193.62,7520604,1463374262.75,200.9,121.35,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,IEX,EQ,195.62,189.01,190.0,194.44,193.9,192.67,9168119,1774572101.32,200.9,121.35,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,IEX,EQ,195.0,187.05,195.0,187.96,187.65,194.44,8495576,1614626161.35,200.9,121.35,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,IEX,EQ,188.6,184.41,188.6,185.81,186.15,187.96,6590045,1228017467.05,200.9,121.35,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,IEX,EQ,195.5,187.0,187.0,194.82,195.0,185.81,14692697,2831978377.8,200.9,121.35,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,IEX,EQ,198.17,195.01,196.4,196.32,196.5,194.82,6305026,1239082180.86,200.9,121.35,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,IEX,EQ,197.25,193.42,196.89,195.32,195.18,196.32,3969340,774977588.98,200.9,121.35,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,IEX,EQ,197.6,194.1,195.25,196.25,196.25,195.32,5334593,1045691398.7,200.9,121.35,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,IEX,EQ,200.69,195.02,196.75,195.55,195.2,196.25,18387252,3646080965.88,200.9,121.35,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,IEX,EQ,196.0,188.25,195.2,188.97,189.15,195.55,13452198,2566237993.62,200.9,121.35,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,IEX,EQ,190.96,186.3,190.76,188.95,190.05,188.97,9531606,1793410730.99,200.9,121.35,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,IEX,EQ,195.99,189.45,190.28,195.56,195.8,188.95,19944502,3865756728.72,200.9,121.35,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,IEX,EQ,205.44,194.75,196.4,203.51,203.48,195.56,53994365,10947732330.94,205.44,121.35,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,IEX,EQ,206.35,199.29,203.48,205.71,205.99,203.51,27970653,5702185325.49,206.35,121.35,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,IEX,EQ,208.76,202.9,206.35,203.63,203.7,205.71,15630541,3216188517.06,208.76,121.35,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,IEX,EQ,206.0,201.75,206.0,203.41,202.89,203.63,7970314,1623056596.43,208.76,121.35,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,IEX,EQ,207.8,203.42,204.05,205.86,205.4,203.41,10928702,2243455897.0,208.76,121.35,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,IEX,EQ,208.6,203.55,205.82,206.85,206.9,205.86,18267154,3770346610.65,208.76,121.35,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,IEX,EQ,211.25,206.6,207.2,209.34,209.1,206.85,18412659,3858929921.07,211.25,121.35,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,IEX,EQ,212.5,206.2,209.32,207.96,207.8,209.34,16850599,3526000438.13,212.5,121.35,2024-09-05T18:30:00.000Z
