datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,IFCI,EQ,78.9,70.2,70.4,75.65,76.53,69.57,176477576,13406774557.75,78.9,12.45,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,IFCI,EQ,78.4,73.52,77.6,74.12,74.21,75.65,61053863,4601003546.39,78.9,12.45,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,IFCI,EQ,74.19,69.6,74.19,71.42,71.37,74.12,50134258,3591002734.78,78.9,12.45,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,IFCI,EQ,73.27,67.8,71.4,68.23,68.34,71.42,48426277,3400928442.78,78.9,12.45,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,IFCI,EQ,73.5,66.56,67.89,71.64,71.45,68.23,54949645,3915031078.94,78.9,12.55,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,IFCI,EQ,72.24,62.52,71.94,69.96,69.8,71.64,60677675,4175838444.78,78.9,12.55,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,IFCI,EQ,83.95,69.2,69.8,83.95,83.95,69.96,161136230,12692219174.82,83.95,12.55,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,IFCI,EQ,91.4,81.55,82.0,84.79,84.59,83.95,209529051,18199218631.23,91.4,12.55,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,IFCI,EQ,89.4,81.65,85.7,83.28,83.36,84.79,81435966,6910232121.29,91.4,12.55,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,IFCI,EQ,86.19,81.32,84.1,83.35,83.2,83.28,54228678,4543140466.99,91.4,13.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,IFCI,EQ,88.59,82.85,83.4,84.92,84.98,83.35,69949299,6009972700.85,91.4,13.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,IFCI,EQ,90.74,84.98,85.0,87.33,87.4,84.92,70580732,6195632856.13,91.4,13.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,IFCI,EQ,88.8,82.79,88.4,83.78,83.85,87.33,45709596,3894439471.09,91.4,13.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,IFCI,EQ,83.28,80.03,81.0,81.92,81.8,83.78,33937915,2784714256.51,91.4,13.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,IFCI,EQ,79.89,75.02,77.08,75.76,75.72,81.92,49770027,3830710523.78,91.4,13.55,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,IFCI,EQ,79.5,73.08,78.73,73.66,73.5,75.76,38406326,2931453214.27,91.4,13.55,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,IFCI,EQ,77.9,74.11,75.9,77.5,77.7,73.66,36017010,2739942415.86,91.4,13.55,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,IFCI,EQ,78.65,73.3,77.0,75.08,73.7,77.5,32648247,2505670063.09,91.4,13.55,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,IFCI,EQ,74.2,70.3,72.87,70.73,70.8,75.08,42456846,3053164285.11,91.4,13.55,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,IFCI,EQ,76.55,68.11,68.11,74.21,74.16,70.73,69706371,5099568101.76,91.4,13.55,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,IFCI,EQ,75.19,71.21,74.69,71.96,71.65,74.21,26369098,1939236383.79,91.4,13.55,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,IFCI,EQ,72.62,69.73,72.45,70.37,70.5,71.96,19795330,1400032232.46,91.4,13.55,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,IFCI,EQ,73.38,71.21,71.3,71.64,71.55,70.37,19240909,1385543758.88,91.4,13.55,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,IFCI,EQ,73.45,71.7,72.1,71.85,72.0,71.64,16744408,1211069235.91,91.4,13.6,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,IFCI,EQ,72.63,71.05,72.25,71.75,71.32,71.85,15473756,1109582180.94,91.4,13.6,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,IFCI,EQ,74.55,71.19,71.7,71.77,71.79,71.75,21260762,1548010433.37,91.4,13.6,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,IFCI,EQ,73.33,71.56,72.18,71.88,71.75,71.77,17713118,1280171904.53,91.4,13.6,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,IFCI,EQ,73.2,71.56,71.98,71.74,71.85,71.88,15845616,1144103472.36,91.4,13.6,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,IFCI,EQ,72.68,71.41,72.0,71.68,71.5,71.74,11190686,804390858.23,91.4,14.15,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,IFCI,EQ,71.99,70.5,71.85,70.65,70.75,71.68,9350042,665388758.09,91.4,14.15,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,IFCI,EQ,79.9,72.12,72.3,76.75,76.6,70.65,120501533,9246900656.77,91.4,14.15,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,IFCI,EQ,80.83,76.1,77.3,77.66,77.5,76.75,59149921,4636346493.65,91.4,14.15,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,IFCI,EQ,78.05,74.55,78.0,74.93,74.78,77.66,23875005,1806947723.39,91.4,14.15,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,IFCI,EQ,75.28,72.52,74.99,73.0,72.95,74.93,12937691,949018434.13,91.4,15.6,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,IFCI,EQ,75.75,72.5,72.99,73.8,73.58,73.0,21539551,1598990778.16,91.4,15.6,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,IFCI,EQ,74.78,72.5,73.0,73.4,73.69,73.8,12169964,893703897.6,91.4,15.6,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,IFCI,EQ,74.78,72.26,73.73,72.67,72.59,73.4,12199940,895063804.79,91.4,15.6,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,IFCI,EQ,73.1,70.32,72.79,70.83,70.91,72.67,13322201,948349038.06,91.4,15.6,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,IFCI,EQ,70.99,68.19,70.94,68.48,68.61,70.83,17578691,1211813159.87,91.4,15.6,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,IFCI,EQ,69.61,68.18,68.8,69.24,69.59,68.48,15432744,1063852726.8,91.4,15.6,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,IFCI,EQ,72.1,69.53,69.55,70.22,70.3,69.24,20264233,1437072497.25,91.4,15.6,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,IFCI,EQ,71.68,69.03,70.8,69.77,69.89,70.22,12502660,873057528.17,91.4,15.6,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,IFCI,EQ,71.21,69.45,70.1,70.27,70.26,69.77,12733122,895400815.95,91.4,15.6,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,IFCI,EQ,75.38,71.25,72.7,74.37,74.13,70.27,45430347,3347679546.87,91.4,16.55,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,IFCI,EQ,74.65,71.52,74.6,71.98,71.7,74.37,13984144,1017861035.09,91.4,16.55,2024-09-16T18:30:00.000Z
