datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,IIFLSEC,EQ,192.57,185.25,190.9,191.41,191.35,189.6,748053,141420785.1,239.9,63.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,IIFLSEC,EQ,194.65,188.15,193.0,190.03,189.23,191.41,449461,85481571.24,239.9,63.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,IIFLSEC,EQ,190.95,183.88,190.95,187.09,187.65,190.03,561634,105016603.64,239.9,63.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,IIFLSEC,EQ,188.0,182.17,188.0,184.83,184.05,187.09,530275,97769055.68,239.9,63.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,IIFLSEC,EQ,189.61,179.11,182.2,186.31,186.99,184.83,483939,89578437.0,239.9,63.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,IIFLSEC,EQ,193.9,178.56,186.3,191.59,191.73,186.31,1051244,197864221.66,239.9,63.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,IIFLSEC,EQ,191.48,187.5,190.95,189.41,189.6,191.59,336653,63731789.59,239.9,63.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,IIFLSEC,EQ,189.79,186.0,187.05,187.08,187.78,189.41,249648,46902738.12,239.9,63.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,IIFLSEC,EQ,195.15,188.8,193.9,193.25,193.4,187.08,432269,83311421.36,239.9,63.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,IIFLSEC,EQ,200.85,194.99,196.0,197.12,197.88,193.25,941173,186358792.72,239.9,63.25,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,IIFLSEC,EQ,219.37,198.5,200.0,214.2,216.37,197.12,4006838,842667119.1,239.9,63.25,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,IIFLSEC,EQ,220.9,208.58,214.11,212.34,215.49,214.2,2316403,496806860.89,239.9,63.25,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,IIFLSEC,EQ,222.8,201.43,219.37,215.82,216.0,212.34,8022554,1711744077.86,239.9,63.25,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,IIFLSEC,EQ,216.4,210.6,212.42,212.28,212.9,215.82,2078741,443814937.91,239.9,63.25,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,IIFLSEC,EQ,209.42,196.24,205.5,198.18,197.5,212.28,1408756,285746115.38,239.9,63.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,IIFLSEC,EQ,206.89,195.0,200.0,196.0,195.55,198.18,747966,151026592.29,239.9,63.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,IIFLSEC,EQ,207.89,199.01,200.0,206.74,207.2,196.0,649714,131990408.67,239.9,63.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,IIFLSEC,EQ,214.01,205.5,207.8,208.51,206.39,206.74,1102788,232420212.92,239.9,63.25,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,IIFLSEC,EQ,217.9,207.0,209.77,208.99,208.8,208.51,1486524,316225535.06,239.9,63.25,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,IIFLSEC,EQ,210.86,200.43,205.0,209.32,209.44,208.99,973377,201827818.39,239.9,63.25,2024-08-11T18:30:00.000Z
