datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,INDIACEM,EQ,317.7,296.0,298.0,307.4,307.55,297.85,15422257,4779962101.95,317.7,172.55,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,INDIACEM,EQ,324.7,308.6,310.0,323.15,324.2,307.4,17043345,5437788902.15,324.7,172.55,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,INDIACEM,EQ,354.35,325.0,325.55,344.75,346.5,323.15,57214788,19585571394.35,354.35,172.55,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,INDIACEM,EQ,354.0,336.15,343.5,347.05,344.0,344.75,13212166,4540678556.55,354.35,172.55,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,INDIACEM,EQ,358.7,335.85,339.95,351.35,352.9,347.05,11410919,4003451423.9,358.7,172.55,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,INDIACEM,EQ,357.0,340.05,355.0,350.55,352.8,351.35,7769934,2716685118.15,358.7,172.55,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,INDIACEM,EQ,359.65,331.25,350.05,349.7,353.6,350.55,18468391,6351193154.45,359.65,172.55,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,INDIACEM,EQ,366.0,345.0,345.0,361.5,366.0,349.7,14262592,5085768784.95,366.0,172.55,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,INDIACEM,EQ,376.9,361.7,364.0,374.05,372.0,361.5,15095344,5590185788.15,376.9,172.55,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,INDIACEM,EQ,385.0,370.55,379.5,372.85,374.3,374.05,30958196,11664006192.0,385.0,172.55,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,INDIACEM,EQ,375.8,368.0,374.0,369.1,368.4,372.85,5119861,1901720582.25,385.0,172.55,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,INDIACEM,EQ,370.3,363.5,369.1,364.25,364.0,369.1,3599063,1318207608.7,385.0,172.55,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,INDIACEM,EQ,366.75,359.0,364.3,363.3,363.4,364.25,3265410,1183583696.6,385.0,172.55,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,INDIACEM,EQ,375.45,360.1,360.1,372.05,371.55,363.3,5880176,2175173532.4,385.0,172.55,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,INDIACEM,EQ,370.2,364.1,365.5,368.15,367.0,372.05,4341113,1594357597.65,385.0,172.55,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,INDIACEM,EQ,372.9,361.95,370.05,363.1,364.05,368.15,3412080,1251881798.45,385.0,172.55,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,INDIACEM,EQ,370.2,364.05,365.5,368.05,367.85,363.1,1522525,559519890.4,385.0,172.55,2024-08-06T18:30:00.000Z
