datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,INDIANB,EQ,584.5,555.75,569.0,578.65,578.5,558.75,3217689,1842174651.4,632.7,320.85,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,INDIANB,EQ,597.0,573.2,578.65,587.4,585.0,578.65,3294297,1936604590.65,632.7,320.85,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,INDIANB,EQ,588.1,566.0,587.4,568.55,567.0,587.4,2198694,1265897009.35,632.7,320.85,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,INDIANB,EQ,571.4,554.1,569.0,561.15,559.3,568.55,1233734,691996876.85,632.7,320.85,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,INDIANB,EQ,576.5,554.0,560.05,569.5,569.45,561.15,995267,566512212.25,632.7,325.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,INDIANB,EQ,576.4,546.75,574.95,552.4,552.85,569.5,1588838,889096704.55,632.7,325.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,INDIANB,EQ,578.75,552.4,554.95,569.6,568.5,552.4,2395942,1358690659.5,632.7,325.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,INDIANB,EQ,570.9,561.0,566.0,567.65,566.25,569.6,770119,436494670.85,632.7,325.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,INDIANB,EQ,585.0,567.25,570.0,581.45,577.55,567.65,1844637,1066156617.7,632.7,325.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,INDIANB,EQ,599.9,583.5,589.0,587.25,586.9,581.45,2811831,1665465272.05,632.7,335.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,INDIANB,EQ,604.5,587.25,594.5,601.15,600.0,587.25,2507716,1495571745.2,632.7,335.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,INDIANB,EQ,610.9,593.35,600.0,608.8,607.5,601.15,1827727,1103476690.75,632.7,335.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,INDIANB,EQ,613.2,590.0,605.05,595.65,596.5,608.8,1350860,814550381.2,632.7,335.6,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,INDIANB,EQ,597.8,581.5,591.0,595.95,595.25,595.65,1361169,804862600.5,632.7,335.6,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,INDIANB,EQ,585.8,565.0,578.9,581.0,573.1,595.95,2607067,1498981952.3,632.7,343.35,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,INDIANB,EQ,588.35,558.0,575.05,565.4,558.0,581.0,1821803,1034483658.2,632.7,343.35,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,INDIANB,EQ,572.4,559.0,569.0,569.55,568.0,565.4,1269029,720269923.5,632.7,343.35,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,INDIANB,EQ,570.0,553.05,569.0,555.7,555.0,569.55,823836,461791838.1,632.7,343.35,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,INDIANB,EQ,579.0,553.0,562.5,577.75,577.7,555.7,1438148,817612816.5,632.7,343.35,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,INDIANB,EQ,581.6,556.0,576.95,558.35,556.9,577.75,1259415,713836613.75,632.7,374.5,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,INDIANB,EQ,566.0,547.3,562.0,550.3,550.65,558.35,1052887,583504523.4,632.7,374.5,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,INDIANB,EQ,560.0,531.05,551.0,550.35,546.5,550.3,2263553,1234009208.7,632.7,374.5,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,INDIANB,EQ,562.45,545.0,546.0,550.15,549.55,550.35,734213,407301716.0,632.7,374.5,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,INDIANB,EQ,560.2,546.95,554.5,550.0,548.05,550.15,844726,467613270.6,632.7,374.5,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,INDIANB,EQ,565.0,550.05,550.05,558.5,557.95,550.0,638652,356696703.45,632.7,374.5,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,INDIANB,EQ,560.95,551.0,560.95,552.1,554.7,558.5,1111375,614979258.7,632.7,374.5,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,INDIANB,EQ,559.5,551.05,555.0,552.8,553.8,552.1,1316796,730493886.0,632.7,374.5,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,INDIANB,EQ,560.8,547.0,554.05,548.35,548.0,552.8,977115,539723712.6,632.7,374.5,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,INDIANB,EQ,560.0,544.0,553.35,547.1,549.0,548.35,1583358,870361951.65,632.7,374.5,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,INDIANB,EQ,555.5,546.8,549.85,548.85,547.0,547.1,482197,265241795.4,632.7,374.5,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,INDIANB,EQ,576.0,547.0,550.0,567.95,566.95,548.85,2199296,1236817940.85,632.7,374.5,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,INDIANB,EQ,575.0,548.5,567.95,561.5,562.25,567.95,1414580,789907987.15,632.7,374.5,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,INDIANB,EQ,575.7,557.0,564.0,567.3,563.95,561.5,1159804,654694580.0,632.7,374.5,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,INDIANB,EQ,567.9,551.7,565.3,555.85,554.4,567.3,1760182,979877764.45,632.7,378.15,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,INDIANB,EQ,558.4,548.3,556.0,550.05,549.2,555.85,751120,414354795.7,632.7,378.15,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,INDIANB,EQ,552.05,534.15,547.0,536.05,536.4,550.05,2182125,1173036712.35,632.7,378.15,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,INDIANB,EQ,574.3,523.0,541.9,551.0,558.7,536.05,3752194,2024501336.45,632.7,378.15,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,INDIANB,EQ,554.7,519.55,551.0,523.45,523.05,551.0,5551466,2925159528.55,632.7,378.15,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,INDIANB,EQ,528.0,513.0,526.0,523.0,521.85,523.45,974521,507632751.6,632.7,380.2,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,INDIANB,EQ,526.9,516.0,525.15,518.9,517.9,523.0,1647980,857385222.75,632.7,380.2,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,INDIANB,EQ,523.4,506.8,519.85,510.0,510.2,518.9,3134860,1607093007.35,632.7,380.2,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,INDIANB,EQ,525.0,514.7,514.8,520.05,520.0,510.0,1579837,822233615.15,632.7,380.2,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,INDIANB,EQ,525.4,518.8,525.4,520.05,520.0,520.05,1184919,617271849.6,632.7,380.2,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,INDIANB,EQ,525.65,516.0,525.65,519.9,517.5,520.05,1290841,670435636.85,632.7,390.9,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,INDIANB,EQ,521.6,514.35,520.0,519.75,518.0,519.9,556829,288512157.7,632.7,390.9,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,INDIANB,EQ,522.65,504.15,519.0,505.05,506.25,519.75,3049464,1552774187.7,632.7,390.9,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,INDIANB,EQ,512.95,505.0,507.5,509.3,508.8,505.05,1094796,557175527.6,632.7,390.9,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,INDIANB,EQ,514.75,505.0,508.8,509.5,510.0,509.3,2124662,1084230995.7,632.7,390.9,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,INDIANB,EQ,539.35,510.0,510.0,536.85,534.5,509.5,2929528,1555969174.35,632.7,390.9,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,INDIANB,EQ,536.85,526.65,536.85,528.7,527.5,536.85,699650,370801810.2,632.7,390.9,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,INDIANB,EQ,531.3,519.2,528.8,526.2,524.9,528.7,918389,482104795.35,632.7,390.9,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,INDIANB,EQ,534.35,519.75,525.0,532.65,530.95,526.2,2898448,1528345393.4,632.7,390.9,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,INDIANB,EQ,541.8,529.25,536.9,539.45,535.45,532.65,1665535,894740980.1,632.7,390.9,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,INDIANB,EQ,538.95,517.7,536.5,524.05,522.05,539.45,2533991,1335167152.15,632.7,390.9,2024-09-29T18:30:00.000Z
