datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,INDUSTOWER,EQ,398.05,388.0,392.05,396.55,396.6,392.0,7398000,2916389224.85,408.4,157.35,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,INDUSTOWER,EQ,407.9,398.1,401.9,406.85,407.75,396.55,17411078,7038591805.6,408.4,157.35,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,INDUSTOWER,EQ,423.2,407.5,407.5,418.95,417.95,406.85,41312223,17223781001.65,423.2,157.35,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,INDUSTOWER,EQ,424.7,404.8,421.15,409.5,408.25,418.95,18446103,7617949692.1,424.7,157.35,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,INDUSTOWER,EQ,422.9,403.65,409.6,421.75,421.95,409.5,12653379,5288463071.15,424.7,157.35,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,INDUSTOWER,EQ,439.4,403.8,424.0,434.55,435.8,421.75,34818877,14831363854.55,439.4,157.35,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,INDUSTOWER,EQ,439.7,418.75,439.15,426.15,423.4,434.55,71801651,30686173784.6,439.7,157.35,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,INDUSTOWER,EQ,429.7,415.55,417.5,424.85,424.8,426.15,13231597,5604409573.3,439.7,157.35,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,INDUSTOWER,EQ,447.35,435.0,439.9,444.85,446.0,424.85,20829504,9211788606.75,447.35,157.35,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,INDUSTOWER,EQ,449.0,441.1,448.9,443.4,444.9,444.85,10917593,4844257720.05,449.0,157.35,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,INDUSTOWER,EQ,453.3,443.6,444.5,446.8,447.95,443.4,10182321,4562501199.05,453.3,157.35,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,INDUSTOWER,EQ,449.7,430.35,448.0,433.15,433.25,446.8,23215256,10131905386.6,453.3,157.35,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,INDUSTOWER,EQ,436.6,424.3,435.9,428.75,429.0,433.15,10696575,4597070347.25,453.3,157.35,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,INDUSTOWER,EQ,427.5,420.1,422.5,421.1,421.0,428.75,7685638,3245580190.75,453.3,157.35,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,INDUSTOWER,EQ,425.4,407.0,417.9,413.65,412.9,421.1,14601326,6057605519.75,453.3,157.35,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,INDUSTOWER,EQ,427.3,413.2,418.05,414.55,414.6,413.65,13583635,5718392539.45,453.3,157.35,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,INDUSTOWER,EQ,422.5,414.5,420.05,421.3,421.65,414.55,12573368,5252447938.25,453.3,157.35,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,INDUSTOWER,EQ,426.05,416.35,424.0,417.0,417.5,421.3,14007899,5898535016.9,453.3,157.35,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,INDUSTOWER,EQ,422.35,414.4,416.0,414.95,416.2,417.0,6011495,2508886600.95,453.3,157.35,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,INDUSTOWER,EQ,421.0,413.7,415.0,415.9,416.25,414.95,4743010,1977276767.95,453.3,157.35,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,INDUSTOWER,EQ,418.0,403.2,418.0,405.3,403.55,415.9,7084701,2896256897.35,453.3,157.35,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,INDUSTOWER,EQ,408.9,400.65,408.0,403.05,404.45,405.3,6900595,2791924656.25,453.3,157.35,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,INDUSTOWER,EQ,413.2,405.45,406.45,411.8,412.0,403.05,4001648,1640520502.6,453.3,157.35,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,INDUSTOWER,EQ,422.0,412.1,413.7,418.65,419.85,411.8,6217589,2598996373.7,453.3,157.55,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,INDUSTOWER,EQ,430.35,419.6,421.0,428.3,429.7,418.65,9343091,3970614596.3,453.3,157.55,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,INDUSTOWER,EQ,431.45,423.5,429.5,424.9,424.6,428.3,6930168,2956212639.45,453.3,157.55,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,INDUSTOWER,EQ,439.2,426.0,426.5,434.9,435.65,424.9,10947918,4746199785.9,453.3,157.55,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,INDUSTOWER,EQ,438.5,432.45,436.45,434.35,433.35,434.9,5262529,2293601529.2,453.3,157.55,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,INDUSTOWER,EQ,439.3,428.55,435.45,433.25,432.6,434.35,6148376,2656965636.4,453.3,166.35,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,INDUSTOWER,EQ,439.8,431.2,434.7,437.95,437.0,433.25,6392653,2790479791.5,453.3,166.35,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,INDUSTOWER,EQ,448.6,440.75,442.0,444.45,443.8,437.95,15433839,6863810762.5,453.3,166.35,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,INDUSTOWER,EQ,450.35,438.85,442.1,446.55,446.25,444.45,15663444,6961726706.6,453.3,166.35,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,INDUSTOWER,EQ,460.35,445.25,447.95,458.5,457.0,446.55,17888531,8156571286.65,460.35,166.35,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,INDUSTOWER,EQ,460.0,433.55,460.0,438.95,438.45,458.5,15612684,6883155155.1,460.35,166.7,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,INDUSTOWER,EQ,444.3,438.85,439.75,441.4,441.3,438.95,5978801,2642244789.35,460.35,166.7,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,INDUSTOWER,EQ,441.3,431.35,434.95,434.4,435.0,441.4,6147494,2674899924.75,460.35,166.7,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,INDUSTOWER,EQ,444.55,436.2,440.45,443.1,443.3,434.4,7834138,3452507908.15,460.35,166.7,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,INDUSTOWER,EQ,443.2,414.0,443.2,423.1,423.5,443.1,21421372,9107341033.4,460.35,166.7,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,INDUSTOWER,EQ,426.0,416.8,420.95,421.5,422.05,423.1,7073948,2977905686.45,460.35,166.7,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,INDUSTOWER,EQ,429.9,422.4,423.75,425.4,424.5,421.5,5089383,2169220857.15,460.35,166.7,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,INDUSTOWER,EQ,436.2,423.95,433.85,428.0,427.0,425.4,13300174,5728006322.4,460.35,166.7,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,INDUSTOWER,EQ,437.1,429.0,430.9,433.45,432.1,428.0,5905816,2556371996.05,460.35,166.7,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,INDUSTOWER,EQ,438.65,427.25,435.6,428.45,428.0,433.45,6918635,3000046030.9,460.35,166.7,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,INDUSTOWER,EQ,431.15,420.1,428.45,428.7,429.0,428.45,5356337,2275484331.1,460.35,166.7,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,INDUSTOWER,EQ,433.6,426.5,427.2,430.45,430.0,428.7,2422065,1043287818.65,460.35,166.7,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,INDUSTOWER,EQ,430.7,421.55,428.0,428.25,426.0,430.45,3228858,1377296980.5,460.35,166.7,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,INDUSTOWER,EQ,430.9,366.35,423.0,389.8,393.0,428.25,83881230,32535116992.9,460.35,166.7,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,INDUSTOWER,EQ,397.4,378.75,393.0,388.25,388.5,389.8,46485982,17944790501.15,460.35,166.7,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,INDUSTOWER,EQ,412.6,397.1,399.9,403.7,403.0,388.25,27447906,11109819712.3,460.35,166.7,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,INDUSTOWER,EQ,408.0,395.7,403.7,401.3,400.2,403.7,8767855,3523003448.05,460.35,166.7,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,INDUSTOWER,EQ,401.15,385.05,401.0,391.15,390.95,401.3,12185928,4760539903.3,460.35,166.7,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,INDUSTOWER,EQ,395.35,387.4,390.55,393.75,392.6,391.15,10843976,4247644587.95,460.35,166.7,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,INDUSTOWER,EQ,395.65,389.25,392.55,392.4,391.6,393.75,8263851,3240204761.05,460.35,166.7,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,INDUSTOWER,EQ,393.4,385.4,391.65,392.55,390.05,392.4,9678928,3781626548.4,460.35,166.7,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,INDUSTOWER,EQ,395.6,382.35,389.05,384.05,383.2,392.55,7039394,2733436268.7,460.35,166.7,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,INDUSTOWER,EQ,389.05,375.5,376.0,377.6,377.05,384.05,9305494,3552695536.9,460.35,166.7,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,INDUSTOWER,EQ,381.75,369.45,378.6,372.2,372.1,377.6,10290272,3867462770.8,460.35,166.7,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,INDUSTOWER,EQ,375.8,352.3,374.1,361.15,361.05,372.2,19905422,7167193572.75,460.35,166.7,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,INDUSTOWER,EQ,371.9,358.3,360.0,370.0,371.25,361.15,7021080,2579095805.05,460.35,166.7,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,INDUSTOWER,EQ,377.6,368.25,371.85,373.5,373.5,370.0,4667993,1744054564.05,460.35,166.7,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,INDUSTOWER,EQ,383.25,376.0,376.0,378.9,379.25,373.5,6150764,2337579524.85,460.35,166.7,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,INDUSTOWER,EQ,382.85,376.5,380.8,378.5,379.25,378.9,3322205,1259068319.45,460.35,166.7,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,INDUSTOWER,EQ,389.0,378.25,380.4,386.9,386.25,378.5,5695193,2190430529.65,460.35,166.7,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,INDUSTOWER,EQ,388.95,381.55,387.6,385.9,385.15,386.9,3460929,1333675943.3,460.35,166.7,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,INDUSTOWER,EQ,390.4,380.3,384.95,388.25,386.5,385.9,3840308,1488651150.2,460.35,166.7,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,INDUSTOWER,EQ,391.0,382.75,386.5,384.75,383.65,388.25,5379127,2077494838.75,460.35,166.7,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,INDUSTOWER,EQ,386.35,378.2,383.65,384.55,384.4,384.75,2601893,997880357.45,460.35,166.7,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,INDUSTOWER,EQ,386.5,372.1,384.0,375.35,373.85,384.55,8530940,3224089893.4,460.35,166.7,2024-10-20T18:30:00.000Z
