datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,ITC,EQ,466.45,457.2,459.05,463.4,462.05,459.05,16251032,7522328040.6,499.7,399.35,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,ITC,EQ,466.75,461.4,463.45,465.55,465.7,463.4,12996711,6037370502.75,499.7,399.35,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,ITC,EQ,470.9,462.65,463.0,470.25,470.5,465.55,21094737,9870374413.5,499.7,399.35,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,ITC,EQ,479.4,469.4,471.0,474.55,473.15,470.25,24977373,11855389560.85,499.7,399.35,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,ITC,EQ,479.45,465.85,474.6,466.55,466.3,474.55,18066586,8493064235.35,499.7,399.35,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,ITC,EQ,497.4,466.4,466.55,492.2,496.95,466.55,54044423,26118922052.35,499.7,399.35,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,ITC,EQ,510.65,490.65,496.0,494.05,494.0,492.2,42073323,21050681452.4,510.65,399.35,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,ITC,EQ,496.0,484.65,490.0,489.95,490.2,494.05,17878994,8766383593.6,510.65,399.35,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,ITC,EQ,506.4,487.4,494.05,502.2,501.55,489.95,20736094,10331062809.7,510.65,399.35,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,ITC,EQ,506.2,494.05,505.5,496.05,496.25,502.2,12496895,6228464277.8,510.65,399.35,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,ITC,EQ,497.8,488.65,496.3,489.9,490.5,496.05,13375906,6578425923.0,510.65,399.35,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,ITC,EQ,497.95,490.5,492.45,495.35,495.5,489.9,11538215,5700270817.4,510.65,399.35,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,ITC,EQ,496.75,490.95,495.95,493.7,493.05,495.35,11665529,5759553105.75,510.65,399.35,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,ITC,EQ,499.45,484.8,484.8,489.1,488.85,493.7,21320064,10469940924.65,510.65,399.35,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,ITC,EQ,491.9,479.55,480.05,486.0,485.9,489.1,24094139,11705282411.05,510.65,399.35,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,ITC,EQ,491.7,484.05,486.25,486.3,487.8,486.0,13722855,6690115892.1,510.65,399.35,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,ITC,EQ,495.6,488.1,490.0,492.65,492.75,486.3,10900585,5362650358.25,510.65,399.35,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,ITC,EQ,498.0,492.5,494.0,494.75,494.15,492.65,20558134,10175999936.05,510.65,399.35,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,ITC,EQ,498.0,493.1,498.0,495.9,496.15,494.75,9201793,4558387017.25,510.65,399.35,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,ITC,EQ,500.0,492.0,492.0,494.6,494.4,495.9,9076097,4511189537.95,510.65,399.35,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,ITC,EQ,497.85,488.25,495.95,490.0,491.5,494.6,7757706,3826762550.05,510.65,399.35,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,ITC,EQ,499.0,489.9,491.95,492.2,492.55,490.0,9253598,4571625348.0,510.65,399.35,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,ITC,EQ,504.2,492.65,494.5,502.65,502.05,492.2,13137392,6549443406.85,510.65,399.35,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,ITC,EQ,509.3,499.6,504.75,501.45,499.95,502.65,10198725,5144120039.1,510.65,399.35,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,ITC,EQ,503.4,497.7,501.0,498.8,498.5,501.45,6633171,3316278832.0,510.65,399.35,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,ITC,EQ,509.0,499.05,500.0,505.4,505.8,498.8,8474830,4280048280.45,510.65,399.35,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,ITC,EQ,508.5,501.45,507.85,504.55,505.05,505.4,8364290,4221224253.25,510.65,399.35,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,ITC,EQ,506.95,499.95,505.05,505.8,505.4,504.55,7891446,3978880053.35,510.65,399.35,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,ITC,EQ,508.0,502.0,506.0,505.7,505.7,505.8,7825037,3958900282.55,510.65,399.35,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,ITC,EQ,507.6,500.0,507.55,500.6,500.4,505.7,7954114,3994335939.6,510.65,399.35,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,ITC,EQ,502.3,496.5,500.4,497.3,500.15,500.6,7782216,3881794042.2,510.65,399.35,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,ITC,EQ,507.7,497.35,498.0,505.1,505.0,497.3,18670632,9404844586.2,510.65,399.35,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,ITC,EQ,509.15,500.2,501.95,501.9,504.0,505.1,14947670,7512253452.8,510.65,399.35,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,ITC,EQ,512.9,503.3,504.0,510.05,509.85,501.9,15885469,8101252606.15,512.9,399.35,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,ITC,EQ,515.95,507.9,510.05,509.4,508.6,510.05,12018677,6160357721.9,515.95,399.35,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,ITC,EQ,510.05,499.95,500.0,506.35,507.45,509.4,8414967,4259122977.75,515.95,399.35,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,ITC,EQ,511.9,507.05,508.35,511.2,511.25,506.35,10898888,5561902271.3,515.95,399.35,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,ITC,EQ,512.0,497.15,512.0,501.7,502.45,511.2,13716752,6888530757.3,515.95,399.35,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,ITC,EQ,512.65,500.35,502.0,511.75,511.5,501.7,13736044,6998044346.5,515.95,399.35,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,ITC,EQ,515.0,508.75,511.9,513.6,512.9,511.75,10911995,5596326541.2,515.95,399.35,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,ITC,EQ,519.5,511.95,513.0,514.35,513.1,513.6,14922832,7707278241.5,519.5,399.35,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,ITC,EQ,520.5,508.55,515.1,519.5,518.05,514.35,18377550,9475461095.9,520.5,399.35,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,ITC,EQ,520.0,512.0,519.5,513.85,513.65,519.5,8825193,4534484027.05,520.5,399.35,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,ITC,EQ,517.0,509.7,515.9,511.1,509.95,513.85,7531604,3864831357.3,520.5,399.35,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,ITC,EQ,513.55,506.25,511.05,507.75,508.25,511.1,10486015,5332681431.45,520.5,399.35,2024-09-16T18:30:00.000Z
