datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,JSL,EQ,792.0,775.8,776.3,789.45,786.5,783.3,407174,319449951.65,848,343.55,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,JSL,EQ,801.1,787.85,795.9,798.05,797.0,789.45,487116,387593001.25,848,343.55,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,JSL,EQ,804.4,785.55,797.0,795.1,790.9,798.05,864284,686773366.7,848,343.55,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,JSL,EQ,793.45,741.05,793.45,745.3,745.8,795.1,1705068,1292604175.6,848,343.55,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,JSL,EQ,754.9,729.5,744.8,748.6,746.0,745.3,1357832,1008041442.25,848,355.6,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,JSL,EQ,751.05,707.05,750.8,733.95,735.0,748.6,738610,541480904.6,848,355.6,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,JSL,EQ,762.85,737.0,747.15,752.5,751.35,733.95,487936,367666587.55,848,355.6,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,JSL,EQ,758.5,736.8,738.0,748.85,746.25,752.5,470749,352595327.75,848,355.6,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,JSL,EQ,766.3,746.2,748.85,764.5,762.75,748.85,429416,326189475.5,848,355.6,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,JSL,EQ,766.0,737.45,765.65,739.45,737.5,764.5,1245427,924683551.4,848,383.35,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,JSL,EQ,754.0,735.35,742.0,744.6,742.95,739.45,1735997,1287765720.15,848,383.35,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,JSL,EQ,774.9,734.5,740.0,740.5,739.65,744.6,1836301,1376985730.9,848,383.35,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,JSL,EQ,754.9,726.6,742.4,736.35,733.85,740.5,1404681,1032387231.7,848,383.35,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,JSL,EQ,738.5,722.0,728.5,729.75,730.25,736.35,512580,374562987.2,848,383.35,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,JSL,EQ,723.65,669.15,705.05,677.15,680.0,729.75,1480507,1025737664.8,848,388.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,JSL,EQ,713.6,656.9,691.0,659.85,664.0,677.15,1515893,1023513414.75,848,388.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,JSL,EQ,688.0,665.7,669.95,678.25,677.85,659.85,1046461,709208461.5,848,388.0,2024-08-06T18:30:00.000Z
