datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,JSWSTEEL,EQ,938.7,926.15,937.95,931.7,930.65,934.4,1337839,1246896142.85,959.4,723,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,JSWSTEEL,EQ,939.35,928.15,932.15,934.35,932.55,931.7,1442573,1349342619.45,959.4,723,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,JSWSTEEL,EQ,935.35,921.35,934.35,931.45,926.5,934.35,1812254,1684933466.8,959.4,723,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,JSWSTEEL,EQ,927.5,886.55,927.0,889.45,887.9,931.45,3001973,2707265620.2,959.4,723,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,JSWSTEEL,EQ,893.4,865.15,875.5,888.55,887.7,889.45,2725373,2414409975.0,959.4,723,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,JSWSTEEL,EQ,896.15,872.0,890.0,893.95,894.0,888.55,1640412,1453499520.4,959.4,723,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,JSWSTEEL,EQ,895.0,880.0,895.0,881.35,883.5,893.95,1519772,1344779569.75,959.4,723,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,JSWSTEEL,EQ,880.0,862.4,870.0,874.5,874.0,881.35,1636466,1427294152.0,959.4,723,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,JSWSTEEL,EQ,908.8,875.3,880.0,900.55,899.0,874.5,2056457,1849031144.4,959.4,723,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,JSWSTEEL,EQ,909.9,895.05,909.9,898.55,898.35,900.55,1066351,959539536.75,959.4,723,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,JSWSTEEL,EQ,907.95,890.15,895.05,902.1,903.0,898.55,979026,882523099.35,959.4,723,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,JSWSTEEL,EQ,936.35,902.7,908.95,928.25,933.0,902.1,2716481,2500433221.75,959.4,723,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,JSWSTEEL,EQ,957.95,927.75,937.55,934.55,930.9,928.25,4039078,3795574656.15,959.4,723,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,JSWSTEEL,EQ,923.85,896.0,919.9,899.55,898.0,934.55,3306705,2996759742.0,959.4,723,2024-08-01T18:30:00.000Z
