datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,KEC,EQ,888.0,869.6,880.0,886.15,885.4,871.2,228776,201881631.6,968.8,550.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,KEC,EQ,899.7,882.0,887.0,887.55,884.1,886.15,269460,240086354.5,968.8,550.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,KEC,EQ,940.0,881.05,930.0,891.3,892.0,887.55,4257096,3896493884.8,968.8,550.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,KEC,EQ,899.0,862.8,891.3,868.0,866.6,891.3,363744,320130865.45,968.8,550.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,KEC,EQ,886.6,853.8,860.0,876.55,880.0,868.0,233449,203916743.05,968.8,550.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,KEC,EQ,884.45,828.0,883.8,880.5,880.0,876.55,328782,285510645.15,968.8,550.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,KEC,EQ,899.6,871.5,885.1,885.5,893.0,880.5,875537,774570324.05,968.8,550.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,KEC,EQ,904.7,876.15,888.0,884.0,876.15,885.5,404813,360144200.2,968.8,550.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,KEC,EQ,891.0,874.5,884.0,880.05,882.0,884.0,655582,577801147.4,968.8,550.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,KEC,EQ,905.4,870.05,890.0,874.15,873.8,880.05,503430,445013710.05,968.8,550.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,KEC,EQ,890.5,872.0,877.9,885.05,887.0,874.15,630729,556904688.3,968.8,550.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,KEC,EQ,929.0,885.0,889.75,925.35,925.0,885.05,1816568,1666605330.5,968.8,550.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,KEC,EQ,954.45,900.5,929.35,906.85,906.0,925.35,1059238,977802061.75,968.8,550.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,KEC,EQ,900.0,878.4,900.0,882.3,886.4,906.85,264603,235386082.7,968.8,550.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,KEC,EQ,865.55,811.15,865.55,827.65,830.0,882.3,934351,773563216.15,968.8,550.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,KEC,EQ,847.25,821.3,841.55,829.9,828.65,827.65,507024,422050969.6,968.8,550.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,KEC,EQ,857.0,830.5,839.7,849.9,855.0,829.9,261230,221170482.6,968.8,550.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,KEC,EQ,859.0,838.45,849.9,853.05,850.05,849.9,261522,223210635.9,968.8,550.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,KEC,EQ,855.7,828.1,851.1,833.45,835.95,853.05,388418,328244492.5,968.8,550.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,KEC,EQ,847.2,825.4,833.85,827.65,826.0,833.45,186723,155742698.05,968.8,550.05,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,KEC,EQ,838.5,821.5,836.0,828.5,828.0,827.65,285709,237134002.5,968.8,550.05,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,KEC,EQ,832.25,810.0,832.25,812.5,813.0,828.5,137662,112392641.15,968.8,550.05,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,KEC,EQ,823.35,810.5,815.0,817.1,813.5,812.5,298225,243615093.1,968.8,550.05,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,KEC,EQ,834.7,818.45,819.95,825.35,824.0,817.1,277807,229586656.55,968.8,550.05,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,KEC,EQ,847.1,832.15,833.0,843.35,840.55,825.35,316981,266629687.05,968.8,550.05,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,KEC,EQ,848.65,837.2,843.35,846.2,846.5,843.35,202134,170632890.95,968.8,550.05,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,KEC,EQ,851.8,826.0,851.8,829.35,828.0,846.2,535734,445416104.2,968.8,550.05,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,KEC,EQ,844.7,822.05,832.95,839.9,840.0,829.35,561082,469472797.0,968.8,550.05,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,KEC,EQ,919.0,850.0,888.0,854.05,851.45,839.9,3909683,3416869676.6,968.8,550.05,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,KEC,EQ,870.5,843.35,862.7,864.1,862.55,854.05,671497,576393642.0,968.8,550.05,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,KEC,EQ,871.0,854.8,862.0,868.05,869.0,864.1,259844,224392218.6,968.8,550.05,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,KEC,EQ,954.0,881.8,890.0,900.75,903.3,868.05,20549183,19051076746.35,968.8,550.05,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,KEC,EQ,969.0,890.3,909.95,947.35,955.95,900.75,3543477,3271149678.7,969.0,550.05,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,KEC,EQ,959.9,920.8,956.0,926.0,925.3,947.35,1231376,1156854000.6,969.0,550.05,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,KEC,EQ,936.4,924.75,928.15,928.1,931.0,926.0,398939,370649073.15,969.0,550.05,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,KEC,EQ,942.2,926.0,928.45,932.1,933.0,928.1,523215,488858989.35,969.0,550.05,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,KEC,EQ,1002.8,932.15,933.0,987.75,988.8,932.1,7622182,7471089346.35,1002.8,550.05,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,KEC,EQ,1040.0,987.15,1037.05,992.85,995.0,987.75,6147714,6215599715.55,1040.0,550.05,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,KEC,EQ,996.0,957.2,996.0,977.0,980.0,992.85,774391,753752126.15,1040.0,550.05,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,KEC,EQ,989.0,975.0,982.3,980.75,980.0,977.0,556732,545613955.4,1040.0,550.05,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,KEC,EQ,978.7,950.0,978.0,952.65,954.95,980.75,373487,358560484.55,1040.0,550.05,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,KEC,EQ,998.0,956.0,956.0,995.65,992.0,952.65,1706995,1683032801.65,1040.0,550.05,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,KEC,EQ,998.4,978.0,995.65,993.25,996.0,995.65,506343,499841014.7,1040.0,550.05,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,KEC,EQ,997.3,975.0,988.9,978.25,985.0,993.25,240776,236213568.15,1040.0,550.05,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,KEC,EQ,987.7,963.15,982.95,984.6,982.0,978.25,350997,343791188.7,1040.0,550.05,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,KEC,EQ,1021.1,968.65,985.0,1017.0,1016.0,984.6,1938032,1941687827.8,1040.0,550.05,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,KEC,EQ,1031.85,974.9,1030.0,986.15,989.9,1017.0,866070,861742605.1,1040.0,550.05,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,KEC,EQ,978.95,935.05,978.95,941.25,941.0,986.15,1860651,1762255509.8,1040.0,550.05,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,KEC,EQ,975.0,938.7,970.0,945.1,945.95,941.25,1433380,1363359219.95,1040.0,550.05,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,KEC,EQ,993.25,942.8,950.0,982.75,978.8,945.1,1783692,1736362565.85,1040.0,550.05,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,KEC,EQ,1029.9,985.05,985.05,1018.65,1014.95,982.75,2682353,2712686285.55,1040.0,550.05,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,KEC,EQ,1037.55,1002.75,1015.85,1022.45,1020.0,1018.65,1389792,1426667834.5,1040.0,550.05,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,KEC,EQ,1032.0,1004.6,1021.9,1025.1,1025.5,1022.45,607205,618879565.15,1040.0,550.05,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,KEC,EQ,1068.0,1018.05,1023.0,1038.55,1037.25,1025.1,2263353,2378784292.1,1068.0,550.05,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,KEC,EQ,1061.0,1026.1,1036.55,1050.75,1049.5,1038.55,657374,689196748.45,1068.0,550.05,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,KEC,EQ,1043.45,991.5,1022.0,1023.45,1022.0,1050.75,984536,1006798422.95,1068.0,550.05,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,KEC,EQ,1039.0,991.0,1032.5,1032.25,1032.05,1023.45,781300,798637300.45,1068.0,550.05,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,KEC,EQ,1026.65,979.4,1025.5,987.9,992.0,1032.25,591565,586916627.8,1068.0,550.05,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,KEC,EQ,1019.9,968.15,980.0,1013.15,1010.05,987.9,545411,543928474.25,1068.0,550.05,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,KEC,EQ,1027.5,1003.1,1018.5,1007.35,1010.0,1013.15,473009,480358480.95,1068.0,550.05,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,KEC,EQ,1024.75,1007.05,1023.05,1017.45,1016.0,1007.35,330317,336408194.25,1068.0,550.05,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,KEC,EQ,1019.95,996.0,1016.7,998.7,999.0,1017.45,325602,326657378.55,1068.0,550.05,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,KEC,EQ,1016.0,993.65,1003.0,1009.15,1010.0,998.7,327266,328248625.55,1068.0,550.05,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,KEC,EQ,1034.85,1008.4,1011.0,1026.65,1026.55,1009.15,797388,816589779.2,1068.0,550.05,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,KEC,EQ,1027.0,1006.25,1024.85,1017.2,1015.0,1026.65,623149,632493736.95,1068.0,550.05,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,KEC,EQ,1026.45,986.1,1017.1,993.0,990.85,1017.2,357199,358121838.55,1068.0,550.05,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,KEC,EQ,1001.0,976.5,987.05,991.85,990.0,993.0,481978,478864454.65,1068.0,550.05,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,KEC,EQ,999.95,975.5,990.0,981.3,977.05,991.85,189717,186926661.35,1068.0,550.05,2024-10-20T18:30:00.000Z
