datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,KPRMILL,EQ,861.5,827.5,856.1,834.05,833.0,856.1,905733,754550974.7,934.0,615.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,KPRMILL,EQ,895.0,837.85,837.9,871.05,875.5,834.05,778493,680524259.2,934.0,615.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,KPRMILL,EQ,892.55,850.0,875.0,855.4,855.0,871.05,255129,222948895.25,934.0,615.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,KPRMILL,EQ,858.8,826.05,858.75,830.95,830.6,855.4,174697,147119440.35,934.0,615.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,KPRMILL,EQ,853.65,821.65,826.0,848.45,848.8,830.95,93047,78260600.1,934.0,615.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,KPRMILL,EQ,865.0,828.8,849.95,854.0,854.0,848.45,134098,114046879.4,934.0,615.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,KPRMILL,EQ,865.0,837.7,852.35,843.1,842.0,854.0,179468,151540569.45,934.0,615.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,KPRMILL,EQ,861.0,833.15,840.0,856.55,857.85,843.1,123689,104709919.6,934.0,615.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,KPRMILL,EQ,873.95,854.0,860.0,865.2,872.7,856.55,91022,78625866.05,934.0,615.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,KPRMILL,EQ,894.55,865.2,865.2,878.55,877.2,865.2,159752,141381523.25,934.0,615.0,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,KPRMILL,EQ,900.0,869.55,878.55,891.5,893.25,878.55,113793,100992484.95,934.0,615.0,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,KPRMILL,EQ,893.0,865.0,893.0,869.9,875.0,891.5,154848,135774989.4,934.0,615.0,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,KPRMILL,EQ,878.5,851.05,871.95,862.2,863.0,869.9,114196,98226756.8,934.0,615.0,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,KPRMILL,EQ,868.5,840.0,853.25,864.4,862.0,862.2,78220,67484047.85,934.0,615.0,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,KPRMILL,EQ,859.15,818.7,845.0,826.7,828.1,864.4,211726,176118450.2,934.0,623.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,KPRMILL,EQ,965.0,835.7,835.7,945.55,950.0,826.7,7272594,6781469060.35,965.0,623.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,KPRMILL,EQ,1009.25,930.0,960.05,940.9,932.1,945.55,4661607,4503951720.2,1009.25,623.0,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,KPRMILL,EQ,947.45,910.0,932.0,914.4,910.5,940.9,547073,507582382.9,1009.25,623.0,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,KPRMILL,EQ,927.0,889.95,923.5,895.05,890.0,914.4,341152,307873876.15,1009.25,623.0,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,KPRMILL,EQ,910.55,884.0,900.4,890.35,890.95,895.05,202002,180625832.7,1009.25,649.1,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,KPRMILL,EQ,905.0,865.3,905.0,870.8,869.0,890.35,176861,155603221.9,1009.25,649.1,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,KPRMILL,EQ,884.7,850.35,877.3,856.6,864.65,870.8,213557,184394309.6,1009.25,649.1,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,KPRMILL,EQ,888.0,854.0,883.9,857.7,854.5,856.6,150011,129466992.8,1009.25,649.1,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,KPRMILL,EQ,874.2,852.25,861.0,859.7,873.0,857.7,376957,323412526.6,1009.25,690.0,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,KPRMILL,EQ,880.0,855.55,868.85,873.45,872.0,859.7,126960,110055234.6,1009.25,690.0,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,KPRMILL,EQ,875.0,861.0,873.75,867.15,866.0,873.45,109560,94998154.5,1009.25,690.0,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,KPRMILL,EQ,898.0,867.15,876.65,891.05,891.0,867.15,260536,230731368.2,1009.25,690.0,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,KPRMILL,EQ,899.95,880.05,899.95,891.05,883.5,891.05,144900,128578406.15,1009.25,690.0,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,KPRMILL,EQ,891.0,863.2,891.0,869.1,867.5,891.05,124504,108628303.4,1009.25,701.05,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,KPRMILL,EQ,882.95,862.85,871.0,870.1,871.1,869.1,154430,134973624.0,1009.25,701.05,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,KPRMILL,EQ,884.4,851.05,872.0,854.9,855.0,870.1,131918,114196315.6,1009.25,701.05,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,KPRMILL,EQ,872.0,832.25,858.1,834.95,836.95,854.9,337344,282916563.25,1009.25,701.05,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,KPRMILL,EQ,861.2,835.7,840.55,846.8,847.1,834.95,298430,253411212.4,1009.25,701.05,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,KPRMILL,EQ,852.5,826.05,846.8,832.3,835.0,846.8,136210,113608117.05,1009.25,710.0,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,KPRMILL,EQ,846.0,827.95,841.45,832.35,831.2,832.3,154390,129344380.85,1009.25,710.0,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,KPRMILL,EQ,849.75,812.0,822.0,839.0,840.65,832.35,132398,111145911.3,1009.25,710.0,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,KPRMILL,EQ,853.45,840.0,840.0,847.55,845.2,839.0,106772,90483429.65,1009.25,710.0,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,KPRMILL,EQ,878.75,849.2,856.0,865.8,861.0,847.55,425660,367701682.45,1009.25,710.0,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,KPRMILL,EQ,875.0,850.0,873.0,854.35,853.0,865.8,183368,157122202.75,1009.25,710.0,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,KPRMILL,EQ,865.25,846.2,855.25,853.3,856.35,854.35,101714,86609871.3,1009.25,710.0,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,KPRMILL,EQ,857.65,841.25,853.4,847.0,842.0,853.3,74009,62752275.3,1009.25,710.0,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,KPRMILL,EQ,856.4,838.1,855.95,845.1,843.1,847.0,122213,103143925.9,1009.25,710.0,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,KPRMILL,EQ,854.05,841.0,853.0,842.15,841.95,845.1,93656,79296284.95,1009.25,710.0,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,KPRMILL,EQ,878.95,855.0,861.0,869.6,872.0,842.15,249143,216273608.8,1009.25,710.0,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,KPRMILL,EQ,874.0,846.75,873.5,860.6,858.6,869.6,115961,99620713.7,1009.25,710.0,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,KPRMILL,EQ,863.85,847.1,860.0,859.1,862.2,860.6,674882,575258768.85,1009.25,710.0,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,KPRMILL,EQ,950.0,865.0,871.6,934.95,942.0,859.1,3501752,3196020884.65,1009.25,710.0,2024-09-18T18:30:00.000Z
