datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,LAURUSLABS,EQ,470.75,462.35,464.5,466.2,466.0,463.4,804331,375358980.85,484.3,328.15,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,LAURUSLABS,EQ,470.0,463.0,467.6,465.05,465.2,466.2,966959,451080961.7,484.3,328.15,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,LAURUSLABS,EQ,465.0,452.65,464.0,457.0,457.4,465.05,1160068,531189838.35,484.3,328.15,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,LAURUSLABS,EQ,458.4,439.1,458.3,440.4,440.6,457.0,2398591,1066385318.45,484.3,328.15,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,LAURUSLABS,EQ,444.6,436.05,440.7,441.5,442.0,440.4,1869261,825904948.8,484.3,328.15,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,LAURUSLABS,EQ,444.8,420.45,443.0,430.45,430.0,441.5,4846935,2095774866.95,484.3,328.15,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,LAURUSLABS,EQ,440.0,430.0,431.4,434.55,437.3,430.45,4786618,2086343169.4,484.3,328.15,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,LAURUSLABS,EQ,440.75,418.05,433.95,433.85,438.0,434.55,6274662,2694979729.4,484.3,328.15,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,LAURUSLABS,EQ,456.7,414.0,414.0,449.05,451.7,433.85,7186333,3196350375.8,484.3,328.15,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,LAURUSLABS,EQ,454.85,445.1,450.0,451.0,450.0,449.05,1693940,760175297.75,484.3,334.15,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,LAURUSLABS,EQ,464.2,448.05,450.0,458.75,459.85,451.0,1707738,783822222.15,484.3,334.15,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,LAURUSLABS,EQ,467.9,457.35,458.6,463.9,463.0,458.75,1366937,635197991.95,484.3,334.15,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,LAURUSLABS,EQ,466.1,448.35,465.0,451.75,451.15,463.9,2881673,1312338913.15,484.3,334.15,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,LAURUSLABS,EQ,453.6,437.0,445.0,447.1,448.45,451.75,2113511,949347414.35,484.3,334.15,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,LAURUSLABS,EQ,443.8,427.1,441.0,429.3,430.0,447.1,3049935,1324292798.8,484.3,349.4,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,LAURUSLABS,EQ,443.05,421.05,432.25,422.8,424.65,429.3,2440293,1053030036.0,484.3,349.4,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,LAURUSLABS,EQ,434.0,424.55,427.25,431.9,432.9,422.8,3421532,1466151132.0,484.3,349.4,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,LAURUSLABS,EQ,446.0,430.45,434.0,431.75,433.6,431.9,2150488,940963802.15,484.3,349.4,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,LAURUSLABS,EQ,439.3,424.55,435.0,426.3,425.4,431.75,3838939,1645416339.1,484.3,349.4,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,LAURUSLABS,EQ,428.4,422.55,426.3,426.2,426.0,426.3,1414056,600833855.25,484.3,349.4,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,LAURUSLABS,EQ,434.0,418.5,427.45,419.85,419.9,426.2,985318,417224037.35,484.3,349.4,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,LAURUSLABS,EQ,432.8,417.7,421.7,428.5,432.75,419.85,3003256,1278563348.0,484.3,349.4,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,LAURUSLABS,EQ,433.25,426.95,430.0,429.5,430.9,428.5,3156656,1356753850.4,484.3,349.4,2024-08-15T18:30:00.000Z
