datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,MAHABANK,EQ,69.7,64.8,65.75,68.75,68.7,65.08,116186128,7906360480.88,73.5,30.75,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,MAHABANK,EQ,70.8,67.41,69.3,67.69,67.8,68.75,49596296,3417261329.0,73.5,30.75,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,MAHABANK,EQ,69.9,66.7,67.98,67.19,67.54,67.69,45368604,3095623093.33,73.5,30.75,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,MAHABANK,EQ,67.69,65.5,67.1,65.65,65.65,67.19,21188633,1406015533.54,73.5,30.75,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,MAHABANK,EQ,66.82,64.98,65.65,66.57,66.72,65.65,15885190,1051265397.56,73.5,32.7,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,MAHABANK,EQ,67.24,62.93,67.05,65.19,65.39,66.57,18174540,1186635330.59,73.5,32.7,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,MAHABANK,EQ,67.83,64.66,65.1,67.19,67.11,65.19,23373590,1557881271.41,73.5,32.7,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,MAHABANK,EQ,67.59,66.05,66.5,66.63,66.55,67.19,12331832,823900126.52,73.5,32.7,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,MAHABANK,EQ,68.9,66.22,66.63,67.73,67.6,66.63,28877039,1950305015.89,73.5,32.7,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,MAHABANK,EQ,70.77,68.0,68.9,68.09,68.16,67.73,31136013,2153496714.26,73.5,32.7,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,MAHABANK,EQ,68.48,67.32,68.09,67.67,67.9,68.09,11918045,810167014.85,73.5,32.7,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,MAHABANK,EQ,67.89,66.83,67.8,66.94,66.95,67.67,8905944,598024409.47,73.5,32.7,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,MAHABANK,EQ,67.5,65.8,67.01,66.11,66.17,66.94,9827983,654951843.74,73.5,32.7,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,MAHABANK,EQ,66.58,64.8,64.82,65.51,65.7,66.11,12005955,787480210.84,73.5,32.7,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,MAHABANK,EQ,64.16,62.0,63.69,62.17,62.2,65.51,21119418,1327833113.16,73.5,33.7,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,MAHABANK,EQ,64.15,61.01,63.16,61.5,61.55,62.17,13352695,836374944.73,73.5,33.7,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,MAHABANK,EQ,63.15,61.9,62.48,62.86,63.04,61.5,9205822,575006152.23,73.5,33.7,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,MAHABANK,EQ,63.48,61.9,62.8,62.09,62.2,62.86,11428507,716182464.62,73.5,33.7,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,MAHABANK,EQ,62.99,61.6,62.85,61.92,62.0,62.09,12044190,748979963.15,73.5,33.7,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,MAHABANK,EQ,61.9,61.0,61.9,61.12,61.19,61.92,9697154,594758092.36,73.5,36.2,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,MAHABANK,EQ,61.65,60.0,61.15,60.13,60.6,61.12,10213321,621634068.82,73.5,36.2,2024-08-12T18:30:00.000Z
