datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,MANAPPURAM,EQ,229.75,221.57,225.0,222.07,222.29,224.23,11997713,2699230706.94,229.75,124.85,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,MANAPPURAM,EQ,223.9,219.18,222.2,220.63,220.71,222.07,9638065,2135139510.76,229.75,124.85,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,MANAPPURAM,EQ,229.4,222.3,226.0,228.32,228.2,220.63,22158543,5028363518.09,229.75,124.85,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,MANAPPURAM,EQ,230.4,216.0,230.4,216.58,216.9,228.32,7745716,1717561142.46,230.4,124.85,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,MANAPPURAM,EQ,217.4,213.51,216.58,215.27,215.45,216.58,3737967,805412825.56,230.4,125.35,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,MANAPPURAM,EQ,217.97,200.5,217.97,202.73,203.0,215.27,15468823,3183277086.69,230.4,125.35,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,MANAPPURAM,EQ,213.35,201.06,202.6,210.55,210.7,202.73,12089115,2524891848.89,230.4,125.35,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,MANAPPURAM,EQ,209.5,203.5,209.5,204.67,204.6,210.55,12420845,2546307103.87,230.4,125.35,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,MANAPPURAM,EQ,214.05,204.81,204.81,212.99,213.75,204.67,22979017,4809463836.93,230.4,125.35,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,MANAPPURAM,EQ,216.3,211.1,212.09,213.22,213.29,212.99,6548122,1401691084.83,230.4,125.35,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,MANAPPURAM,EQ,216.91,211.76,213.22,213.95,213.5,213.22,4092374,878846592.18,230.4,125.35,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,MANAPPURAM,EQ,215.04,212.5,214.01,214.0,214.35,213.95,2378843,508374249.75,230.4,125.35,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,MANAPPURAM,EQ,217.61,211.45,216.2,213.68,214.22,214.0,5403469,1160841339.76,230.4,125.35,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,MANAPPURAM,EQ,213.08,207.0,210.65,209.7,209.99,213.68,4357379,917383457.6,230.4,125.35,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,MANAPPURAM,EQ,207.94,196.94,205.0,199.46,199.98,209.7,8198743,1654369295.73,230.4,125.35,2024-08-04T18:30:00.000Z
