datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,MAZDOCK,EQ,5574.0,5370.0,5570.0,5392.45,5387.0,5553.2,1363594,7378762803.35,5860,1591.15,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,MAZDOCK,EQ,5545.25,5342.65,5390.0,5405.0,5395.0,5392.45,1947473,10578230967.4,5860,1591.15,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,MAZDOCK,EQ,5427.2,5106.25,5400.0,5190.75,5188.0,5405.0,2160160,11312331131.3,5860,1591.15,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,MAZDOCK,EQ,5380.0,5060.0,5188.0,5130.7,5125.05,5190.75,3415202,17742480427.05,5860,1591.15,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,MAZDOCK,EQ,5478.0,4951.0,5055.0,5325.15,5323.0,5130.7,5017843,26656705754.05,5860,1714.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,MAZDOCK,EQ,5434.0,4792.65,5330.0,5061.25,5061.95,5325.15,4248962,21932323450.65,5860,1714.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,MAZDOCK,EQ,5190.0,5023.65,5074.95,5047.7,5035.0,5061.25,1376668,7010482911.85,5860,1714.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,MAZDOCK,EQ,5029.0,4832.0,4990.0,4856.5,4880.0,5047.7,1672094,8223361065.9,5860,1714.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,MAZDOCK,EQ,4950.0,4840.0,4889.95,4858.15,4865.0,4856.5,970791,4748771450.8,5860,1714.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,MAZDOCK,EQ,5343.95,4856.0,4907.4,5340.4,5343.95,4858.15,4546833,23582343966.7,5860,1714.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,MAZDOCK,EQ,5545.45,5273.0,5301.0,5369.05,5355.5,5340.4,3464497,18890709999.95,5860,1714.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,MAZDOCK,EQ,5378.7,5233.7,5373.15,5243.5,5245.0,5369.05,978206,5158309313.55,5860,1714.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,MAZDOCK,EQ,5359.6,5088.0,5268.75,5107.65,5116.0,5243.5,1127832,5865286205.85,5860,1714.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,MAZDOCK,EQ,5190.0,4990.0,5000.0,5095.6,5090.0,5107.65,1146391,5836721965.05,5860,1714.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,MAZDOCK,EQ,4975.0,4732.0,4840.95,4799.5,4783.0,5095.6,1997938,9649649426.55,5860,1714.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,MAZDOCK,EQ,4998.0,4625.1,4895.45,4641.25,4642.0,4799.5,1574403,7552886516.35,5860,1714.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,MAZDOCK,EQ,4920.0,4542.75,4759.95,4845.3,4850.0,4641.25,2835229,13535141080.15,5860,1714.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,MAZDOCK,EQ,5005.0,4790.0,4850.0,4885.1,4890.0,4845.3,1585213,7779821642.4,5860,1714.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,MAZDOCK,EQ,5155.0,4894.0,4970.0,4917.8,4915.0,4885.1,1884416,9445274776.45,5860,1714.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,MAZDOCK,EQ,5060.0,4944.0,5021.0,4962.15,4954.0,4917.8,1494145,7472113642.25,5860,1719.0,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,MAZDOCK,EQ,5000.0,4816.2,4990.0,4833.6,4836.0,4962.15,1016847,4976815509.95,5860,1719.0,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,MAZDOCK,EQ,5077.0,4680.3,4855.0,4998.5,4984.0,4833.6,3464474,17063620320.5,5860,1719.0,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,MAZDOCK,EQ,5140.0,4946.85,5100.0,4974.95,4965.0,4998.5,2074024,10418282061.6,5860,1719.0,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,MAZDOCK,EQ,4900.1,4700.0,4900.0,4724.75,4724.95,4974.95,1950181,9336259159.6,5860,1742.0,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,MAZDOCK,EQ,4702.35,4281.0,4688.55,4299.55,4297.0,4724.75,6258637,27545882194.1,5860,1742.0,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,MAZDOCK,EQ,4633.65,4111.1,4220.95,4539.65,4524.0,4299.55,9436605,42426935219.75,5860,1742.0,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,MAZDOCK,EQ,4630.4,4450.0,4568.3,4467.95,4461.0,4539.65,2970068,13408532046.05,5860,1742.0,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,MAZDOCK,EQ,4554.0,4397.0,4475.2,4411.6,4414.0,4467.95,2379049,10638825479.75,5860,1742.0,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,MAZDOCK,EQ,4457.6,4300.0,4442.65,4307.5,4307.0,4411.6,1504615,6545082483.25,5860,1742.0,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,MAZDOCK,EQ,4367.4,4281.3,4307.5,4293.85,4293.0,4307.5,1461282,6310551881.9,5860,1742.0,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,MAZDOCK,EQ,4370.0,4241.0,4323.15,4313.65,4322.0,4293.85,1639602,7064452590.45,5860,1742.0,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,MAZDOCK,EQ,4336.0,4209.05,4329.95,4238.4,4232.0,4313.65,1306376,5559600957.4,5860,1742.0,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,MAZDOCK,EQ,4414.9,4174.0,4240.0,4241.45,4225.0,4238.4,3463953,14893631855.85,5860,1742.0,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,MAZDOCK,EQ,4315.7,4182.65,4250.0,4199.8,4197.0,4241.45,1202425,5090073397.5,5860,1742.0,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,MAZDOCK,EQ,4561.15,4322.25,4322.9,4454.5,4454.95,4199.8,7875237,35131739535.9,5860,1742.0,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,MAZDOCK,EQ,4821.15,4452.0,4460.0,4774.8,4786.95,4454.5,7969447,37278189390.45,5860,1742.0,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,MAZDOCK,EQ,4925.0,4537.4,4822.0,4579.1,4559.0,4774.8,4767316,22437169622.1,5860,1742.0,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,MAZDOCK,EQ,4602.25,4370.05,4580.0,4400.4,4403.0,4579.1,2780004,12346385280.5,5860,1742.0,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,MAZDOCK,EQ,4544.0,4300.5,4490.0,4351.15,4340.0,4400.4,2993946,13106709026.5,5860,1742.0,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,MAZDOCK,EQ,4456.0,4350.0,4372.05,4392.7,4385.0,4351.15,1496155,6586332016.45,5860,1742.0,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,MAZDOCK,EQ,4400.0,4301.75,4400.0,4313.55,4304.7,4392.7,823305,3571074745.75,5860,1742.0,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,MAZDOCK,EQ,4349.85,4270.0,4330.0,4315.05,4308.0,4313.55,983987,4239403640.6,5860,1742.0,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,MAZDOCK,EQ,4410.0,4295.5,4329.85,4312.8,4306.0,4315.05,969079,4215768731.85,5860,1742.0,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,MAZDOCK,EQ,4338.85,4240.15,4312.8,4250.55,4253.0,4312.8,734394,3137235195.7,5860,1742.0,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,MAZDOCK,EQ,4305.9,4180.0,4263.45,4193.3,4189.0,4250.55,915074,3865610987.75,5860,1742.0,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,MAZDOCK,EQ,4265.0,4170.0,4194.3,4178.0,4178.0,4193.3,933809,3927081896.05,5860,1742.0,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,MAZDOCK,EQ,4255.0,3970.0,4210.0,4059.65,4061.0,4178.0,1726825,7036552175.65,5860,1742.0,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,MAZDOCK,EQ,4423.0,4012.15,4081.3,4374.1,4360.9,4059.65,6028180,25991528471.8,5860,1742.0,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,MAZDOCK,EQ,4425.0,4310.0,4392.0,4318.15,4318.0,4374.1,1513783,6597399781.8,5860,1742.0,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,MAZDOCK,EQ,4320.0,4211.3,4320.0,4222.6,4231.0,4318.15,894527,3800813978.15,5860,1742.0,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,MAZDOCK,EQ,4350.0,4226.0,4258.15,4250.9,4251.0,4222.6,1735992,7446541144.8,5860,1742.0,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,MAZDOCK,EQ,4280.3,4200.0,4252.5,4234.95,4251.0,4250.9,864013,3650238470.0,5860,1742.0,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,MAZDOCK,EQ,4268.75,4180.0,4251.0,4195.8,4186.0,4234.95,759647,3210002665.85,5860,1742.0,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,MAZDOCK,EQ,4265.0,4125.0,4195.0,4230.1,4220.0,4195.8,1008497,4228386411.8,5860,1742.0,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,MAZDOCK,EQ,4246.8,4185.8,4230.0,4199.25,4195.8,4230.1,453507,1907833537.4,5860,1742.0,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,MAZDOCK,EQ,4179.4,4061.0,4140.95,4076.9,4083.0,4199.25,788689,3240454316.5,5860,1742.0,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,MAZDOCK,EQ,4147.0,3975.05,4076.9,4075.35,4078.8,4076.9,1307601,5322633963.1,5860,1742.0,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,MAZDOCK,EQ,4106.85,3893.25,4095.75,3919.35,3929.0,4075.35,1063364,4219991220.25,5860,1742.0,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,MAZDOCK,EQ,4099.0,3852.55,3889.0,4080.85,4090.0,3919.35,1762071,7088748758.6,5860,1742.0,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,MAZDOCK,EQ,4170.9,4070.05,4085.05,4086.95,4095.0,4080.85,901678,3711393113.9,5860,1742.0,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,MAZDOCK,EQ,4510.0,4150.0,4154.95,4428.35,4431.0,4086.95,7463838,32716260484.6,5860,1742.0,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,MAZDOCK,EQ,4479.4,4350.2,4460.0,4384.95,4371.0,4428.35,2496317,10999951043.9,5860,1742.0,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,MAZDOCK,EQ,4424.0,4268.0,4399.0,4277.6,4281.0,4384.95,1407642,6109941921.75,5860,1742.0,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,MAZDOCK,EQ,4600.0,4253.05,4289.5,4403.15,4402.0,4277.6,5000743,22354156563.55,5860,1742.0,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,MAZDOCK,EQ,4475.0,4290.0,4400.0,4325.45,4330.0,4403.15,1775988,7740211007.75,5860,1742.0,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,MAZDOCK,EQ,4378.0,4220.0,4338.95,4237.8,4232.1,4325.45,994856,4269927692.2,5860,1742.0,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,MAZDOCK,EQ,4655.0,4285.0,4306.0,4526.35,4549.0,4237.8,8493150,38305872486.0,5860,1742.0,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,MAZDOCK,EQ,4850.0,4605.0,4610.0,4666.5,4655.0,4526.35,4921316,23269321540.15,5860,1742.0,2024-10-20T18:30:00.000Z
