datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,MOTILALOFS,EQ,535.5,517.0,532.5,530.3,534.4,532.5,834987,436291881.05,2678.1,517.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,MOTILALOFS,EQ,564.7,540.0,540.0,550.85,552.25,530.3,1367232,756976360.35,2678.1,517.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,MOTILALOFS,EQ,560.7,538.0,559.0,542.85,543.0,550.85,1104870,600245130.65,2678.1,517.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,MOTILALOFS,EQ,545.45,528.25,542.85,532.2,530.85,542.85,355097,189847765.5,2678.1,517.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,MOTILALOFS,EQ,538.25,522.6,534.25,533.95,533.0,532.2,321780,171034998.5,2678.1,517.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,MOTILALOFS,EQ,549.0,507.55,534.95,544.75,546.5,533.95,879312,468828584.45,2678.1,507.55,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,MOTILALOFS,EQ,572.4,548.0,550.5,568.05,571.5,544.75,763880,428790668.55,2678.1,507.55,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,MOTILALOFS,EQ,583.8,555.0,566.0,577.3,579.85,568.05,1051064,604144523.25,2678.1,507.55,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,MOTILALOFS,EQ,608.45,579.25,595.0,590.75,590.0,577.3,2251971,1332954690.95,2678.1,507.55,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,MOTILALOFS,EQ,611.5,590.9,600.0,606.7,610.35,590.75,1439978,866007179.0,2678.1,507.55,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,MOTILALOFS,EQ,645.95,606.75,611.4,638.65,638.8,606.7,1689934,1065234159.55,2678.1,507.55,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,MOTILALOFS,EQ,667.0,636.45,639.15,658.45,654.5,638.65,1847129,1207095912.95,2678.1,507.55,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,MOTILALOFS,EQ,678.0,645.45,660.0,653.4,657.8,658.45,1506753,996698700.95,2678.1,507.55,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,MOTILALOFS,EQ,667.85,636.4,640.1,657.35,660.0,653.4,900979,588561260.1,2678.1,507.55,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,MOTILALOFS,EQ,650.0,598.0,624.05,614.65,612.0,657.35,1710334,1062778300.3,2678.1,507.55,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,MOTILALOFS,EQ,637.0,586.85,620.0,590.8,594.0,614.65,856433,521690233.15,2678.1,507.55,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,MOTILALOFS,EQ,616.95,594.65,606.0,609.95,610.0,590.8,1116056,677159278.25,2678.1,507.55,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,MOTILALOFS,EQ,612.55,592.95,610.0,595.7,595.75,609.95,525020,313760809.0,2678.1,507.55,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,MOTILALOFS,EQ,611.75,600.4,605.0,607.3,604.5,595.7,578712,351042976.1,2678.1,507.55,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,MOTILALOFS,EQ,609.85,596.9,603.45,601.1,600.2,607.3,456733,276463574.75,2678.1,507.55,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,MOTILALOFS,EQ,605.0,578.0,601.1,585.0,586.0,601.1,410376,244444029.0,2678.1,507.55,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,MOTILALOFS,EQ,608.0,590.1,590.1,602.55,604.0,585.0,775784,467454335.75,2678.1,507.55,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,MOTILALOFS,EQ,628.7,603.0,607.4,623.15,623.0,602.55,1476847,916374193.35,2678.1,507.55,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,MOTILALOFS,EQ,637.0,627.15,630.0,632.35,633.6,623.15,596056,377595541.05,2678.1,507.55,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,MOTILALOFS,EQ,683.85,633.0,639.0,677.45,676.9,632.35,3049086,2016908853.3,2678.1,507.55,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,MOTILALOFS,EQ,716.5,665.1,677.0,694.85,694.0,677.45,2643719,1851601491.6,2678.1,507.55,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,MOTILALOFS,EQ,705.75,686.05,697.0,702.5,703.85,694.85,1021419,714489319.85,2678.1,507.55,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,MOTILALOFS,EQ,704.6,689.1,703.85,696.45,697.3,702.5,718654,499901808.05,2678.1,507.55,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,MOTILALOFS,EQ,775.0,700.15,702.0,760.1,761.55,696.45,6561169,4952116285.8,2678.1,507.55,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,MOTILALOFS,EQ,778.0,747.6,766.95,755.15,753.35,760.1,1568598,1192414437.85,2678.1,507.55,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,MOTILALOFS,EQ,770.0,737.65,760.75,744.4,748.0,755.15,1173835,874703210.45,2678.1,507.55,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,MOTILALOFS,EQ,755.0,720.6,748.8,725.45,725.0,744.4,1039633,761059973.95,2678.1,507.55,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,MOTILALOFS,EQ,734.25,709.0,728.05,720.1,725.0,725.45,1144273,823479397.3,2678.1,507.55,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,MOTILALOFS,EQ,756.7,715.0,729.7,751.95,750.85,720.1,2235268,1661107824.5,2678.1,507.55,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,MOTILALOFS,EQ,766.35,747.45,756.7,757.85,758.9,751.95,1412876,1071908914.3,2678.1,507.55,2024-09-02T18:30:00.000Z
