datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,NIACL,EQ,294.45,281.53,290.0,285.59,285.5,288.04,4845103,1399084853.05,324.7,115.2,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,NIACL,EQ,299.23,286.0,286.0,289.92,289.33,285.59,6609234,1940599532.56,324.7,115.2,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,NIACL,EQ,291.7,280.0,290.0,280.44,280.68,289.92,2596407,736236051.13,324.7,115.2,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,NIACL,EQ,280.0,263.2,280.0,265.2,265.2,280.44,2823102,759897707.82,324.7,115.2,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,NIACL,EQ,274.39,260.78,263.0,270.82,269.0,265.2,1872220,505552297.32,324.7,119.45,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,NIACL,EQ,271.93,239.0,270.81,255.42,255.7,270.82,4793353,1231184806.72,324.7,119.45,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,NIACL,EQ,266.7,255.42,255.6,260.29,260.0,255.42,2128247,555098367.24,324.7,119.45,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,NIACL,EQ,267.95,256.93,259.0,258.44,259.0,260.29,2353290,617956017.44,324.7,119.45,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,NIACL,EQ,310.11,256.99,260.15,291.73,290.85,258.44,41638885,12254323111.11,324.7,119.45,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,NIACL,EQ,295.0,276.5,291.0,280.28,280.2,291.73,7017043,2013590878.05,324.7,120.7,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,NIACL,EQ,297.8,278.54,280.7,285.64,285.4,280.28,10491030,3034301429.45,324.7,120.7,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,NIACL,EQ,302.9,283.55,286.39,292.88,293.3,285.64,11568344,3412473174.59,324.7,120.7,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,NIACL,EQ,301.95,278.5,293.4,279.85,280.1,292.88,7493881,2176650478.85,324.7,120.7,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,NIACL,EQ,282.85,272.25,275.4,278.95,279.8,279.85,3440484,958842293.95,324.7,120.7,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,NIACL,EQ,279.05,258.8,279.05,261.1,259.95,278.95,3566880,946748701.8,324.7,122.6,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,NIACL,EQ,271.95,252.3,265.0,253.7,253.6,261.1,2480222,653956698.95,324.7,122.6,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,NIACL,EQ,265.3,254.2,258.1,263.4,263.8,253.7,2134032,554164324.4,324.7,122.6,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,NIACL,EQ,272.8,258.2,262.1,260.3,259.9,263.4,4024254,1071450623.25,324.7,122.6,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,NIACL,EQ,264.0,250.1,264.0,251.75,251.0,260.3,2315643,589919290.3,324.7,122.6,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,NIACL,EQ,253.0,241.55,251.7,246.75,247.3,251.75,2990664,739796510.25,324.7,122.6,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,NIACL,EQ,249.9,236.35,248.3,238.8,239.0,246.75,1456486,354355655.5,324.7,122.6,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,NIACL,EQ,240.65,230.2,240.0,236.95,236.0,238.8,2179151,513974975.2,324.7,122.6,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,NIACL,EQ,241.45,236.6,240.0,238.2,239.0,236.95,1236519,295125833.15,324.7,122.6,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,NIACL,EQ,253.65,239.55,241.5,251.95,251.65,238.2,3646099,909890330.2,324.7,123.35,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,NIACL,EQ,262.95,251.1,253.0,258.8,260.05,251.95,2289265,586248401.45,324.7,123.35,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,NIACL,EQ,276.4,258.5,260.95,273.4,273.35,258.8,6417749,1741297668.0,324.7,123.35,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,NIACL,EQ,274.7,266.6,273.5,268.6,268.5,273.4,1576094,424436879.65,324.7,123.35,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,NIACL,EQ,270.95,263.4,270.9,264.25,264.3,268.6,1129762,301157133.3,324.7,123.35,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,NIACL,EQ,267.6,262.3,265.45,264.75,264.75,264.25,911536,241621279.05,324.7,123.55,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,NIACL,EQ,277.65,264.8,266.0,269.05,268.9,264.75,2978559,811889730.25,324.7,123.55,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,NIACL,EQ,274.65,266.5,269.05,270.1,269.4,269.05,2017311,547843769.5,324.7,123.55,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,NIACL,EQ,270.75,261.25,270.5,262.0,262.0,270.1,1140242,301419801.75,324.7,123.55,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,NIACL,EQ,268.55,262.2,264.0,264.85,264.95,262.0,1003907,266415222.35,324.7,123.55,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,NIACL,EQ,271.35,259.0,265.8,265.0,265.0,264.85,2178431,578047037.25,324.7,123.55,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,NIACL,EQ,270.0,262.0,266.55,267.65,266.45,265.0,1061181,282081930.3,324.7,123.55,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,NIACL,EQ,266.0,261.0,263.05,262.05,261.8,267.65,738721,194671267.55,324.7,123.55,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,NIACL,EQ,266.9,262.35,262.5,264.45,263.5,262.05,687608,181899608.7,324.7,123.55,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,NIACL,EQ,265.4,246.0,262.5,249.6,252.9,264.45,1763133,447886185.0,324.7,123.55,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,NIACL,EQ,262.7,250.55,255.0,257.05,256.9,249.6,4477489,1141512729.35,324.7,123.55,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,NIACL,EQ,257.4,246.5,257.4,247.5,246.7,257.05,1716743,427929700.6,324.7,123.55,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,NIACL,EQ,249.5,236.25,249.3,237.75,239.0,247.5,1168751,283469967.9,324.7,123.55,2024-09-10T18:30:00.000Z
