datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,NLCINDIA,EQ,302.65,272.25,280.0,297.73,294.5,279.08,24492458,7201560992.8,302.65,106.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,NLCINDIA,EQ,311.8,290.1,297.25,293.06,291.79,297.73,20261294,6090094179.47,311.8,106.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,NLCINDIA,EQ,294.0,275.5,291.86,278.3,275.99,293.06,11621546,3276523033.35,311.8,106.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,NLCINDIA,EQ,280.8,266.75,274.0,269.84,268.17,278.3,10365982,2835323932.64,311.8,106.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,NLCINDIA,EQ,276.9,263.41,268.0,269.08,269.85,269.84,5737335,1553991925.18,311.8,106.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,NLCINDIA,EQ,272.78,241.54,269.9,265.49,264.1,269.08,7296334,1920685323.45,311.8,106.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,NLCINDIA,EQ,287.46,261.69,264.0,284.03,283.5,265.49,12533270,3516845171.35,311.8,106.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,NLCINDIA,EQ,289.5,275.64,277.54,281.57,279.0,284.03,7073119,2008450606.58,311.8,106.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,NLCINDIA,EQ,294.0,281.5,281.99,287.8,287.0,281.57,8737211,2527709018.67,311.8,106.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,NLCINDIA,EQ,293.57,284.5,289.95,286.0,285.0,287.8,3540132,1019476901.09,311.8,106.0,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,NLCINDIA,EQ,296.5,284.33,285.89,293.73,293.4,286.0,7038059,2062785812.79,311.8,106.0,2024-07-29T18:30:00.000Z
