datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,NSLNISP,EQ,60.15,58.62,60.01,59.45,59.45,60.05,6116625,363168213.99,73.7,39.15,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,NSLNISP,EQ,61.5,58.41,59.64,58.8,58.51,59.45,13008105,781470786.27,73.7,39.15,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,NSLNISP,EQ,58.91,57.73,58.74,57.83,57.87,58.8,5219901,303226372.47,73.7,39.15,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,NSLNISP,EQ,58.14,56.45,58.0,56.65,56.55,57.83,6036944,343940878.8,73.7,39.15,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,NSLNISP,EQ,57.4,55.84,56.4,56.78,56.88,56.65,4517421,256349962.42,73.7,39.15,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,NSLNISP,EQ,57.58,54.34,57.4,56.11,56.45,56.78,6703071,377113172.55,73.7,39.15,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,NSLNISP,EQ,57.5,56.28,56.9,57.16,57.3,56.11,4075016,232338011.56,73.7,39.15,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,NSLNISP,EQ,57.74,56.0,56.6,56.14,56.35,57.16,5182234,294493454.27,73.7,39.15,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,NSLNISP,EQ,58.39,56.7,57.0,58.02,58.26,56.14,6526182,375550985.97,73.7,39.15,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,NSLNISP,EQ,59.5,57.7,58.45,57.9,57.99,58.02,6216892,364063938.38,73.7,39.15,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,NSLNISP,EQ,58.35,57.61,57.9,57.83,57.89,57.9,4487408,260308883.58,73.7,39.15,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,NSLNISP,EQ,58.79,57.77,57.99,58.24,58.6,57.83,4368693,253965189.3,73.7,39.15,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,NSLNISP,EQ,59.59,57.45,58.6,57.84,57.99,58.24,8826789,516961217.93,73.7,39.15,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,NSLNISP,EQ,57.31,56.22,57.0,57.01,57.09,57.84,4313911,245765157.63,73.7,39.15,2024-08-01T18:30:00.000Z
