datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,NUVAMA,EQ,4850.0,4700.0,4850.0,4799.6,4793.0,4803.75,32457,155128293.4,5500.0,2100.0,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,NUVAMA,EQ,4950.5,4773.65,4804.4,4938.95,4893.85,4799.6,55411,270982785.45,5500.0,2100.0,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,NUVAMA,EQ,4980.0,4855.0,4930.0,4922.4,4900.0,4938.95,35084,172309150.15,5500.0,2100.0,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,NUVAMA,EQ,4968.0,4725.05,4950.0,4801.95,4806.0,4922.4,40696,195537319.9,5500.0,2100.0,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,NUVAMA,EQ,4822.3,4654.15,4775.0,4743.65,4780.0,4801.95,45036,213813384.5,5500.0,2100.0,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,NUVAMA,EQ,4921.7,4600.0,4800.0,4896.0,4894.75,4743.65,59536,282702359.75,5500.0,2100.0,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,NUVAMA,EQ,5299.95,4871.2,4896.0,5261.45,5275.0,4896.0,220840,1142854355.65,5500.0,2100.0,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,NUVAMA,EQ,5643.0,5200.0,5250.0,5548.15,5570.0,5261.45,208902,1139961517.8,5643.0,2100.0,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,NUVAMA,EQ,5750.0,5425.7,5625.0,5703.25,5700.0,5548.15,145777,824891250.95,5750.0,2100.0,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,NUVAMA,EQ,6137.95,5720.0,5850.0,6010.0,6028.0,5703.25,312625,1869603430.05,6137.95,2100.0,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,NUVAMA,EQ,6439.0,6022.45,6085.0,6338.15,6300.0,6010.0,257723,1621511147.05,6439.0,2100.0,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,NUVAMA,EQ,6490.0,6238.0,6296.75,6342.0,6320.0,6338.15,145474,924946308.05,6490.0,2100.0,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,NUVAMA,EQ,6719.0,6330.0,6340.05,6644.9,6669.85,6342.0,165872,1097016054.2,6719.0,2100.0,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,NUVAMA,EQ,6635.0,6400.0,6635.0,6414.4,6447.0,6644.9,78792,513729129.7,6719.0,2100.0,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,NUVAMA,EQ,6380.0,5758.7,6364.95,5908.25,5939.0,6414.4,155943,937587175.9,6719.0,2100.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,NUVAMA,EQ,6299.0,5800.0,6169.95,5816.55,5838.0,5908.25,85348,508460299.6,6719.0,2100.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,NUVAMA,EQ,6149.0,5876.65,5898.95,6100.55,6109.0,5816.55,53796,321977851.15,6719.0,2100.0,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,NUVAMA,EQ,6209.9,5960.0,6140.0,6162.4,6159.6,6100.55,43308,265145444.4,6719.0,2100.0,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,NUVAMA,EQ,6512.0,6216.35,6240.25,6328.55,6311.75,6162.4,115605,738425620.15,6719.0,2100.0,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,NUVAMA,EQ,6453.8,6135.0,6275.0,6150.75,6199.0,6328.55,67743,424230688.35,6719.0,2100.0,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,NUVAMA,EQ,6270.0,6120.0,6230.0,6150.7,6126.0,6150.75,37818,234641344.2,6719.0,2100.0,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,NUVAMA,EQ,6213.9,5973.85,6200.0,6113.7,6084.8,6150.7,44865,273552611.25,6719.0,2100.0,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,NUVAMA,EQ,6202.0,6050.15,6113.7,6148.5,6120.0,6113.7,56522,347605708.55,6719.0,2100.0,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,NUVAMA,EQ,6550.5,6171.1,6249.35,6512.8,6549.0,6148.5,132060,844551864.65,6719.0,2100.0,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,NUVAMA,EQ,6898.85,6475.0,6599.0,6534.45,6500.0,6512.8,165398,1102087095.8,6898.85,2100.0,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,NUVAMA,EQ,6565.0,6170.0,6565.0,6256.05,6225.0,6534.45,1092268,6811703656.35,6898.85,2100.0,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,NUVAMA,EQ,6277.0,6171.0,6260.45,6208.9,6188.0,6256.05,119188,743638004.85,6898.85,2100.0,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,NUVAMA,EQ,6359.0,6185.05,6240.0,6317.55,6280.0,6208.9,119725,753298278.15,6898.85,2100.0,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,NUVAMA,EQ,6363.0,6201.1,6311.65,6310.0,6317.6,6317.55,113452,713851829.15,6898.85,2100.0,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,NUVAMA,EQ,6694.0,6320.0,6350.3,6673.45,6645.0,6310.0,207699,1356175004.55,6898.85,2100.0,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,NUVAMA,EQ,6799.4,6417.35,6700.0,6449.4,6452.05,6673.45,97925,643007299.3,6898.85,2100.0,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,NUVAMA,EQ,6573.0,6415.0,6463.1,6439.45,6424.5,6449.4,60696,393370411.8,6898.85,2100.0,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,NUVAMA,EQ,6630.0,6399.0,6600.0,6446.7,6435.0,6439.45,48029,310569639.65,6898.85,2100.0,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,NUVAMA,EQ,6736.4,6418.4,6494.35,6449.1,6447.8,6446.7,187201,1234405732.35,6898.85,2100.0,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,NUVAMA,EQ,6815.0,6453.05,6500.0,6771.9,6765.0,6449.1,147953,987153247.55,6898.85,2100.0,2024-09-02T18:30:00.000Z
