datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,NUVOCO,EQ,360.0,351.3,358.75,352.05,351.7,356.9,294797,104140975.9,398,291.3,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,NUVOCO,EQ,359.55,352.3,352.35,357.25,357.15,352.05,1342382,477112577.3,398,291.3,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,NUVOCO,EQ,357.35,347.5,354.0,348.75,349.1,357.25,245152,86193894.6,398,291.3,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,NUVOCO,EQ,350.6,335.1,349.45,336.6,336.15,348.75,327338,111235672.7,398,291.3,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,NUVOCO,EQ,345.0,329.95,336.0,342.4,343.0,336.6,312268,105886333.85,398,291.3,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,NUVOCO,EQ,344.8,330.3,344.8,342.4,341.0,342.4,229180,78004421.65,398,291.3,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,NUVOCO,EQ,347.0,339.15,339.15,345.3,345.2,342.4,172478,59417401.75,398,291.3,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,NUVOCO,EQ,345.95,337.75,344.0,345.1,345.0,345.3,366280,125710502.35,398,291.3,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,NUVOCO,EQ,356.65,342.85,345.15,350.8,351.75,345.1,748021,261581018.25,398,291.3,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,NUVOCO,EQ,361.0,348.75,352.7,355.3,354.8,350.8,1731430,619339206.8,398,291.3,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,NUVOCO,EQ,356.95,349.05,355.9,350.35,349.5,355.3,375705,132451427.3,398,291.3,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,NUVOCO,EQ,356.95,349.85,350.55,354.65,355.45,350.35,506794,179445536.6,398,291.3,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,NUVOCO,EQ,351.0,342.6,350.0,346.4,347.2,354.65,775002,268373671.25,398,291.3,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,NUVOCO,EQ,344.3,336.6,342.55,338.0,337.5,346.4,368004,124784273.95,398,291.3,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,NUVOCO,EQ,335.0,323.95,331.0,328.1,328.9,338.0,510706,167287476.85,398,291.3,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,NUVOCO,EQ,337.0,325.15,334.0,326.95,327.15,328.1,239280,79237112.55,398,291.3,2024-08-05T18:30:00.000Z
