datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-08-08T18:30:00.000Z,OLAELEC,EQ,91.2,76.0,76.0,91.2,91.2,76.0,525179173,44265659143.37,91.2,76,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,OLAELEC,EQ,109.44,95.0,97.0,109.44,109.44,91.2,210295560,21857538577.33,109.44,76,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,OLAELEC,EQ,129.4,105.21,120.98,108.17,108.85,109.44,365044065,42370243646.01,129.4,76,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,OLAELEC,EQ,113.4,100.36,110.0,110.9,110.99,108.17,160539788,17238455708.28,129.4,76,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,OLAELEC,EQ,133.08,117.0,121.0,133.08,133.08,110.9,338763140,43159106504.94,133.08,76,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,OLAELEC,EQ,146.38,136.0,139.39,146.38,146.38,133.08,192359284,27764903615.66,146.38,76,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,OLAELEC,EQ,157.4,132.65,153.8,137.79,137.38,146.38,309136273,44474857224.87,157.4,76,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,OLAELEC,EQ,143.5,135.22,143.0,138.05,137.91,137.79,113015397,15690434929.45,157.4,76,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,OLAELEC,EQ,139.0,126.05,139.0,131.32,131.55,138.05,107214397,14130591655.37,157.4,76,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,OLAELEC,EQ,132.47,125.55,131.0,126.26,125.93,131.32,58941772,7556995281.13,157.4,76,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,OLAELEC,EQ,132.7,118.6,123.43,125.3,125.19,126.26,162419382,20305015425.73,157.4,76,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,OLAELEC,EQ,131.0,125.75,126.0,127.53,127.6,125.3,62973982,8084226459.18,157.4,76,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,OLAELEC,EQ,129.19,125.0,128.7,125.69,125.63,127.53,36055940,4559347790.77,157.4,76,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,OLAELEC,EQ,126.99,119.6,125.95,120.28,120.6,125.69,32236138,3951925514.17,157.4,76,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,OLAELEC,EQ,122.97,117.11,121.3,117.93,118.0,120.28,39363549,4737359840.89,157.4,76,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,OLAELEC,EQ,119.95,114.0,118.5,114.93,114.95,117.93,32100435,3713221424.84,157.4,76,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,OLAELEC,EQ,119.3,112.66,114.0,113.49,113.35,114.93,34112725,3935846466.0,157.4,76,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,OLAELEC,EQ,115.0,109.8,112.55,110.8,110.95,113.49,30257994,3389090613.95,157.4,76,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,OLAELEC,EQ,119.17,110.33,111.36,115.16,114.9,110.8,88498741,10198984983.48,157.4,76,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,OLAELEC,EQ,115.05,109.0,111.1,109.57,110.25,115.16,58560417,6531731025.2,157.4,76,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,OLAELEC,EQ,116.2,103.5,110.0,114.58,114.1,109.57,93620725,10299064055.58,157.4,76,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,OLAELEC,EQ,119.0,113.39,114.8,115.5,115.15,114.58,51113502,5946772360.68,157.4,76,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,OLAELEC,EQ,116.5,109.86,115.49,113.02,112.5,115.5,44903854,5087966664.91,157.4,76,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,OLAELEC,EQ,115.49,111.44,114.6,112.64,112.47,113.02,33770388,3823045356.32,157.4,76,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,OLAELEC,EQ,114.25,111.0,112.7,111.58,111.41,112.64,18101301,2038747911.21,157.4,76,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,OLAELEC,EQ,112.18,106.9,112.0,107.6,107.0,111.58,27173576,2961364251.15,157.4,76,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,OLAELEC,EQ,118.36,110.26,112.95,117.96,118.36,107.6,163398289,18830560023.94,157.4,76,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,OLAELEC,EQ,123.9,116.1,118.0,116.95,116.47,117.96,118683852,14252908643.98,157.4,76,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,OLAELEC,EQ,117.49,109.5,116.7,111.67,112.04,116.95,61441099,6919015675.94,157.4,76,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,OLAELEC,EQ,113.95,110.4,113.0,110.99,111.29,111.67,26659658,2981340642.11,157.4,76,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,OLAELEC,EQ,112.4,107.5,112.0,108.15,108.05,110.99,30248266,3302237838.7,157.4,76,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,OLAELEC,EQ,109.9,103.42,108.15,104.05,103.8,108.15,52943938,5633292143.32,157.4,76,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,OLAELEC,EQ,107.5,101.4,105.37,103.02,103.22,104.05,54743574,5695787895.22,157.4,76,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,OLAELEC,EQ,106.34,102.3,105.79,103.49,103.66,103.02,31139206,3226568084.2,157.4,76,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,OLAELEC,EQ,104.87,101.0,104.6,102.18,102.24,103.49,36452821,3733495675.35,157.4,76,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,OLAELEC,EQ,102.38,97.84,101.71,99.62,99.85,102.18,51879596,5168216281.38,157.4,76,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,OLAELEC,EQ,103.49,99.15,100.0,102.62,102.6,99.62,61227119,6226712249.6,157.4,76,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,OLAELEC,EQ,102.19,99.0,100.0,99.26,99.2,102.62,27994702,2806352763.71,157.4,76,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,OLAELEC,EQ,100.0,95.39,100.0,99.05,99.09,99.26,43646598,4280072303.22,157.4,76,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,OLAELEC,EQ,100.0,89.55,99.9,90.82,90.75,99.05,90107948,8292076028.41,157.4,76,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,OLAELEC,EQ,96.78,86.0,86.0,95.41,95.5,90.82,113352923,10468251811.74,157.4,76,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,OLAELEC,EQ,98.69,93.79,95.32,95.78,95.19,95.41,57074037,5516804630.1,157.4,76,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,OLAELEC,EQ,95.17,90.0,94.0,90.79,90.87,95.78,49223674,4539003843.99,157.4,76,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,OLAELEC,EQ,92.25,89.66,91.0,90.2,90.28,90.79,34321755,3108297569.4,157.4,76,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,OLAELEC,EQ,90.5,87.15,90.0,87.46,87.56,90.2,36287243,3196726743.1,157.4,76,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,OLAELEC,EQ,91.87,88.65,88.79,89.51,89.55,87.46,56875452,5136780074.22,157.4,76,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,OLAELEC,EQ,90.39,88.62,90.0,89.17,89.3,89.51,20025845,1787591578.82,157.4,76,2024-10-15T18:30:00.000Z
2024-10-16T18:30:00.000Z,OLAELEC,EQ,90.0,87.2,89.39,87.57,87.55,89.17,16578506,1462883461.36,157.4,76,2024-10-16T18:30:00.000Z
2024-10-17T18:30:00.000Z,OLAELEC,EQ,88.0,85.02,85.75,86.95,87.3,87.57,25522239,2203708122.85,157.4,76,2024-10-17T18:30:00.000Z
2024-10-20T18:30:00.000Z,OLAELEC,EQ,87.48,81.0,87.19,81.65,81.4,86.95,34971218,2917685002.37,157.4,76,2024-10-20T18:30:00.000Z
