datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,PCBL,EQ,285.9,271.0,279.0,282.9,282.95,274.55,6685739,1879550348.95,343.5,151.25,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,PCBL,EQ,297.5,282.65,285.0,291.95,291.1,282.9,10232727,2980721699.65,343.5,151.25,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,PCBL,EQ,295.7,285.0,292.5,286.3,285.75,291.95,3990676,1155242317.65,343.5,151.25,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,PCBL,EQ,285.5,275.0,285.5,276.3,277.95,286.3,2959028,822188341.45,343.5,151.25,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,PCBL,EQ,284.5,269.05,273.45,282.05,282.0,276.3,2300077,642262518.9,343.5,151.25,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,PCBL,EQ,282.75,258.95,282.0,276.1,275.35,282.05,3813979,1041373153.55,343.5,151.25,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,PCBL,EQ,294.0,273.85,275.0,291.85,292.0,276.1,4117450,1183435811.65,343.5,151.25,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,PCBL,EQ,291.5,285.85,290.8,288.1,288.25,291.85,1820844,525592021.05,343.5,151.25,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,PCBL,EQ,299.0,287.3,289.0,290.95,291.0,288.1,4243107,1248177143.9,343.5,151.25,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,PCBL,EQ,302.45,288.55,292.0,299.7,300.0,290.95,4797892,1424777778.75,343.5,151.6,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,PCBL,EQ,343.45,305.1,306.0,331.95,331.9,299.7,47061718,15591817236.45,343.5,151.6,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,PCBL,EQ,336.6,323.3,333.7,325.25,325.5,331.95,6654925,2190109641.0,343.5,151.6,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,PCBL,EQ,359.8,324.3,328.5,346.85,349.05,325.25,32541135,11349411640.25,359.8,151.6,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,PCBL,EQ,380.0,340.3,343.0,376.9,372.5,346.85,35128581,12816738201.05,380.0,151.6,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,PCBL,EQ,396.9,355.0,364.05,384.35,380.35,376.9,42742615,16222465771.55,396.9,151.6,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,PCBL,EQ,419.85,377.25,393.7,385.35,389.1,384.35,31280502,12600742971.6,419.85,151.6,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,PCBL,EQ,405.0,377.55,399.0,385.45,386.5,385.35,10195992,3970957189.5,419.85,151.6,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,PCBL,EQ,411.6,383.0,386.35,402.0,401.95,385.45,18321151,7332295776.05,419.85,151.6,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,PCBL,EQ,409.0,392.25,409.0,395.9,395.0,402.0,5713077,2288940194.9,419.85,151.6,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,PCBL,EQ,394.75,382.95,393.0,386.8,385.95,395.9,4099618,1593907152.0,419.85,152.7,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,PCBL,EQ,389.5,371.55,388.0,374.95,374.45,386.8,2827621,1076034225.55,419.85,152.7,2024-08-12T18:30:00.000Z
