datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,PNBHOUSING,EQ,815.45,797.0,812.0,800.6,802.6,809.85,492816,396269779.7,913.7,598.1,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,PNBHOUSING,EQ,819.0,795.0,803.75,799.3,800.0,800.6,1090356,880554747.8,913.7,598.1,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,PNBHOUSING,EQ,811.0,785.2,805.7,789.2,788.15,799.3,875229,698591208.05,913.7,598.1,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,PNBHOUSING,EQ,788.0,773.0,788.0,780.8,780.0,789.2,949241,741335529.95,913.7,598.1,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,PNBHOUSING,EQ,795.85,765.2,780.8,791.9,792.05,780.8,900314,706597255.05,913.7,598.1,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,PNBHOUSING,EQ,797.9,741.25,797.9,757.4,757.5,791.9,1625765,1243627601.5,913.7,598.1,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,PNBHOUSING,EQ,783.6,759.8,765.0,775.95,773.65,757.4,900083,694820216.95,913.7,598.1,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,PNBHOUSING,EQ,796.0,763.25,770.0,781.25,779.8,775.95,1600605,1251761520.95,913.7,598.1,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,PNBHOUSING,EQ,803.0,786.9,790.0,793.85,793.0,781.25,1956104,1558628597.0,913.7,598.1,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,PNBHOUSING,EQ,807.0,790.7,799.9,794.9,794.25,793.85,763203,608408437.35,913.7,598.1,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,PNBHOUSING,EQ,788.4,778.65,781.0,779.95,779.0,794.9,5745630,4496610829.9,913.7,598.1,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,PNBHOUSING,EQ,812.0,779.5,782.0,805.5,806.1,779.95,4904880,3913328655.55,913.7,598.1,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,PNBHOUSING,EQ,826.0,800.9,809.75,809.55,810.0,805.5,3258960,2654457840.9,913.7,598.1,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,PNBHOUSING,EQ,822.85,792.15,801.0,810.55,811.5,809.55,1802886,1455597803.7,913.7,598.1,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,PNBHOUSING,EQ,792.05,768.05,792.0,774.9,777.0,810.55,1893441,1474580170.75,913.7,604.0,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,PNBHOUSING,EQ,806.4,783.0,783.0,790.85,786.0,774.9,1963673,1564838259.6,913.7,604.0,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,PNBHOUSING,EQ,819.45,793.4,804.0,809.35,809.85,790.85,1473418,1193665875.4,913.7,604.0,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,PNBHOUSING,EQ,821.0,800.4,809.0,804.2,804.35,809.35,781450,634125141.75,913.7,604.0,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,PNBHOUSING,EQ,836.3,810.8,811.8,821.0,819.6,804.2,2041897,1684630657.0,913.7,604.0,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,PNBHOUSING,EQ,847.1,815.65,821.0,836.1,834.0,821.0,2246162,1882874631.4,913.7,604.0,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,PNBHOUSING,EQ,844.05,801.25,838.0,803.6,803.55,836.1,1054794,867935325.35,913.7,604.0,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,PNBHOUSING,EQ,835.0,798.0,809.9,830.4,829.2,803.6,1683061,1383146556.05,913.7,604.0,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,PNBHOUSING,EQ,838.9,821.7,835.0,824.6,824.6,830.4,721549,600008608.3,913.7,604.0,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,PNBHOUSING,EQ,832.0,819.15,831.9,822.4,823.0,824.6,374968,308860954.15,913.7,604.0,2024-08-18T18:30:00.000Z
