datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,PPLPHARMA,EQ,158.04,151.11,155.0,152.1,152.3,151.1,3834885,592179745.9,166.7,87.5,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,PPLPHARMA,EQ,155.6,152.1,152.3,152.78,152.75,152.1,3765750,580831572.88,166.7,87.5,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,PPLPHARMA,EQ,153.7,149.05,153.0,149.51,149.84,152.78,1618019,243465224.7,166.7,87.5,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,PPLPHARMA,EQ,149.94,146.16,149.88,147.9,148.05,149.51,2060317,304283173.52,166.7,87.5,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,PPLPHARMA,EQ,152.85,145.25,148.1,151.42,152.0,147.9,2117956,316635813.98,166.7,87.5,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,PPLPHARMA,EQ,156.5,147.11,154.49,156.18,156.3,151.42,6350723,978508859.96,166.7,87.5,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,PPLPHARMA,EQ,168.0,156.01,157.5,166.55,166.5,156.18,13612003,2207079724.75,168.0,87.5,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,PPLPHARMA,EQ,169.7,163.54,165.5,166.3,165.5,166.55,6029781,1005668069.12,169.7,87.5,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,PPLPHARMA,EQ,172.25,161.15,168.0,166.51,166.1,166.3,20366797,3406999224.53,172.25,87.5,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,PPLPHARMA,EQ,171.0,164.15,168.0,170.28,170.0,166.51,7186024,1213142115.71,172.25,87.5,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,PPLPHARMA,EQ,177.2,169.05,170.28,173.82,173.8,170.28,7558541,1319180248.05,177.2,87.5,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,PPLPHARMA,EQ,176.98,172.08,174.55,176.05,175.9,173.82,3390204,592432873.83,177.2,87.5,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,PPLPHARMA,EQ,176.6,171.05,176.5,173.25,173.45,176.05,2376522,413627832.5,177.2,87.5,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,PPLPHARMA,EQ,177.2,170.25,172.8,174.27,174.05,173.25,3975037,693852470.77,177.2,87.5,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,PPLPHARMA,EQ,173.46,166.0,170.0,168.36,167.99,174.27,4268134,721202556.98,177.2,87.5,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,PPLPHARMA,EQ,172.8,166.05,169.54,167.73,168.0,168.36,2217228,377041307.92,177.2,87.5,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,PPLPHARMA,EQ,180.9,169.01,169.7,179.34,180.9,167.73,9216354,1631177221.82,180.9,87.5,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,PPLPHARMA,EQ,191.5,179.54,179.9,185.05,185.25,179.34,13376633,2485903831.51,191.5,87.5,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,PPLPHARMA,EQ,187.1,180.5,186.25,181.52,182.1,185.05,3626092,668626745.77,191.5,87.5,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,PPLPHARMA,EQ,191.0,181.95,182.83,185.84,185.75,181.52,7044287,1317330346.03,191.5,87.5,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,PPLPHARMA,EQ,193.25,185.6,187.1,186.76,187.0,185.84,6075593,1151511733.27,193.25,87.5,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,PPLPHARMA,EQ,188.6,181.68,188.0,182.73,182.91,186.76,9473530,1746200487.01,193.25,87.5,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,PPLPHARMA,EQ,186.45,181.5,182.91,182.08,182.25,182.73,2493977,458446173.57,193.25,87.5,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,PPLPHARMA,EQ,185.95,182.85,183.9,183.42,183.4,182.08,1341932,246912766.29,193.25,87.5,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,PPLPHARMA,EQ,187.3,183.05,184.47,185.19,185.36,183.42,1937001,357736365.03,193.25,87.5,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,PPLPHARMA,EQ,188.0,184.79,185.49,187.53,187.05,185.19,2337341,436721449.5,193.25,87.5,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,PPLPHARMA,EQ,191.0,187.15,188.08,188.63,188.9,187.53,2399820,453494084.0,193.25,87.5,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,PPLPHARMA,EQ,193.5,185.6,189.1,186.58,186.9,188.63,4178973,790967040.22,193.5,87.5,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,PPLPHARMA,EQ,189.79,183.41,187.0,187.23,186.82,186.58,3134653,584068441.6,193.5,87.5,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,PPLPHARMA,EQ,188.6,184.25,188.5,184.87,184.25,187.23,1460220,271453853.71,193.5,87.5,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,PPLPHARMA,EQ,187.44,183.11,185.8,183.7,183.97,184.87,2311321,427470697.98,193.5,87.5,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,PPLPHARMA,EQ,187.2,181.62,184.0,182.51,183.0,183.7,1493643,275089111.62,193.5,87.5,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,PPLPHARMA,EQ,191.0,182.3,184.25,188.98,189.12,182.51,6121873,1153177407.47,193.5,87.5,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,PPLPHARMA,EQ,196.5,186.53,189.9,194.97,195.47,188.98,6402203,1233314733.26,196.5,87.5,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,PPLPHARMA,EQ,196.7,192.06,196.45,193.1,192.6,194.97,4019311,781909675.33,196.7,87.5,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,PPLPHARMA,EQ,216.58,189.1,190.0,213.03,213.2,193.1,66190740,13857871445.67,216.58,87.5,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,PPLPHARMA,EQ,221.7,211.18,215.0,219.59,219.05,213.03,35402343,7720789778.58,221.7,87.5,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,PPLPHARMA,EQ,228.0,218.36,218.61,226.31,225.8,219.59,31783605,7155670800.82,228.0,87.5,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,PPLPHARMA,EQ,226.74,214.75,225.0,217.34,218.3,226.31,13710460,3005624811.64,228.0,87.5,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,PPLPHARMA,EQ,239.8,216.51,217.29,231.44,239.0,217.34,27435684,6209936379.17,239.8,87.5,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,PPLPHARMA,EQ,243.99,232.2,240.01,235.31,234.88,231.44,36967413,8826805738.92,243.99,87.5,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,PPLPHARMA,EQ,239.9,230.5,238.1,232.67,232.9,235.31,10475944,2444615950.04,243.99,87.5,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,PPLPHARMA,EQ,234.99,224.93,233.7,228.11,227.7,232.67,6725148,1553606171.37,243.99,87.5,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,PPLPHARMA,EQ,233.65,227.47,227.72,228.71,228.86,228.11,6841446,1579438112.41,243.99,87.5,2024-09-15T18:30:00.000Z
