datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-09-02T18:30:00.000Z,PREMIERENE,EQ,994.55,802.1,990.0,839.9,838.9,450.0,58922092,52267137581.55,994.55,802.1,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,PREMIERENE,EQ,872.65,803.05,816.6,841.9,840.5,839.9,11523876,9785204045.3,994.55,802.1,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,PREMIERENE,EQ,1010.25,852.2,856.1,1004.8,1006.1,841.9,36818046,34877720512.7,1010.25,802.1,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,PREMIERENE,EQ,1188.9,982.0,1010.0,1096.05,1104.0,1004.8,44767796,49879650282.2,1188.9,802.1,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,PREMIERENE,EQ,1235.0,1105.0,1120.0,1208.65,1219.0,1096.05,28659020,33337761956.9,1235.0,802.1,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,PREMIERENE,EQ,1267.95,1111.9,1240.0,1173.7,1162.0,1208.65,22676122,27097459035.2,1267.95,802.1,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,PREMIERENE,EQ,1167.95,1082.65,1154.2,1098.1,1096.5,1173.7,8804576,9902920429.0,1267.95,802.1,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,PREMIERENE,EQ,1157.7,1085.0,1111.0,1132.5,1136.3,1098.1,8259315,9315137534.3,1267.95,802.1,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,PREMIERENE,EQ,1144.0,1096.45,1142.9,1112.15,1107.0,1132.5,3507316,3915612595.35,1267.95,802.1,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,PREMIERENE,EQ,1124.0,1045.0,1110.0,1109.85,1102.9,1112.15,5561217,6027909126.25,1267.95,802.1,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,PREMIERENE,EQ,1128.7,1082.65,1104.5,1113.3,1105.0,1109.85,3828734,4247453523.85,1267.95,802.1,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,PREMIERENE,EQ,1148.6,1090.0,1122.9,1134.85,1137.4,1113.3,3803064,4271980419.55,1267.95,802.1,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,PREMIERENE,EQ,1157.35,1075.0,1145.0,1099.1,1091.25,1134.85,3699807,4112793207.8,1267.95,802.1,2024-09-18T18:30:00.000Z
2024-09-19T18:30:00.000Z,PREMIERENE,EQ,1140.0,1100.2,1140.0,1109.2,1103.05,1099.1,1730908,1930361419.2,1267.95,802.1,2024-09-19T18:30:00.000Z
2024-09-22T18:30:00.000Z,PREMIERENE,EQ,1120.0,1080.0,1116.0,1090.9,1081.95,1109.2,1625670,1780561540.4,1267.95,802.1,2024-09-22T18:30:00.000Z
2024-09-23T18:30:00.000Z,PREMIERENE,EQ,1087.85,1062.35,1083.9,1077.1,1068.0,1090.9,1541568,1656232540.7,1267.95,802.1,2024-09-23T18:30:00.000Z
2024-09-24T18:30:00.000Z,PREMIERENE,EQ,1073.0,1024.0,1070.3,1036.35,1029.9,1077.1,2041656,2130961865.05,1267.95,802.1,2024-09-24T18:30:00.000Z
2024-09-25T18:30:00.000Z,PREMIERENE,EQ,1086.35,1017.0,1029.0,1049.35,1038.0,1036.35,3779481,3983271406.55,1267.95,802.1,2024-09-25T18:30:00.000Z
2024-09-26T18:30:00.000Z,PREMIERENE,EQ,1077.0,1032.0,1035.1,1051.65,1049.0,1049.35,1876970,1975113365.25,1267.95,802.1,2024-09-26T18:30:00.000Z
2024-09-29T18:30:00.000Z,PREMIERENE,EQ,1091.0,1012.05,1045.0,1082.9,1079.5,1051.65,4677852,4890062596.55,1267.95,802.1,2024-09-29T18:30:00.000Z
2024-09-30T18:30:00.000Z,PREMIERENE,EQ,1122.0,1068.15,1080.0,1109.35,1101.0,1082.9,3881983,4272492537.55,1267.95,802.1,2024-09-30T18:30:00.000Z
2024-10-02T18:30:00.000Z,PREMIERENE,EQ,1093.65,1056.05,1084.0,1080.45,1077.9,1109.35,3090856,3326241767.35,1267.95,802.1,2024-10-02T18:30:00.000Z
2024-10-03T18:30:00.000Z,PREMIERENE,EQ,1103.9,1030.3,1066.0,1047.4,1039.0,1080.45,2277332,2442350162.8,1267.95,802.1,2024-10-03T18:30:00.000Z
2024-10-06T18:30:00.000Z,PREMIERENE,EQ,1059.2,977.7,1045.75,997.2,988.0,1047.4,2917540,2929647769.8,1267.95,802.1,2024-10-06T18:30:00.000Z
2024-10-07T18:30:00.000Z,PREMIERENE,EQ,1022.0,973.0,990.0,1014.3,1020.0,997.2,2846197,2847261269.45,1267.95,802.1,2024-10-07T18:30:00.000Z
2024-10-08T18:30:00.000Z,PREMIERENE,EQ,1087.8,1021.35,1030.9,1079.05,1076.25,1014.3,4106614,4362793401.1,1267.95,802.1,2024-10-08T18:30:00.000Z
2024-10-09T18:30:00.000Z,PREMIERENE,EQ,1119.3,1069.0,1085.0,1105.7,1101.3,1079.05,2442587,2690121958.55,1267.95,802.1,2024-10-09T18:30:00.000Z
2024-10-10T18:30:00.000Z,PREMIERENE,EQ,1119.0,1090.05,1101.3,1107.4,1105.4,1105.7,1518596,1681383911.7,1267.95,802.1,2024-10-10T18:30:00.000Z
2024-10-13T18:30:00.000Z,PREMIERENE,EQ,1216.8,1120.0,1120.0,1133.6,1133.0,1107.4,8088647,9440798219.2,1267.95,802.1,2024-10-13T18:30:00.000Z
2024-10-14T18:30:00.000Z,PREMIERENE,EQ,1166.6,1118.3,1143.0,1148.25,1145.5,1133.6,2089567,2388380202.9,1267.95,802.1,2024-10-14T18:30:00.000Z
2024-10-15T18:30:00.000Z,PREMIERENE,EQ,1150.95,1125.7,1135.0,1135.35,1128.0,1148.25,1369581,1557201464.0,1267.95,802.1,2024-10-15T18:30:00.000Z
