datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,PSB,EQ,63.14,58.59,59.87,62.08,62.09,59.26,7892334,486970656.83,77.5,30.7,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,PSB,EQ,64.72,62.11,62.7,63.76,63.78,62.08,8586594,546433245.37,77.5,30.7,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,PSB,EQ,68.4,63.28,64.05,65.39,66.0,63.76,19109296,1268596401.48,77.5,30.7,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,PSB,EQ,66.86,63.0,66.0,63.38,63.38,65.39,6464427,419438058.01,77.5,30.7,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,PSB,EQ,65.3,61.94,63.0,64.0,64.0,63.38,3745693,238968705.71,77.5,30.7,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,PSB,EQ,64.99,58.52,64.99,61.37,61.35,64.0,4291469,263881588.25,77.5,30.7,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,PSB,EQ,66.42,61.01,61.35,65.27,65.3,61.37,7241779,466081051.77,77.5,30.7,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,PSB,EQ,66.14,63.9,64.3,64.24,64.3,65.27,4655622,301913729.27,77.5,30.7,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,PSB,EQ,70.65,63.85,64.25,68.44,68.76,64.24,16392000,1114967483.05,77.5,30.7,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,PSB,EQ,73.64,68.5,70.1,69.1,68.85,68.44,10746693,761651349.68,77.5,30.7,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,PSB,EQ,69.75,66.72,69.25,66.97,67.1,69.1,3986236,270529526.95,77.5,30.7,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,PSB,EQ,67.68,65.5,67.34,66.24,66.38,66.97,2447558,162573022.92,77.5,30.7,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,PSB,EQ,68.7,65.46,66.8,66.27,66.25,66.24,5533145,371641650.19,77.5,30.7,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,PSB,EQ,67.34,64.42,64.9,66.54,66.35,66.27,5203590,343751879.62,77.5,30.7,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,PSB,EQ,64.05,60.61,62.1,61.12,61.34,66.54,7076084,441087641.44,77.5,30.7,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,PSB,EQ,63.5,58.9,62.75,59.26,59.45,61.12,5403176,327514845.95,77.5,30.7,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,PSB,EQ,61.5,59.45,61.35,60.77,60.99,59.26,2267143,137257854.88,77.5,30.7,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,PSB,EQ,62.28,60.3,60.99,60.87,61.0,60.77,2465570,151160505.72,77.5,30.7,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,PSB,EQ,61.75,60.39,61.0,60.53,60.5,60.87,2277784,138781563.0,77.5,30.7,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,PSB,EQ,60.81,59.5,60.4,60.21,60.22,60.53,1740707,104763654.37,77.5,32.15,2024-08-11T18:30:00.000Z
