datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,RAILTEL,EQ,608.0,568.6,601.0,575.5,577.0,596.9,13746231,8022496961.7,617.8,137.6,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,RAILTEL,EQ,578.05,551.3,578.05,556.2,556.9,575.5,8190963,4606308396.7,617.8,137.6,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,RAILTEL,EQ,562.0,520.2,556.2,526.7,528.5,556.2,9995015,5326834462.05,617.8,137.6,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,RAILTEL,EQ,551.5,511.05,529.1,516.35,516.0,526.7,21253140,11223340800.8,617.8,137.6,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,RAILTEL,EQ,536.55,505.75,516.35,523.7,527.0,516.35,9806302,5156561285.05,617.8,156.6,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,RAILTEL,EQ,549.5,450.75,541.5,491.2,497.0,523.7,24569177,12596033617.1,617.8,156.6,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,RAILTEL,EQ,521.5,493.5,496.0,505.95,509.0,491.2,10109238,5142951883.95,617.8,156.6,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,RAILTEL,EQ,513.9,490.0,505.0,492.55,494.8,505.95,5943205,2970362644.35,617.8,156.6,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,RAILTEL,EQ,502.0,483.75,495.05,485.1,486.0,492.55,5392357,2646131816.9,617.8,156.6,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,RAILTEL,EQ,516.0,488.35,489.5,509.7,510.5,485.1,13323161,6724290120.35,617.8,158.35,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,RAILTEL,EQ,518.9,503.0,510.05,510.75,512.15,509.7,6416199,3276091031.65,617.8,158.35,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,RAILTEL,EQ,513.2,498.15,512.75,500.1,500.7,510.75,2770724,1395226018.4,617.8,158.35,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,RAILTEL,EQ,505.5,494.0,503.35,496.4,495.5,500.1,2935815,1466635733.65,617.8,158.35,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,RAILTEL,EQ,508.8,481.1,484.0,501.6,501.3,496.4,5675727,2830647021.55,617.8,158.35,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,RAILTEL,EQ,487.0,461.25,479.95,470.55,467.95,501.6,5903275,2790975474.75,617.8,163.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,RAILTEL,EQ,487.75,449.0,484.9,452.45,453.0,470.55,4280963,2001866293.2,617.8,163.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,RAILTEL,EQ,468.25,448.35,465.0,464.45,468.0,452.45,4025364,1848145422.1,617.8,163.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,RAILTEL,EQ,476.4,454.55,466.8,458.2,456.1,464.45,3698457,1723205205.7,617.8,163.25,2024-08-07T18:30:00.000Z
