datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,RECLTD,EQ,644.7,631.15,640.0,633.75,633.6,637.35,6897803,4386714876.1,654,159.15,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,RECLTD,EQ,636.9,616.55,634.0,617.7,618.35,633.75,8288646,5181844433.6,654,159.15,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,RECLTD,EQ,620.85,598.0,617.7,610.05,611.0,617.7,17723265,10804037790.3,654,159.15,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,RECLTD,EQ,621.5,596.4,610.75,598.4,598.5,610.05,13057169,7906799681.65,654,159.15,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,RECLTD,EQ,620.6,591.4,595.0,618.8,619.8,598.4,13035918,8008632826.95,654,162.35,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,RECLTD,EQ,624.1,566.55,622.4,595.25,597.4,618.8,21847141,13129169168.5,654,162.35,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,RECLTD,EQ,616.0,596.2,598.0,604.55,605.35,595.25,14297279,8676158956.1,654,162.35,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,RECLTD,EQ,610.4,592.05,597.0,608.0,609.1,604.55,7184870,4328736683.5,654,162.35,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,RECLTD,EQ,629.05,607.5,614.1,625.9,623.55,608.0,11447407,7102866392.9,654,162.35,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,RECLTD,EQ,646.5,615.6,620.0,644.6,643.0,625.9,23006702,14622299757.6,654,191.45,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,RECLTD,EQ,650.6,633.35,643.0,642.2,640.8,644.6,12687462,8142976863.7,654,191.45,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,RECLTD,EQ,648.25,640.55,641.95,644.25,643.5,642.2,6874000,4428938307.1,654,191.45,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,RECLTD,EQ,646.95,623.95,640.0,625.2,625.0,644.25,10556749,6672381218.85,654,191.45,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,RECLTD,EQ,624.5,607.7,612.8,611.05,611.5,625.2,12658405,7789052142.45,654,191.45,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,RECLTD,EQ,597.2,572.65,588.1,579.1,578.0,611.05,19358145,11265598574.95,654,198.35,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,RECLTD,EQ,609.45,563.55,590.0,565.45,568.0,579.1,13961254,8136699148.6,654,198.35,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,RECLTD,EQ,593.35,574.4,583.7,590.45,590.9,565.45,13508638,7903818465.3,654,198.35,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,RECLTD,EQ,594.2,581.9,586.0,583.55,583.5,590.45,7233983,4248761159.15,654,198.35,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,RECLTD,EQ,593.5,585.1,590.1,586.9,587.5,583.55,6604483,3888773497.65,654,198.35,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,RECLTD,EQ,585.35,574.15,583.35,578.8,578.05,586.9,7486860,4343117644.55,654,217.35,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,RECLTD,EQ,582.7,567.4,576.0,568.95,568.7,578.8,7635406,4392997165.9,654,217.35,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,RECLTD,EQ,572.9,560.05,571.25,563.7,564.5,568.95,4468230,2526339975.1,654,217.35,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,RECLTD,EQ,581.45,564.0,572.2,579.65,579.8,563.7,6950751,3980676406.7,654,217.35,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,RECLTD,EQ,591.3,580.0,585.4,584.3,584.95,579.65,6715017,3938175360.1,654,230.55,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,RECLTD,EQ,601.5,581.5,586.95,599.9,598.5,584.3,10518490,6258538108.7,654,230.55,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,RECLTD,EQ,604.95,592.35,602.85,594.2,594.5,599.9,6820599,4082233434.25,654,230.55,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,RECLTD,EQ,597.95,591.35,595.2,595.35,594.05,594.2,3337019,1984912888.85,654,230.55,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,RECLTD,EQ,597.05,585.75,594.1,586.7,587.2,595.35,4656124,2750950599.25,654,230.55,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,RECLTD,EQ,598.9,587.1,598.05,589.85,589.9,586.7,7437582,4398894026.6,654,230.55,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,RECLTD,EQ,620.3,586.55,590.0,617.35,616.25,589.85,16554285,10096974067.9,654,230.55,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,RECLTD,EQ,626.25,615.3,619.5,618.55,618.0,617.35,9811133,6093411613.95,654,230.55,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,RECLTD,EQ,636.0,619.1,629.0,626.25,626.5,618.55,15661951,9831968837.75,654,230.55,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,RECLTD,EQ,632.0,618.0,628.2,619.75,622.8,626.25,8931237,5566283394.7,654,230.55,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,RECLTD,EQ,622.5,611.3,619.9,617.15,617.5,619.75,4617697,2845169729.2,654,233.65,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,RECLTD,EQ,630.95,613.3,618.5,629.4,627.65,617.15,7628972,4754745935.9,654,233.65,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,RECLTD,EQ,626.0,617.15,618.0,624.65,623.95,629.4,4002544,2491730597.4,654,233.65,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,RECLTD,EQ,635.4,625.1,625.2,630.6,629.0,624.65,7738087,4879209462.25,654,233.65,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,RECLTD,EQ,630.9,604.0,625.65,607.45,607.0,630.6,8074544,4945705671.2,654,233.65,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,RECLTD,EQ,606.0,580.55,604.5,590.05,591.9,607.45,11883819,6989601826.0,654,239.6,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,RECLTD,EQ,596.55,574.3,594.0,577.15,577.7,590.05,8925317,5200480794.45,654,239.6,2024-09-09T18:30:00.000Z
2024-09-10T18:30:00.000Z,RECLTD,EQ,581.15,559.7,578.0,562.75,563.9,577.15,7761933,4432770013.4,654,239.6,2024-09-10T18:30:00.000Z
2024-09-11T18:30:00.000Z,RECLTD,EQ,575.1,553.7,566.0,572.8,573.0,562.75,10234653,5784797760.0,654,239.6,2024-09-11T18:30:00.000Z
2024-09-12T18:30:00.000Z,RECLTD,EQ,577.0,564.2,574.0,567.7,566.7,572.8,6979913,3981603362.15,654,239.6,2024-09-12T18:30:00.000Z
2024-09-15T18:30:00.000Z,RECLTD,EQ,570.25,557.2,567.7,560.7,560.5,567.7,4136798,2325275413.55,654,239.6,2024-09-15T18:30:00.000Z
2024-09-16T18:30:00.000Z,RECLTD,EQ,563.0,542.55,560.7,544.85,545.5,560.7,11277058,6185287134.8,654,239.6,2024-09-16T18:30:00.000Z
2024-09-17T18:30:00.000Z,RECLTD,EQ,563.25,543.1,555.0,546.05,545.8,544.85,15318568,8461370886.8,654,239.6,2024-09-17T18:30:00.000Z
2024-09-18T18:30:00.000Z,RECLTD,EQ,555.0,509.85,552.0,529.7,533.8,546.05,25364529,13316816905.15,654,239.6,2024-09-18T18:30:00.000Z
