datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,REDINGTON,EQ,210.49,206.25,208.1,208.16,207.55,208.1,1181004,246131846.33,237.55,136.2,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,REDINGTON,EQ,211.36,207.45,208.51,207.94,208.0,208.16,1527116,318113799.27,237.55,136.2,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,REDINGTON,EQ,208.8,205.0,208.0,206.12,206.51,207.94,2094012,431702038.03,237.55,136.2,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,REDINGTON,EQ,207.93,198.01,207.92,199.03,199.39,206.12,1492584,300010702.27,237.55,136.2,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,REDINGTON,EQ,203.34,195.46,199.29,202.28,202.53,199.03,835517,167275003.13,237.55,136.2,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,REDINGTON,EQ,206.48,195.62,204.08,202.36,203.0,202.28,1219071,246925154.42,237.55,136.2,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,REDINGTON,EQ,211.5,203.4,203.4,210.62,210.5,202.36,1302633,271313439.12,237.55,136.2,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,REDINGTON,EQ,210.7,207.11,207.83,210.24,210.0,210.62,1206797,252732967.43,237.55,136.2,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,REDINGTON,EQ,214.9,209.1,209.1,212.52,212.9,210.24,987606,210506997.7,237.55,136.2,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,REDINGTON,EQ,219.49,211.85,214.5,212.8,214.0,212.52,1306121,281530584.56,237.55,136.2,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,REDINGTON,EQ,217.48,213.9,214.0,214.66,214.84,212.8,941657,203453412.49,237.55,136.2,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,REDINGTON,EQ,216.86,211.46,216.86,212.33,211.94,214.66,1141145,243821808.17,237.55,136.2,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,REDINGTON,EQ,209.96,202.05,208.05,203.32,204.19,212.33,2142202,438873115.37,237.55,136.2,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,REDINGTON,EQ,206.19,202.0,203.0,202.53,202.64,203.32,878390,178650843.53,237.55,136.2,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,REDINGTON,EQ,200.0,190.0,200.0,190.26,190.3,202.53,1594996,307952271.77,237.55,136.2,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,REDINGTON,EQ,197.31,189.1,192.98,190.73,190.0,190.26,784660,150167798.4,237.55,136.2,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,REDINGTON,EQ,194.0,188.63,193.9,192.72,192.45,190.73,782965,149471739.02,237.55,136.2,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,REDINGTON,EQ,194.8,187.55,192.72,188.45,188.6,192.72,880018,167661416.02,237.55,136.2,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,REDINGTON,EQ,191.5,188.65,190.0,190.15,190.4,188.45,793013,150972076.04,237.55,136.2,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,REDINGTON,EQ,203.7,190.3,191.0,199.41,199.11,190.15,1554059,305388778.66,237.55,136.2,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,REDINGTON,EQ,202.94,194.45,200.1,195.37,195.1,199.41,908023,180960325.22,237.55,136.2,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,REDINGTON,EQ,201.3,194.51,196.0,200.04,200.0,195.37,1381363,275160391.73,237.55,136.2,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,REDINGTON,EQ,203.9,200.4,200.55,202.72,203.0,200.04,800253,162092365.41,237.55,136.2,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,REDINGTON,EQ,204.95,201.45,203.5,203.71,204.39,202.72,531771,108108387.33,237.55,136.2,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,REDINGTON,EQ,209.65,204.1,204.9,208.75,209.15,203.71,1244059,258058702.78,237.55,136.2,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,REDINGTON,EQ,208.7,205.0,208.7,206.45,206.75,208.75,1038936,213915832.09,237.55,136.2,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,REDINGTON,EQ,210.25,205.5,207.0,209.37,209.35,206.45,2135392,444618755.02,237.55,136.2,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,REDINGTON,EQ,212.0,208.15,211.0,209.04,208.8,209.37,1028705,215570969.17,237.55,136.2,2024-08-22T18:30:00.000Z
