datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,REDTAPE,EQ,729.0,698.0,715.0,719.45,718.0,719.9,97045,69432683.65,810.05,411.05,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,REDTAPE,EQ,731.0,718.6,726.0,726.9,725.0,719.45,74727,54186594.75,810.05,411.05,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,REDTAPE,EQ,733.0,711.05,729.0,721.05,720.5,726.9,55438,39917611.1,810.05,411.05,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,REDTAPE,EQ,727.0,702.1,727.0,716.05,720.0,721.05,87830,62608275.5,810.05,411.05,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,REDTAPE,EQ,718.0,701.2,713.0,711.35,707.55,716.05,60148,42791028.25,810.05,411.05,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,REDTAPE,EQ,725.5,701.0,711.5,719.35,722.0,711.35,78124,55618975.85,810.05,411.05,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,REDTAPE,EQ,737.05,714.05,719.0,726.9,732.0,719.35,65036,47259180.85,810.05,411.05,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,REDTAPE,EQ,731.45,716.0,725.0,726.95,722.0,726.9,32865,23817202.8,810.05,411.05,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,REDTAPE,EQ,730.0,717.6,727.4,721.55,719.55,726.95,49824,36019863.1,810.05,411.05,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,REDTAPE,EQ,745.0,719.55,725.0,736.0,739.9,721.55,90523,66500280.95,810.05,411.05,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,REDTAPE,EQ,744.45,722.0,739.9,723.75,724.3,736.0,173796,126452196.15,810.05,411.05,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,REDTAPE,EQ,729.0,708.0,726.0,720.0,720.0,723.75,203360,145826191.9,810.05,411.05,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,REDTAPE,EQ,724.25,702.4,720.0,715.7,715.95,720.0,177810,126652206.2,810.05,411.05,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,REDTAPE,EQ,734.5,706.3,710.0,708.0,711.0,715.7,255087,183543132.7,810.05,411.05,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,REDTAPE,EQ,709.95,677.2,702.0,693.65,686.95,708.0,201399,139875190.95,810.05,411.05,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,REDTAPE,EQ,704.95,682.55,693.0,693.0,686.85,693.65,170295,118430086.0,810.05,411.05,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,REDTAPE,EQ,705.0,690.0,705.0,697.85,700.05,693.0,97719,67730996.55,810.05,411.05,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,REDTAPE,EQ,712.3,696.6,708.3,698.45,697.15,697.85,27211,19173004.95,810.05,411.05,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,REDTAPE,EQ,714.95,696.05,714.95,698.95,700.6,698.45,28451,19995079.85,810.05,411.05,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,REDTAPE,EQ,708.7,695.35,695.35,703.55,706.5,698.95,30182,21242617.65,810.05,411.05,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,REDTAPE,EQ,711.3,683.1,707.0,687.2,688.9,703.55,35974,25114073.4,810.05,411.05,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,REDTAPE,EQ,691.95,623.6,690.0,648.0,658.0,687.2,450758,290816617.4,810.05,411.05,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,REDTAPE,EQ,653.35,606.05,648.4,650.2,650.0,648.0,541521,339565461.45,810.05,411.05,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,REDTAPE,EQ,681.45,640.0,653.3,664.0,660.0,650.2,300062,197019078.5,810.05,411.05,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,REDTAPE,EQ,674.0,651.3,657.4,667.6,667.15,664.0,126024,83926948.65,810.05,411.05,2024-08-19T18:30:00.000Z
