datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,RELAXO,EQ,828.5,812.75,825.0,816.5,816.05,824.55,83440,68269414.75,974.0,758.25,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,RELAXO,EQ,839.4,815.3,816.6,836.05,837.0,816.5,486371,399148417.0,974.0,758.25,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,RELAXO,EQ,843.55,827.1,836.1,830.25,833.0,836.05,87214,72837287.8,974.0,758.25,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,RELAXO,EQ,835.75,816.0,830.25,820.3,820.5,830.25,77009,63458249.5,974.0,758.25,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,RELAXO,EQ,829.4,817.0,825.0,822.15,820.0,820.3,53460,43926163.95,974.0,758.25,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,RELAXO,EQ,842.0,812.0,818.55,833.9,834.9,822.15,184506,153319420.3,974.0,758.25,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,RELAXO,EQ,866.5,835.0,839.95,855.9,860.0,833.9,319323,272040708.35,974.0,758.25,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,RELAXO,EQ,872.0,843.25,855.9,867.55,868.0,855.9,163240,140385383.05,974.0,758.25,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,RELAXO,EQ,872.8,855.55,872.0,864.85,860.1,867.55,85223,73493930.2,974.0,758.25,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,RELAXO,EQ,873.85,856.05,864.95,869.2,869.0,864.85,109754,95000147.0,974.0,758.25,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,RELAXO,EQ,888.2,867.0,875.0,870.75,874.0,869.2,747245,650975106.9,974.0,758.25,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,RELAXO,EQ,882.0,863.95,877.35,868.7,871.0,870.75,80857,70425414.75,974.0,758.25,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,RELAXO,EQ,860.0,843.5,848.95,848.1,847.0,868.7,219095,186236964.8,974.0,758.25,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,RELAXO,EQ,850.35,838.65,840.05,843.65,843.95,848.1,63798,53901527.3,974.0,758.25,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,RELAXO,EQ,839.05,813.2,834.0,817.15,819.7,843.65,110435,91256001.45,974.0,758.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,RELAXO,EQ,840.0,812.0,812.0,831.05,831.0,817.15,80985,67448131.65,974.0,758.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,RELAXO,EQ,843.0,827.75,831.05,839.35,835.0,831.05,60578,50674234.7,974.0,758.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,RELAXO,EQ,840.5,828.85,839.35,832.35,832.0,839.35,42475,35374950.3,974.0,758.25,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,RELAXO,EQ,836.5,814.85,836.5,822.2,825.0,832.35,68715,56450814.25,974.0,758.25,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,RELAXO,EQ,824.2,814.2,822.2,815.65,815.9,822.2,36128,29516163.4,959.95,758.25,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,RELAXO,EQ,819.5,793.0,816.0,794.75,795.0,815.65,92335,74014691.75,959.95,758.25,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,RELAXO,EQ,798.05,784.4,795.0,785.0,789.9,794.75,60942,47977970.55,959.95,758.25,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,RELAXO,EQ,792.9,770.95,789.3,778.0,778.5,785.0,130443,101711638.95,959.95,758.25,2024-08-15T18:30:00.000Z
