datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price,date
2024-07-14T18:30:00.000Z,RHIM,EQ,613.9,568.1,578.0,609.4,612.0,582.4,898100,533151340.95,824,504.25,2024-07-14T18:30:00.000Z
2024-07-15T18:30:00.000Z,RHIM,EQ,624.9,589.1,613.8,594.65,590.0,609.4,525047,317164042.05,824,504.25,2024-07-15T18:30:00.000Z
2024-07-17T18:30:00.000Z,RHIM,EQ,602.35,587.5,595.65,590.8,590.0,594.65,156161,92677463.25,824,504.25,2024-07-17T18:30:00.000Z
2024-07-18T18:30:00.000Z,RHIM,EQ,591.45,576.65,590.8,585.7,585.0,590.8,255723,149201885.15,824,504.25,2024-07-18T18:30:00.000Z
2024-07-21T18:30:00.000Z,RHIM,EQ,592.5,576.0,577.5,589.65,590.5,585.7,243827,143113016.75,824,504.25,2024-07-21T18:30:00.000Z
2024-07-22T18:30:00.000Z,RHIM,EQ,592.95,574.1,592.95,581.4,579.9,589.65,119249,69537317.8,824,504.25,2024-07-22T18:30:00.000Z
2024-07-23T18:30:00.000Z,RHIM,EQ,592.8,580.65,581.85,589.35,592.0,581.4,108959,64131029.2,824,504.25,2024-07-23T18:30:00.000Z
2024-07-24T18:30:00.000Z,RHIM,EQ,612.55,588.0,589.35,590.35,590.0,589.35,284409,170955655.85,824,504.25,2024-07-24T18:30:00.000Z
2024-07-25T18:30:00.000Z,RHIM,EQ,619.6,591.95,592.0,609.5,611.35,590.35,424144,259597856.0,824,504.25,2024-07-25T18:30:00.000Z
2024-07-28T18:30:00.000Z,RHIM,EQ,622.4,610.1,613.9,612.05,612.0,609.5,148962,91583788.7,824,504.25,2024-07-28T18:30:00.000Z
2024-07-29T18:30:00.000Z,RHIM,EQ,617.0,600.65,612.05,608.35,609.0,612.05,232283,141085041.5,824,504.25,2024-07-29T18:30:00.000Z
2024-07-30T18:30:00.000Z,RHIM,EQ,610.25,596.65,610.25,601.1,603.9,608.35,344666,207307940.35,824,504.25,2024-07-30T18:30:00.000Z
2024-07-31T18:30:00.000Z,RHIM,EQ,610.85,595.05,603.65,601.0,603.3,601.1,113854,68491486.6,824,504.25,2024-07-31T18:30:00.000Z
2024-08-01T18:30:00.000Z,RHIM,EQ,609.0,594.65,598.1,599.1,603.95,601.0,249240,149658899.55,824,504.25,2024-08-01T18:30:00.000Z
2024-08-04T18:30:00.000Z,RHIM,EQ,596.0,575.1,596.0,582.95,583.0,599.1,181637,105654922.75,824,504.25,2024-08-04T18:30:00.000Z
2024-08-05T18:30:00.000Z,RHIM,EQ,593.7,570.2,589.95,574.2,571.8,582.95,116791,67917751.4,824,504.25,2024-08-05T18:30:00.000Z
2024-08-06T18:30:00.000Z,RHIM,EQ,592.45,575.1,575.1,590.2,591.0,574.2,98626,57755716.6,824,504.25,2024-08-06T18:30:00.000Z
2024-08-07T18:30:00.000Z,RHIM,EQ,594.3,583.1,590.05,590.55,592.8,590.2,65604,38685458.15,824,504.25,2024-08-07T18:30:00.000Z
2024-08-08T18:30:00.000Z,RHIM,EQ,604.15,589.95,590.0,597.65,597.0,590.55,108239,64680392.25,824,504.25,2024-08-08T18:30:00.000Z
2024-08-11T18:30:00.000Z,RHIM,EQ,607.9,590.55,604.95,592.5,594.95,597.65,399856,239652394.7,824,504.25,2024-08-11T18:30:00.000Z
2024-08-12T18:30:00.000Z,RHIM,EQ,599.95,587.75,598.9,596.9,595.0,592.5,168020,100002742.55,824,504.25,2024-08-12T18:30:00.000Z
2024-08-13T18:30:00.000Z,RHIM,EQ,602.45,590.3,598.85,591.95,592.0,596.9,57029,33814780.9,824,504.25,2024-08-13T18:30:00.000Z
2024-08-15T18:30:00.000Z,RHIM,EQ,672.0,621.55,625.0,627.35,624.4,591.95,9540481,6210210844.85,824,504.25,2024-08-15T18:30:00.000Z
2024-08-18T18:30:00.000Z,RHIM,EQ,642.0,618.3,629.0,637.65,639.6,627.35,788085,495742984.65,824,504.25,2024-08-18T18:30:00.000Z
2024-08-19T18:30:00.000Z,RHIM,EQ,642.5,628.35,639.75,630.45,629.35,637.65,298525,189362114.9,824,504.25,2024-08-19T18:30:00.000Z
2024-08-20T18:30:00.000Z,RHIM,EQ,634.3,626.3,630.95,631.8,632.8,630.45,112605,71140343.25,824,504.25,2024-08-20T18:30:00.000Z
2024-08-21T18:30:00.000Z,RHIM,EQ,649.8,631.0,635.5,633.3,631.0,631.8,369954,237104652.05,824,504.25,2024-08-21T18:30:00.000Z
2024-08-22T18:30:00.000Z,RHIM,EQ,641.85,627.6,633.3,629.95,629.0,633.3,120696,76328013.65,824,504.25,2024-08-22T18:30:00.000Z
2024-08-25T18:30:00.000Z,RHIM,EQ,638.5,622.9,638.5,629.95,629.95,629.95,190350,119861699.0,824,504.25,2024-08-25T18:30:00.000Z
2024-08-26T18:30:00.000Z,RHIM,EQ,631.75,621.1,629.65,623.05,623.0,629.95,233645,145786922.15,824,504.25,2024-08-26T18:30:00.000Z
2024-08-27T18:30:00.000Z,RHIM,EQ,629.3,617.25,621.0,620.1,623.95,623.05,216639,134367880.65,824,504.25,2024-08-27T18:30:00.000Z
2024-08-28T18:30:00.000Z,RHIM,EQ,625.0,605.6,625.0,609.65,609.5,620.1,199163,121737800.65,824,504.25,2024-08-28T18:30:00.000Z
2024-08-29T18:30:00.000Z,RHIM,EQ,617.6,602.5,610.0,613.4,614.5,609.65,304404,185571080.25,824,504.25,2024-08-29T18:30:00.000Z
2024-09-01T18:30:00.000Z,RHIM,EQ,619.5,600.0,619.5,603.0,603.3,613.4,135542,82452952.8,824,504.25,2024-09-01T18:30:00.000Z
2024-09-02T18:30:00.000Z,RHIM,EQ,611.65,602.95,607.8,605.1,604.5,603.0,94619,57483858.3,824,504.25,2024-09-02T18:30:00.000Z
2024-09-03T18:30:00.000Z,RHIM,EQ,614.4,601.25,608.0,603.9,601.25,605.1,118828,72049647.6,824,504.25,2024-09-03T18:30:00.000Z
2024-09-04T18:30:00.000Z,RHIM,EQ,609.75,598.6,605.95,601.7,602.6,603.9,156802,94580519.65,824,504.25,2024-09-04T18:30:00.000Z
2024-09-05T18:30:00.000Z,RHIM,EQ,616.5,595.1,607.4,598.55,599.45,601.7,165113,99833476.05,824,504.25,2024-09-05T18:30:00.000Z
2024-09-08T18:30:00.000Z,RHIM,EQ,595.75,581.35,593.0,584.95,583.1,598.55,344095,201460390.35,824,504.25,2024-09-08T18:30:00.000Z
2024-09-09T18:30:00.000Z,RHIM,EQ,596.0,583.7,585.0,593.6,595.0,584.95,121837,71894479.4,824,504.25,2024-09-09T18:30:00.000Z
